MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"(1+2), 1+2",mid,1.5,-,-,-,-,-,-,21 [24],i18,-20,KND,KND,-,-,-,-
Strainer,u+3+4,mid,2,-,-,low,-,-,-,20 [24],i24,-4 (OC),+6,STUN,-,-,-,-
-,u/f+2,high,2,-,-,-,-,-,-,9 [10],i20,-4,+7,+7,-,-,-,-
Flying Jambon,u/f+3,mid,1.75,-,-,low,-,-,-,20 [24],i20,-13,LAUNCH,LAUNCH,-,-,-,-
-,u/f+4,mid,2,-,-,low,-,-,-,14 [16],i25,-9,0,0,-,-,-,-
Faisan Crow,"u/f+4, 4","mid, mid",2,-,-,-,-,-,-,"14 [16], 18",i25,0,+4,-,-,-,-,-
-,"(u/f+4), 4",mid,1.5,-,-,-,-,-,-,18 [21],i18,0,+4,KND,-,-,-,-
-,u/f+1+2,mid,2,-,-,low,-,-,-,15 [18],i16,-11,-3,-3,-,-,-,-
Cracker Tariata,"u/f+1+2, 4","mid, mid",2,-,-,-,-,-,-,"15 [18], 20",i16,-1,+14,-,-,-,-,-
-,"(u/f+1+2), 4",mid,2,-,-,low,-,-,-,20 [24],i18,-1,+14,S!,-,-,-,-
Cracker Jacker,"u/f+1+2, 1+2","mid, mid",2,-,-,-,-,-,-,"15 [18], 25",i16,-17,KND,-,-,-,-,-
-,"(u/f+1+2), 1+2",mid,1.5,-,-,-,-,-,-,25 [30],i18,-17,KND,KND,-,-,-,-
-,u/f+3+4,"low, high",1.5,-,-,-,-,-,-,"10 [12], 12",i21,-25,-4,-4,-,-,-,-
-,u/f+3+4 (second hit only),high,1.5,-,-,-,-,-,-,12 [14],i31,-15,-4,-4,-,-,-,-
Rolling Kebab,"u/f+3+4, 4","low, high, high",1.5,-,-,-,-,-,-,"10 [12], 12, 20",i21,-4,KND,-,-,-,-,-
-,"u/f+3+4 (second hit only), 4","high, high",1.5,-,-,-,-,-,-,"12 [14], 20",i31,-4,KND,KND,-,-,-,-
-,"(u/f+3+4), 4",high,1.75,-,-,low,-,-,-,20 [24],i18,-4,KND,KND,-,-,-,-
-,f+2,high,2,-,-,-,-,-,-,12 [14],i12,-8,+3,+3,-,-,-,-
Circle Whopper,"f+2, 3","high, mid",2,-,-,-,-,-,-,"12 [14], 20",i12,-15,KND,-,-,-,-,-
-,"(f+2), 3",mid,1.5,-,-,-,-,-,-,20 [24],i14,-15,KND,KND,-,-,-,-
-,f+3,mid,1.5,-,-,-,-,-,-,18 [21],i21,-4,0,+8,-,-,-,-
Merguez Kick Combo,"f+3, 4","mid, mid",1.5,-,-,-,-,-,-,"18 [21], 23",i21,-11,KND,-,-,-,-,-
-,"(f+3), 4",mid,2,-,-,-,-,-,-,23 [27],i28,-11,KND,STUN,-,-,-,-
Spinning Linguine,f+4,high,2,-,-,-,-,-,-,20 [45],i16,-6,KND,KND,-,-,-,-
Zip Cutter,"f, F+2",mid,2,-,-,-,-,-,-,25 [30],i14,-8,KND,KND,-,-,-,-
Jumping Beans,"f, F+3",mid,2,-,-,low,-,-,-,18 [21],i18,-7,+4,KND,-,-,-,-
-,"f, F+4",mid,2,-,-,low,-,-,-,12 [14],i22,-9,+2,+2,-,-,-,-
Double Chapati,"f, F+4, 4","mid, mid",2,-,-,-,-,-,-,"12 [14], 20",i22,-13,KND,-,-,-,-,-
Huitres Crush,"f, F+3+4","mid, mid",1.75,-,-,low,-,-,-,"16 [19], 12",i26,-7,KND,KND,-,-,-,-
-,"f, F+3+4 (second hit only)",mid,2,-,-,-,-,-,-,12 [14],i35,-7,KND,KND,-,-,-,-
Perfect Slash,"f, f, f+3 (or WR 3)",mid,3,-,-,low,-,-,-,30 [36],i20,+9,KND,KND,-,-,-,-
Supersize Missle,"f, f, f+3+4 (or WR 3+4)",mid,3,-,-,low,-,-,-,27 [32],i26,+8,KND,KND,-,-,-,-
Langue Washer,"f, n, d, d/f+1",high,-,-,-,-,-,-,-,25 [30],i13,-2,KND,S!,-,-,-,-
Spiral Rocky,"f, n, d, d/f+2",mid,-,-,-,high,-,-,-,24 [28],i16,-23,LAUNCH,LAUNCH,-,-,-,-
-,"f, n, d, d/f+3",mid,-,-,-,-,-,-,-,14 [16],i16,-14,KND,KND,-,-,-,-
Gambero Knee,"f, n, d, d/f+3, 2","mid, high",-,-,-,-,-,-,-,"14 [16], 16",i16,-9,KND,-,-,-,-,-
-,"(f, n, d, d/f+3), 2",high,-,-,-,low,-,-,-,23 [27],i23,-9,KND,KND,-,-,-,-
-,"f, n, d, d/f+4",low,-,-,-,high,-,-,-,16 [19],i18,-28,-1,-1,-,-,-,-
Cutting Coppa,"f, n, d, d/f+4, 1+2","low, mid",-,-,-,-,-,-,-,"16 [19], 17",i18,-28,KND,-,-,-,-,-
-,"(f, n, d, d/f+4), 1+2",mid,-,-,-,-,-,-,-,25 [30],i25,-17,KND,KND,-,-,-,-
Granchi Canon,"f, n, d, d/f+1+2",mid,-,-,-,high,-,-,-,25 [30],i15,-10,KND,KND,-,-,-,-
-,"f, n, d, d/f+1+2*",mid,-,-,-,high,-,-,-,35 [42],i10,-7,KND,KND,-,-,-,-
-,d/f+1,mid,-,-,-,-,-,-,-,13 [15],i14,-3,+5,+5,-,-,-,-
Escalope Elbow,"d/f+1, 2","mid, mid",-,-,-,-,-,-,-,"13 [15], 15",i14,-12,+4,-,-,-,-,-
-,"(d/f+1), 2",mid,-,-,-,-,-,-,-,15 [18],i19,-12,+4,+4,-,-,-,-
Slash Dame,d/f+2,mid,-,-,-,-,-,-,-,14 [16],i15,-8,+3,LAUNCH,-,-,-,-
-,d/f+3,mid,-,-,-,-,-,-,-,14 [16],i18,-7,+4,+4,-,-,-,-
-,"d/f+3, 1","mid, high",-,-,-,-,-,-,-,"14 [16], 11",i18,-3,+8,-,-,-,-,-
-,"(d/f+3), 1",high,-,-,-,-,-,-,-,11 [13],i19,-3,+8,+8,-,-,-,-
Gaufrettes Cutter,"d/f+3, 1, 1","mid, high, mid",-,-,-,-,-,-,-,"14 [16], 11, 20",i18,-10,+1 (OC),-,-,-,-,-
-,"(d/f+3), 1, 1","high, mid",-,-,-,-,-,-,-,"11 [13], 20",i19,-10,+1 (OC),-,-,-,-,-
-,"(d/f+3), (1), 1",mid,-,-,-,-,-,-,-,20 [24],i19,-10,+1 (OC),KND,-,-,-,-
Gaufrettes Punch,"d/f+3, 2","mid, high",-,-,-,-,-,-,-,"14 [16], 20",i18,-9,KND,-,-,-,-,-
-,"(d/f+3), 2",high,-,-,-,-,-,-,-,20 [24],i22,-9,KND,KND,-,-,-,-
-,"d/f+3, 4","mid, low",-,-,-,-,-,-,-,"14 [16], 10",i18,-12,-1,-,-,-,-,-
-,"(d/f+3), 4",low,-,-,-,-,-,-,-,10 [12],i25,-12,-1,-1,-,-,-,-
Gaufrettes Kick,"d/f+3, 4, 4","mid, low, high",-,-,-,-,-,-,-,"14 [16], 10, 16",i18,-34,0,-,-,-,-,-
-,"(d/f+3), 4, 4","low, high",-,-,-,-,-,-,-,"10 [12], 16",i25,-34,0,-,-,-,-,-
-,"(d/f+3), (4), 4",high,-,-,-,-,-,-,-,16 [19],i17,-34,0,0,-,-,-,-
-,d/f+4,mid,-,-,-,-,-,-,-,16 [19],i13,-9,+2,+2,-,-,-,-
-,d/f+3+4,"mid, mid",-,-,-,high,-,-,-,"6 [7], 6",i18,-13,KND,KND,-,-,-,-
-,d/f+3+4 (second hit only),mid,-,-,-,-,-,-,-,6 [7],i28,-13,KND,KND,-,-,-,-
Runner Flip,"d/f+3+4, 4","mid, mid, mid",-,-,-,-,-,-,-,"6 [7], 6, 16",i18,-4,S!,-,-,-,-,-
-,"d/f+3+4 (second hit only), 4","mid, mid",-,-,-,-,-,-,-,"6 [7], 16",i28,-4,S!,S!,-,-,-,-
-,"(d/f+3+4), 4",mid,-,-,-,low,-,-,-,23 [27],i29,-4,S!,S!,-,-,-,-
Coupé Chop,d+1,mid,-,-,-,-,-,-,-,18 [21],i18,-11,+5,KND,-,-,-,-
-,d+2,mid,-,-,-,-,-,-,-,12 [14],i15,-9,+2,+2,-,-,-,-
-,"d+2, 1","mid, mid",-,-,-,-,-,-,-,"12 [14], 14",i15,-10,+1,-,-,-,-,-
-,"(d+2), 1",mid,-,-,-,-,-,-,-,14 [16],i14,-10,+1,+1,-,-,-,-
-,"d+2, 1, 2","mid, mid, mid",-,-,-,-,-,-,-,"12 [14], 14, 18",i15,-12,+1,-,-,-,-,-
-,"(d+2), 1, 2","mid, mid",-,-,-,-,-,-,-,"14 [16], 18",i14,-12,+1,-,-,-,-,-
-,"(d+2), (1), 2",mid,-,-,-,-,-,-,-,18 [21],i22,-12,+1,+1,-,-,-,-
Combination Mince,"d+2, 1, 2, 2","mid, mid, mid, mid",-,-,-,-,-,-,-,"12 [14], 14, 18, 21",i15,-21,KND,-,-,-,-,-
-,"(d+2), 1, 2, 2","mid, mid, mid",-,-,-,-,-,-,-,"14 [16], 18, 21",i14,-21,KND,-,-,-,-,-
-,"(d+2), (1), 2, 2","mid, mid",-,-,-,-,-,-,-,"18 [21], 21",i22,-21,KND,-,-,-,-,-
-,"(d+2), (1), (2), 2",mid,-,-,-,-,-,-,-,21 [25],i29,-21,KND,KND,-,-,-,-
Combination Ble,"d+2, 3","mid, mid",-,-,-,-,-,-,-,"12 [14], 21",i15,-4,+9,-,-,-,-,-
-,"(d+2), 3",mid,-,-,-,high,-,-,-,21 [25],i41,-4,+9,STUN,-,-,-,-
Combination Baldo,"d+2, 4","mid, mid",-,-,-,-,-,-,-,"12 [14], 21",i15,-13,KND,-,-,-,-,-
-,"(d+2), 4",mid,-,-,-,low,-,-,-,21 [25],i17,-13,KND,KND,-,-,-,-
-,d+3,low,-,-,-,-,-,-,-,14 [16],i19,-18,-7,-7,-,-,-,-
Panini Sweep,"d+3, 4","low, high",-,-,-,-,-,-,-,"14 [16], 20",i19,-8,KND,-,-,-,-,-
-,"(d+3), 4",high,-,-,-,high,-,-,-,20 [24],i25,-8,KND,KND,-,-,-,-
-,d+4,low,-,-,-,-,-,-,-,11 [13],i16,-12,-1,-1,-,-,-,-
-,"d+4, 3","low, high",-,-,-,-,-,-,-,"11 [13], 15",i16,-7,-2,-,-,-,-,-
-,"(d+4), 3",high,-,-,-,-,-,-,-,15 [18],i23,-7,-2,-2,-,-,-,-
Tornado Mixer,"d+4, 3, 4","low, high, mid",-,-,-,-,-,-,-,"11 [13], 15, 24",i16,-12,KND,-,-,-,-,-
-,"(d+4), 3, 4","high, mid",-,-,-,-,-,-,-,"15 [18], 24",i23,-12,KND,-,-,-,-,-
-,"(d+4), (3), 4",mid,-,-,-,-,-,-,-,24 [28],i25,-12,KND,KND,-,-,-,-
-,d+1+2,"high, high",-,-,-,-,-,-,-,"5 [6], 5",i14,-9,+2,+2,-,-,-,-
-,d+1+2 (second hit only),high,-,-,-,-,-,-,-,5 [6],i25,-9,+2,+2,-,-,-,-
-,"d+1+2, 2","high, high, mid",-,-,-,-,-,-,-,"5 [6], 5, 5",i14,-8,+3,-,-,-,-,-
-,"d+1+2 (second hit only), 2","high, mid",-,-,-,-,-,-,-,"5 [6], 5",i25,-8,+3,+3,-,-,-,-
-,"(d+1+2), 2",mid,-,-,-,-,-,-,-,5 [6],i35,-8,+3,+3,-,-,-,-
Apicius Special,"d+1+2, 2, 1","high, high, mid, high",-,-,-,-,-,-,-,"5 [6], 5, 5, 20",i14,-16,KND,-,-,-,-,-
-,"d+1+2 (second hit only), 2, 1","high, mid, high",-,-,-,-,-,-,-,"5 [6], 5, 20",i25,-16,KND,-,-,-,-,-
-,"(d+1+2), 2, 1","mid, high",-,-,-,-,-,-,-,"5 [6], 20",i35,-16,KND,-,-,-,-,-
-,"(d+1+2), (2), 1",high,-,-,-,-,-,-,-,20 [24],i7,-16,KND,KND,-,-,-,-
Duck Flip,d+3+4,"mid, mid",-,-,-,-,-,-,-,"12 [14], 14",i15,-24,KND,KND,-,-,-,-
Bite Uppercut,d/b+2,mid,-,-,-,-,-,-,-,17 [20],i14,-8,+6,+6,-,-,-,-
Liaison Spike,d/b+3,low,-,-,-,-,-,-,-,17 [20],i20,-12,+2,STUN,-,-,-,-
-,d/b+4,low,-,-,-,high,-,-,-,15 [18],i24,-12,-1,-1,-,-,-,-
-,"d/b+4, 4","low, mid",-,-,-,-,-,-,-,"15 [18], 14",i24,-12,-2,-,-,-,-,-
-,"(d/b+4), 4",mid,-,-,-,low,-,-,-,14 [16],i25,-12,-2,-2,-,-,-,-
-,"d/b+4, 4, 3","low, mid, high",-,-,-,-,-,-,-,"15 [18], 14, 12",i24,-10,+3,-,-,-,-,-
-,"(d/b+4), 4, 3","mid, high",-,-,-,-,-,-,-,"14 [16], 12",i25,-10,+3,-,-,-,-,-
-,"(d/b+4), (4), 3",high,-,-,-,-,-,-,-,12 [14],i12,-10,+3,+3,-,-,-,-
Contorno Farce,"d/b+4, 4, 3, 3","low, mid, high, mid",-,-,-,-,-,-,-,"15 [18], 14, 12, 18",i24,-12,KND,-,-,-,-,-
-,"(d/b+4), 4, 3, 3","mid, high, mid",-,-,-,-,-,-,-,"14 [16], 12, 18",i25,-12,KND,-,-,-,-,-
-,"(d/b+4), (4), 3, 3",mid,-,-,-,-,-,-,-,"12 [14], 18",i12,-12,KND,-,-,-,-,-
-,"(d/b+4), (4), (3), 3",mid,-,-,-,-,-,-,-,18 [21],i35,-12,KND,KND,-,-,-,-
Contorno Mist,"d/b+4, 4, 4","low, mid, low",-,-,-,-,-,-,-,"15 [18], 14, 10",i24,-12,-1,-,-,-,-,-
-,"(d/b+4), 4, 4","mid, low",-,-,-,-,-,-,-,"14 [16], 10",i25,-12,-1,-,-,-,-,-
-,"(d/b+4), (4), 4",low,-,-,-,high,-,-,-,10 [12],i23,-12,-1,-1,-,-,-,-
-,"(d/b+4), (4), (4), D",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abats Snipe,d/b+1+2,mid,-,-,-,high,-,-,-,16 [19],i18,-13,LAUNCH,LAUNCH,-,-,-,-
-,d/b+3+4,low,-,-,-,-,-,-,-,14 [16],i19,-31,+6,+6,-,-,-,-
Huile Slip,"d/b+3+4, 4","low, low",-,-,-,-,-,-,-,"14 [16], 12",i19,-31,+8,+8,-,-,-,-
-,"(d/b+3+4), 4",low,-,-,-,-,-,-,-,12 [14],i9,-28,-9,-,-,-,-,-
-,b+1,mid,-,-,-,-,-,-,-,15 [18],i17,-9,+4,+4,-,-,-,-
Ravenous,"b+1, 2","mid, mid",-,-,-,-,-,-,-,"15 [18], 16",i17,-8,+7,-,-,-,-,-
-,"(b+1), 2",mid,-,-,-,-,-,-,-,16 [19],i23,-8,+7,+7,-,-,-,-
Hot Cross Bun,"b, f+1",mid,-,-,-,high,-,-,-,25 [30],i26,-12,+9,KND,-,-,-,-
-,b+2,mid,-,-,-,-,-,-,-,10 [12],i13,-5,+6,+6,-,-,-,-
-,"b+2, 2","mid, high",-,-,-,-,-,-,-,"10 [12], 12",i18,-3,+8,-,-,-,-,-
-,"(b+2), 2",high,-,-,-,-,-,-,-,12 [14],i18,-3,+8,+8,-,-,-,-
-,"b+2, 2, 4","mid, high, mid",-,-,-,-,-,-,-,"10 [12], 12, 16",i13,-9,+7,-,-,-,-,-
-,"(b+2), 2, 4","high, mid",-,-,-,-,-,-,-,"12 [14], 16",i18,-9,+7,-,-,-,-,-
-,"(b+2), (2), 4",mid,-,-,-,-,-,-,-,16 [19],i22,-9,+7,+7,-,-,-,-
Combination Bitter,"b+2, 2, 4, 4","mid, high, mid, high",-,-,-,-,-,-,-,"10 [12], 12, 16, 20",i13,-7,KND,-,-,-,-,-
-,"(b+2), 2, 4, 4","high, mid, high",-,-,-,-,-,-,-,"12 [14], 16, 20",i18,-7,KND,-,-,-,-,-
-,"(b+2), (2), 4, 4","mid, high",-,-,-,-,-,-,-,"16 [19], 20",i22,-7,KND,-,-,-,-,-
-,"(b+2), (2), (4), 4",high,-,-,-,-,-,-,-,20 [24],i23,-7,KND,KND,-,-,-,-
Whopping Kick,b+3,mid,-,-,-,-,-,-,-,20 [24],i17,-15,KND,STUN,-,-,-,-
-,b+4,mid,-,-,-,-,-,-,-,15 [18],i15,-7,+4,+4,-,-,-,-
Pretzel Crush,"b+4, 1","mid, mid",-,-,-,-,-,-,-,"15 [18], 17",i15,-7,+9 (OC),-,-,-,-,-
-,"(b+4), 1",mid,-,-,-,-,-,-,-,17 [20],i23,-7,+9 (OC),+9 (OC),-,-,-,-
Combination Bittersweet,"b+4, 4","mid, high",-,-,-,-,-,-,-,"15 [18], 20",i15,-7,+11,-,-,-,-,-
-,"(b+4), 4",high,-,-,-,-,-,-,-,20 [24],i23,-7,+11,+11,-,-,-,-
-,b+1+2,mid,-,-,-,-,-,-,-,20 [24],i17,-9,+8 (OC),+8 (OC),-,-,-,-
-,"b+1+2, 1","mid, mid",-,-,-,-,-,-,-,"20 [24], 10",i17,-11,0,-,-,-,-,-
-,"(b+1+2), 1",mid,-,-,-,-,-,-,-,10 [12],i30,-11,0,0,-,-,-,-
Three Star Combo,"b+1+2, 1, 2","mid, mid, high",-,-,-,-,-,-,-,"20 [24], 10, 20",i17,-16,KND,-,-,-,-,-
-,"(b+1+2), 1, 2","mid, high",-,-,-,-,-,-,-,"10 [12], 20",i30,-16,KND,-,-,-,-,-
-,"(b+1+2), (1), 2",high,-,-,-,-,-,-,-,20 [24],i12,-16,KND,KND,-,-,-,-
Langouste Tail,"b, B+4",mid,-,-,-,low,-,-,-,20 [24],i26,-4,KND,KND,-,-,-,-
Grater Langouste Cancel,"b, B+3+4, D/B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grater Langouste Feint Knuckle,"b, B+3+4, 2",mid,-,-,-,-,-,-,-,25 [30[,i15,-6,KND,KND,-,-,-,-
Reverse Duck Flip,u/b+3,"mid, mid",-,-,-,low,-,-,-,"14 [16], 14",i15,-24,KND,KND,-,-,-,-
-,BT 1 (or 2),high,-,-,-,-,-,-,-,15 [18],i8,-8,+3,+3,-,-,-,-
-,BT 3 (or 4),high,-,-,-,-,-,-,-,18 [21],i10,-8,KND,KND,-,-,-,-
Plague Pick,BT d+2,mid,-,-,-,-,-,-,-,17 [20],i15,-9,KND,STUN,-,-,-,-
-,FC 1,s. mid,-,-,-,-,-,-,-,5 [6],i10,-5,+6,+6,-,-,-,-
-,FC 2,s. mid,-,-,-,-,-,-,-,8 [9],i11,-4,+7,+7,-,-,-,-
-,FC 3,low,-,-,-,high,-,-,-,12 [14],i16,-17,-3,-3,-,-,-,-
-,FC 4,low,-,-,-,high,-,-,-,10 [12],i12,-15,-4,-4,-,-,-,-
-,FC d/f+2,mid,-,-,-,high,-,-,-,14 [16],i14,-8,+3,+3,-,-,-,-
-,"FC d/f+2, 1","mid, mid",-,-,-,-,-,-,-,"14 [16], 12",i14,-7,+4,-,-,-,-,-
-,"FC (d/f+2), 1",mid,-,-,-,-,-,-,-,12 [14],i21,-7,+4,+4,-,-,-,-
Polpo Swing,"FC d/f+2, 1, 1+2","mid, mid, mid",-,-,-,-,-,-,-,"14 [16], 12, 25",i14,-13,KND,-,-,-,-,-
-,"FC (d/f+2), 1, 1+2","mid, mid",-,-,-,-,-,-,-,"12 [14], 25",i21,-13,KND,-,-,-,-,-
-,"FC (d/f+2), (1), 1+2",mid,-,-,-,-,-,-,-,25 [30],i26,-13,KND,KND,-,-,-,-
-,"FC d/f+2, 4","mid, low",-,-,-,-,-,-,-,"12 [14], 12",i14,-12,-1,-,-,-,-,-
-,"FC (d/f+2), 4",low,-,-,-,high,-,-,-,12 [14],i27,-12,-1,-1,-,-,-,-
Seppia Swing,"FC d/f+2, 4, 1+2","mid, low, mid",-,-,-,-,-,-,-,"12 [14], 12, 25",i14,-13,KND,-,-,-,-,-
-,"FC (d/f+2), 4, 1+2","low, mid",-,-,-,-,-,-,-,"12 [14], 25",i27,-13,KND,-,-,-,-,-
-,"FC (d/f+2), (4), 1+2",mid,-,-,-,-,-,-,-,"12 [14], 25",i26,-13,KND,KND,-,-,-,-
Bánh mi Strike,SS 1+2,mid,-,-,-,-,-,-,-,24 [28],i15,-5,KND,KND,-,-,-,-
-,"WR f, f, F (Full Screen)",mid,-,-,-,-,-,-,-,30 [36],i8,+13,KND,KND,-,-,-,-
-,"WR f, f, F (Full Screen) (On Grounded Opponent)",low,-,-,-,-,-,-,-,10 [12],i12,!,KND,KND,-,-,-,-
-,WR 4,low,-,-,-,high,-,-,-,17 [20],i14,-40,KND,KND,-,-,-,-
-,WR 1+2,mid,-,-,-,high,-,-,-,24 [28],i18,0,KND,KND,-,-,-,-
-,WS 1,mid,-,-,-,-,-,-,-,11 [13],i15,-11,0,0,-,-,-,-
Cross Butcher,"WS 1, 2","mid, high",-,-,-,-,-,-,-,"11 [13], 20",i15,-9,KND,-,-,-,-,-
-,"WS (1), 2",high,-,-,-,-,-,-,-,20 [24],i22,-9,KND,STUN,-,-,-,-
Hot Guimauve,"WS 1, 3","mid, mid",-,-,-,-,-,-,-,"11 [13], 20",i15,-14,KND,-,-,-,-,-
-,"WS (1), 3",mid,-,-,-,-,-,-,-,20 [24],i25,-14,KND,KND,-,-,-,-
-,WS 2,mid,-,-,-,-,-,-,-,10 [12],i14,-7,+4,+4,-,-,-,-
Spinach Upper,"WS 2, 1","mid, mid",-,-,-,-,-,-,-,"10 [12], 12",i14,-20,LAUNCH,-,-,-,-,-
-,"WS (2), 1",mid,-,-,-,high,-,-,-,12 [14],i28,-20,LAUNCH,LAUNCH,-,-,-,-
Spinach Hammer,"WS 2, 2","mid, mid",-,-,-,-,-,-,-,"10 [12], 20",i14,-13,+5 (OC),-,-,-,-,-
-,"WS (2), 2",mid,-,-,-,-,-,-,-,20 [24],i23,-13,+5 (OC),KND,-,-,-,-
-,WS 3,high,-,-,-,-,-,-,-,17 [20],i17,-8,-3,-3,-,-,-,-
Brioche Star,"WS 3, 3+4","high, mid",-,-,-,-,-,-,-,"17 [20], 28",i17,-4,KND,-,-,-,-,-
-,"WS (3), 3+4",mid,-,-,-,low,-,-,-,28 [33],i33,-4,KND,KND,-,-,-,-
-,WS 4,mid,-,-,-,-,-,-,-,16 [19],i11,-6,+5,+5,-,-,-,-
Rising Matzo,WS 1+2,mid,-,-,-,-,-,-,-,25 [30],i15,-9,LAUNCH,LAUNCH,-,-,-,-
10 Hit Combo 1,"u/f+2, 1, 2, 2, 1, 1+2, 3, 1, 2, 3+4",-,-,-,-,-,-,-,-,106,i20,-,KND,-,-,-,-,-
10 Hit Combo 2,"u/f+2, 3, 3+4, 4",-,-,-,-,-,-,-,-,56,i20,-,KND,-,-,-,-,-
-,"Face Up, Feet Towards+3 or (After Rolling Forward)",low,-,-,-,high,-,-,-,10 [12],i22,-12,+5,STUN,-,-,-,-
