MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,CANCELABLE,DAMAGE,METER GAIN,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,"Face Up, Feet Towards+3 or (After Rolling Forward)",low,1.5,1.5,SSL / SSR,high,-,-,-,-,10 [12],-,i22,-12,+5,STUN,FLOAT,-29,1,-
-,"Face Up, Feet Towards+4 or (After Rolling Forward)",mid,1,2,SSL,-,-,-,WALL BREAK / SPLAT,-,18 [21],-,i22,-12,+5,KND,FLOAT,-29,1,-
-,"Face Up, Feet Towards, d+3 (or 4)",low,0.25,1,SSR,"mid, high",-,-,-,-,4,-,i13,-16,-3,-3,FLOAT,-34,1,-
-,"Face Up, Feet Towards+3+4",mid,0.5,0,-,low,-,-,WALL BREAK / SPLAT,-,20 [24],-,i19,-21,KND,KND,FLOAT,-26,12,-
-,"Face Up, Feet Towards, Roll Forward+1+2",mid,4,0,-,high,-,-,WALL BREAK / SPLAT,-,15 [18],-,i19,+2,KND,KND,FLOAT,-42,6,-
-,"Face Down, Feet Away+3",low,1,0.5,SSL / SSR,high,-,-,-,-,10 [12],-,i21,-20,+1,STUN,FLOAT,-35,1,-
-,"Face Down, Feet Away+4 (close)",mid,1,2,-,-,-,-,WALL BREAK / SPLAT,-,15 [18],-,i21,-19,KND,KND,FLOAT,-37,1,-
-,"Face Down, Feet Away+4 (far)",mid,1,2,-,-,-,-,[WALL SPLAT],-,10 [12],-,i21,-19,-8,KND,FLOAT,-37,1,-
-,(Upon Landing) f,mid,0,0,-,-,-,-,-,-,4,-,ii33,-2,+3,+3,FLOAT,-13,4,-
SPECIAL MOVES,,,,,,,,,,,,,,,,,,,,
Dazzling Wave,"f, F+4, 2, qcf+1","mid, mid, s. mid",2,1,-,-,NO,NC,-,-,"10 [12], 10, 14",-,i15,-9,KND,KND,FLOOR BREAK,-,-,-
-,"(f, F+4), 2, qcf+1","mid, s. mid",2.5,1,-,-,NO,NC,-,-,"10 [12], 14",-,i23,-9,KND,KND,FLOOR BREAK,-,-,-
-,"f, F+4, 2, qcf+2","mid, mid, s. mid",2,1,-,-,NO,NC,-,-,"10 [12], 10, 14",-,i15,-13,KND,KND,FLOOR BREAK,-,-,-
Dark Blade,"f, d, d/f+1",s. mid,2,0,SSL / SWR,high,-,-,WALL SPLAT,-,12 [14],-,i16,-23,LAUNCH,LAUNCH,FLOAT,-37,6,-
Dark Blade,"f, d, d/f+2","s. mid, s. mid, s. mid",2,0,SWL / SWR,high,-,-,WALL SPLAT,-,"9 [10], 9, 5",-,i13,-34,KND,KND,FLOAT,-54,"1, 1, 1",-
Dark Wave,qcf+1,s. mid,-,1,-,-,-,-,-,-,20 [24],-,i28,-9,KND,KND,BACK FLIP,-32,1,-
Dark Wave,qcf+2,s. mid,-,1,-,-,-,-,-,-,20 [24],-,i25,-13,-5,-5,FLOAT,-36,1,-
Dark Storm,qcb+1,s. mid,2.5,0,SWL / SWR,high,-,-,WALL BREAK / SPLAT,-,20 [24],-,i20,-11,+11,S!,S!,-40,2,-
Dark Tempest,qcb+2,s. mid,2,1,SSL / SSR,-,-,-,-,-,22 [26],-,i20,-14,-2,STUN,BACK FLIP,-40,2,-
Dark Cannon,qcb+3,mid,2,0,-,low,-,-,WALL BREAK / SPLAT,-,20 [24],-,i27,-19,KND,KND,FLOOR BREAK,-23,10,-
Dark Cannon,qcb+4,mid,0.5,0,SSR,low,-,-,-,-,14 [16],-,i26,-1,+9,+9,FLOAT,-16,8,-
Airborne Dark Cannon,(During Jump) qcb+3,mid,2,0,-,low,-,-,-,-,20 [24],-,i13,-20 ~ '-13,KND,KND,FLOOR BREAK,-,-,-
Airborne Dark Cannon,(During Jump) qcb+4,mid,1,0,-,low,-,-,-,-,14 [16],-,i13,-1 ~ +5,+9 ~ +15,+9 ~ +15,FLOAT,-,-,-
EX MOVES,,,,,,,,,,,,,,,,,,,,
Dazzling Wave Chaos,"f, F+4, 2, qcf+1+2","mid, mid, s. mid, s. mid",2,0,-,-,NO,NC,-,-,"10 [12], 10, 7, 5",-,i15,-8,+10,-,FLOOR BREAK,-,-,-
-,"(f, F+4), 2, qcf+1+2 (or 2)","mid, s. mid, s. mid",2.5,0,-,-,NO,NC,-,-,"10 [12], 7, 5",-,i23,-8,+10,-,FLOOR BREAK,-,-,-
Dark Blade Chaos,"f, d, d/f+1+2",s. mid - x5,2,0,SWL / SWR,high,-,-,WALL SPLAT,-,"5 [6], 5, 9, 9, 6",-,i11,-34,KND,KND,FLOAT,-54,"2, 2, 1, 1, 1",-
Dark Tempest Chaos,qcb+1+2,"s. mid, s. mid",2.5,0.5,SWR,-,NO,NC,WALL BREAK / SPLAT,-,"10 [12], 20 [14]",-,i15,-14,S!,S!,S!,-40,"2, 2",-
-,qcb+1+2 (second hit only),s. mid,2,0.5,SSL / SSR,high,-,-,WALL BREAK / SPLAT,-,20 [24],-,-,-,-,-,S!,-40,2,-
Dark Cannon Chaos,qcb+3+4,"mid, mid",2,2.5,SSR,low,YES,NC,WALL BREAK / SPLAT,-,"5 [6], 15",-,i25,-13,S!,-,FLOOR BREAK,-34,"8, 2",-
-,qcb+3+4 (second hit only),mid,1.5,2.5,SSL / SSR,low,-,-,WALL BREAK / SPLAT,-,15 [18],-,i44,-13,S!,S!,S!,-34,2,-
Airborne Dark Cannon Chaos,(During Jump) qcb+3+4,"mid, mid",2.5,2.5,-,low,YES,NC,WALL BREAK / SPLAT,-,"5 [6], 15",-,i10,-13,S!,S!,FLOOR BREAK,-,-,-
-,(During Jump) qcb+3+4 (second hit only),mid,1.5,2.5,SWL / SWR,low,-,-,WALL BREAK / SPLAT,-,15 [18],-,i11,-13,S!,S!,S!,-,-,-
SUPER MOVES,,,,,,,,,,,,,,,,,,,,
Bloody Horn,"qcf, qcf+1+2",s. mid,-,3,SWL / SWR,-,-,-,-,-,15 [18],-,i14,-7,KND,KND,FLOAT,-38,1,
POWER CRUSHES,,,,,,,,,,,,,,,,,,,,
Broken Dream,f+1+2,mid,3,0,HOMING,high,-,-,WALL BREAK / SPLAT,-,21 [25],-,i25,-13,KND,KND,FLOAT,-33,1,
RAGE MOVES,,,,,,,,,,,,,,,,,,,,
Rage Art,(During Rage) b+3+4,mid,2.5,0,-,low,-,-,-,-,55 [57],-,i20,-22,KND,KND,ACTIVATE,-45,1,
UNBLOCKABLE MOVES,,,,,,,,,,,,,,,,,,,,
-,d/b+1+2,-,2,-,-,low,-,-,-,-,30 [36],-,i51,!,KND,KND,FLOOR BREAK,-50,2,-
Death Impact,MG 1+2,-,2,-,-,low,-,-,-,-,30 [36],-,i51,!,KND,KND,FLOOR BREAK,-50,2,-
INTO MOON GLIDE,,,,,,,,,,,,,,,,,,,,
Moon Glide,f+4,-,3.5,0,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-
Dark Wave to Moon Glide,"qcf+1, f+3+4",s. mid,-,0,-,-,-,-,-,-,20 [24],-,i28,-16,LAUNCH,LAUNCH,FLOAT,-39,1,-
Dark Wave to Moon Glide,"qcf+2, f+3+4",s. mid,-,0,-,-,-,-,-,-,20 [24],-,i28,-16,-8,-8,FLOAT,-39,1,-
Dark Wave Chaos,qcf+1+2,"s. mid, s. mid",-,0,-,-,-,-,-,-,"10 [12], 7",-,i24,-45,+13,+13,FLOAT,-,-,-
Dazzling Wave to Moon Glide,"f, F+4, 2, qcf+1, f+3+4","mid, mid, s. mid",2,0,-,-,NO,NC,-,-,"10 [12], 10, 14",-,i15,-16,LAUNCH,LAUNCH,FLOOR BREAK,-,-,-
-,"(f, F+4), 2, qcf+1, f+3+4","mid, s. mid",2.5,0,-,-,NO,NC,-,-,"10 [12], 14",-,i23,-16,LAUNCH,LAUNCH,FLOOR BREAK,-,-,-
Dazzling Wave to Moon Glide,"f, F+4, 2, qcf+2, f+3+4","mid, mid, s. mid",2,0,-,-,NO,NC,-,-,"10 [12], 10, 14",-,i15,-16,LAUNCH,LAUNCH,FLOOR BREAK,-,-,-
DURING MOON GLIDE,,,,,,,,,,,,,,,,,,,,
-,MG 1,high,1,0,-,high,-,-,-,-,11 [13],-,i10,-4,+2,+2,FLOAT,-22,1,-
Stardust,"MG 1, 2","high, high",1,0.75,-,-,YES,NC,-,-,"11 [13], 12",-,i10,-8,+1,-,FLOAT,-28,"1, 1",-
-,"MG (1), 2",high,1.5,0.75,SSL,-,-,-,-,-,12 [14],-,i15,-8,+1,+1,FLOAT,-28,1,-
Stardust Break,"MG 1, 2, 1+2","high, high, mid",1,0,-,-,NO,NO,WALL BREAK / SPLAT,-,"11 [13], 12, 21",-,i10,-13,KND,-,SPIRAL,-33,"1, 1, 2",-
-,"MG (1), 2, 1+2","high, mid",1.5,0,-,-,NO,NCc,WALL BREAK / SPLAT,-,"12 [14], 21",-,i15,-13,KND,-,SPIRAL,-33,"1, 2",-
-,"MG (1), (2), 1+2",mid,2.5,0,SSL,high,-,-,WALL BREAK / SPLAT,-,21 [25],-,i23,-13,KND,KND,SPIRAL,-33,2,-
-,MG 2,mid,2,1.5,-,high,-,-,WALL BREAK / SPLAT,-,25 [30],-,i14,-9,KND,KND,SPIRAL,-30,1,Wall bounces when canceled into.
Bloody Claw to Standing,"MG 2, B",mid,2,1.5,-,-,-,-,WALL BREAK / SPLAT,-,25 [30],-,i14,-9,KND,KND,SPIRAL,-30,1,-
-,MG 3,high,2,0,HOMING,-,-,-,-,-,12 [14],-,i16,-10,KND,KND,TAIL SPIN,-32,2,-
Helical Flow,"MG 3, 4","high, high",2,0.5,-,-,YES,NC,WALL BREAK / SPLAT,-,"12 [14], 14",-,i16,-7,S!,-,S!,-28,"2, 2",-
-,"MG (3), 4",high,2.5,0.5,-,low,-,-,WALL BREAK / SPLAT,-,21 [25],-,i20,-7,S!,S!,S!,-28,2,-
Queen Needle,MG 4,low,3,0.25,SSL,high,-,-,-,-,20 [24],-,i18,-23,KND,KND,FLOAT,-34,8,-
INTO SLEEP,,,,,,,,,,,,,,,,,,,,
Endless Sleep,d+1+2 (or FC d+1+2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deadly Slumber,FC D* (60f),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"f, F+2 (must hit)",mid,2,-,-,high,-,-,WALL BREAK / SPLAT,-,25 [30],-,i14,-,KND,KND,SPIRAL,-30,1,-
Bloody Claw to Deadly Slumber,MG 2 (must hit),mid,2,-,-,high,-,-,WALL BREAK / SPLAT,-,25 [30],-,i14,-,KND,KND,SPIRAL,-30,1,-
THROWS,,,,,,,,,,,,,,,,,,,,
Grave Digger,Approach enemy... 1+3,high throw,1.5,-,-,-,-,-,-,-,35,-,i12,-6,KND,-,-,-24,3,-
Salamander,Approach enemy... 2+4,high throw,1.5,-,-,-,-,-,-,-,35,-,i12,-3,KND,-,-,-24,3,-
Grave Digger,Approach enemy... f+1+3,high throw,2,-,-,-,-,-,-,-,35,-,i15,-6,KND,-,-,-32,3,-
Salamander,Approach enemy... f+2+4,high throw,2,-,-,-,-,-,-,-,35,-,i15,-3,KND,-,-,-32,3,-
Phantom Rave,Approach enemy d/f+1+2,high throw,1,-,-,-,-,-,-,-,40,-,i11,-6,KND,-,-,-26,2,-
Phantom Rave,Approach from left side... 1+3 (or 2+4),high throw,1.5,-,-,-,-,-,-,-,40,-,i12,-6,KND,-,-,-24,3,-
Phantom Rave,Approach from right side... 1+3 (or 2+4),high throw,1.5,-,-,-,-,-,-,-,40,-,i12,-6,KND,-,-,-24,3,-
Deep Shadow,Approach from behind... 1+3 (or 2+4),high throw,1.5,-,-,-,-,-,-,-,45,-,i12,-,KND,-,-,-24,3,-
-,"WR f, f, F (Mid Screen)",mid throw,0,-,SWL / SWR,high,-,-,-,-,5,-,i15,-5,KND,-,-,-32,1,-
DURING TACKLE,,,,,,,,,,,,,,,,,,,,
-,(During Tackle) 1 (or 2),-,-,-,-,-,-,-,-,-,5,-,-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2",-,-,-,-,-,-,-,-,-,"5, 5",-,-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,-,"5, 5, 5",-,-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,-,"5 ,5, 5, 15",-,-,-,KND,-,-,-,-,-
SPECIAL,,,,,,,,,,,,,,,,,,,,
-,U,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-
-,"U/F, U/B",-,-,-,-,-,-,-,-,-,-,-,46,-,-,-,-,-,-,-
-,2+3+4,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,-
