MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,f+1,high,-,-,-,-,-,-,-,7 [8],i10,+1,+8,+8,-,-,-,-
-,"f+1, 1","high, mid",-,-,-,-,-,-,-,"7 [8], 8",i10,-15,-4,-,-,-,-,-
-,"(f+1), 1",mid,-,-,-,-,-,-,-,8 [9],i22,-15,-4,-4,-,-,-,-
G-Clef Cannon,"f+1, 1, 1","high, mid, mid",-,-,-,-,-,-,-,"7 [8], 8, 14",i10,-16,STUN,-,-,-,-,-
-,"(f+1), 1, 1","mid, mid",-,-,-,-,-,-,-,"8 [9], 14",i22,-16,STUN,-,-,-,-,-
-,"(f+1), (1), 1",mid,-,-,-,-,-,-,-,14 [16],i22,-16,STUN,STUN,-,-,-,-
-,f+2,high,-,-,-,-,-,-,-,11 [13],i13,-13,+3,+3,-,-,-,-
Wild Lumberjack,"f+2, 1","high, high",-,-,-,-,-,-,-,"11 [13], 20",i13,-5,KND,-,-,-,-,-
-,"(f+2), 1",high,-,-,-,-,-,-,-,20 [24],i20,-5,KND,KND,-,-,-,-
Double Claw,f+1+2,mid,-,-,-,-,-,-,-,25 [30],i17,-12,STUN,STUN,-,-,-,-
Shape-Up Kick,f+3+4,low,-,-,-,high,-,-,-,20 [24],i28,-23,KND,KND,-,-,-,-
Shape-Up Hip,"f+3+4, 1+2","low, mid",-,-,-,-,-,-,-,20 [24],i28,-16,KND,-,-,-,-,-
-,"(f+3+4), 1+2",mid,-,-,-,high,-,-,-,30 [36],i50,-16,KND,KND,-,-,-,-
Demon Uppercut,"f, F+2",mid,-,-,-,high,-,-,-,23 [27],i19,-19,LAUNCH,LAUNCH,-,-,-,-
Leaping Side Kick,"f, f, f+3 (or WR 3)",mid,-,-,-,low,-,-,-,30 [36],i22,+9,KND,KND,-,-,-,-
Rabid Bear,"f, f, f+1+2 (or WR 1+2)",mid,-,-,-,high,-,-,-,30 [36],i20,+2,KND,KND,-,-,-,-
-,d/f+1,mid,-,-,-,-,-,-,-,6 [7],i15,-9,+2,+2,-,-,-,-
-,"d/f+1, 2","mid, mid",-,-,-,-,-,-,-,"6 [7], 9",i15,-13,-2,-,-,-,-,-
-,"(d/f+1), 2",mid,-,-,-,-,-,-,-,9 [10],i27,-13,-2,-2,-,-,-,-
-,"d/f+1, 2, 1","mid, mid, mid",-,-,-,-,-,-,-,"6 [7], 9, 9",i15,-4,+7,-,-,-,-,-
-,"(d/f+1), 2, 1","mid, mid",-,-,-,-,-,-,-,"9 [10], 9",i27,-4,+7,-,-,-,-,-
-,"(d/f+1), (2), 1",mid,-,-,-,-,-,-,-,9 [10],i26,-4,+7,+7,-,-,-,-
Rushing Uppercut L,"d/f+1, 2, 1, 2","mid, mid, mid, mid",-,-,-,-,-,-,-,"6 [7], 9, 9, 10",i15,-11,0,-,-,-,-,-
-,"(d/f+1), 2, 1, 2","mid, mid, mid",-,-,-,-,-,-,-,"9 [10], 9, 10",i27,-11,0,-,-,-,-,-
-,"(d/f+1), (2), 1, 2","mid, mid",-,-,-,-,-,-,-,"9 [10], 10",i26,-11,0,-,-,-,-,-
-,"(d/f+1), (2), (1), 2",mid,-,-,-,-,-,-,-,10 [12],i27,-11,0,0,-,-,-,-
-,d/f+2,mid,-,-,-,-,-,-,-,10 [12],i15,-9,+2,+2,-,-,-,-
Kuma Musou,"d/f+2, 1","mid, mid",-,-,-,-,-,-,-,"10 [12], 12",i15,-16,LAUNCH,-,-,-,-,-
-,"(d/f+2), 1",mid,-,-,-,-,-,-,-,12 [14],i20,-16,LAUNCH,LAUNCH,-,-,-,-
-,d/f+3,mid,-,-,-,-,-,-,-,13 [15],i16,-9,+2,+2,-,-,-,-
Honey Trap,"d/f+3, 2","mid, high",-,-,-,-,-,-,-,"13 [15], 24",i16,-5,KND,-,-,-,-,-
-,"(d/f+3), 2",high,-,-,-,-,-,-,-,24 [28],i27,-5,KND,KND,-,-,-,-
-,d/f+4,mid,-,-,-,-,-,-,-,15 [18],i12,-4,+7,+7,-,-,-,-
Ultra Kuma,d/f+1+2,mid,-,-,-,-,-,-,-,32 [38],i24,-7,KND,KND,-,-,-,-
Hip Smash,d+1+2,mid,-,-,-,high,-,-,-,28 [33],i14,-15,KND,KND,-,-,-,-
Wild Slap,d/b+1,high,-,-,-,-,-,-,-,14 [16],i12,-7,0,0,-,-,-,-
Double Wild Slap,"d/b+1, 2","high, mid",-,-,-,-,-,-,-,"14 [16], 20",i12,-13,+5 (OC),-,-,-,-,-
-,"(d/b+1), 2",mid,-,-,-,-,-,-,-,20 [24],i17,-13,+5 (OC),+5 (OC),-,-,-,-
Bear Lariat,d/b+2,low,-,-,-,high,-,-,-,14 [16],i18,-13,+1,+1,-,-,-,-
Bear Pump in Pedal,d/b+3,low,-,-,-,-,-,-,-,15 [18],i18,-8,+3,+3,-,-,-,-
Spinning Kuma,d/b+4,low,-,-,-,-,-,-,-,20 [24],i28,-23,STUN,STUN,-,-,-,-
-,d/b+1+2,"mid, mid",-,-,-,-,-,-,-,"5 [6], 5",i14,-9,KND,KND,-,-,-,-
-,"d/b+1+2, 1+2","mid, mid, mid, mid",-,-,-,-,-,-,-,"5 [6], 5, 5, 5",i14,-10,-,-,-,-,-,-
Drum Roll,"d/b+1+2, 1+2, 2","mid, mid, mid, mid, mid",-,-,-,-,-,-,-,"5 [6], 5, 5, 5, 27",i14,-13,KND,KND,-,-,-,-
-,b+2,mid,-,-,-,-,-,-,-,12 [14],i15,-9,+2,+2,-,-,-,-
-,"b+2, 1","mid, high",-,-,-,-,-,-,-,"12 [14], 14",i15,-3,+8,-,-,-,-,-
-,"(b+2), 1",high,-,-,-,-,-,-,-,14 [16],i23,-3,+8,+8,-,-,-,-
Howling Bear,"b+2, 1, 1+2","mid, high, mid",-,-,-,-,-,-,-,"12 [14], 14, 20",i15,-11,KND,-,-,-,-,-
-,"(b+2), 1, 1+2","high, mid",-,-,-,-,-,-,-,"14 [16], 20",i23,-11,KND,-,-,-,-,-
-,"(b+2), (1), 1+2",mid,-,-,-,-,-,-,-,20 [24],i26,-11,KND,KND,-,-,-,-
Bear Flail Kick,b+3~4,"mid, mid",-,-,-,high,-,-,-,"10 [12], 15",i22,-19,KND,KND,-,-,-,-
High Jinks,b+3+4,mid,-,-,-,high,-,-,-,20 [24],i22,-28,LAUNCH,LAUNCH,-,-,-,-
Anger Hook,"b, f+2",high,-,-,-,-,-,-,-,26 [31],i16,-8,S!,S!,-,-,-,-
Salmon Hunter,"b, f+2+3",low,-,-,-,-,-,-,-,30 [36],i37,-12,KND,KND,-,-,-,-
-,"b, f+2+3* (44f)",low,-,-,-,-,-,-,-,35 [42],-,-,KND,KND,-,-,-,-
-,"b, f+2+3* (55f)",low,-,-,-,-,-,-,-,40 [48],-,-,KND,KND,-,-,-,-
-,"b, f+2+3* (66f)",low,-,-,-,-,-,-,-,45 [54],-,-,KND,KND,-,-,-,-
-,"b, d/b, d, d/f+2",mid,-,-,-,-,-,-,-,18 [21],i18,-8,+3,+3,-,-,-,-
Grizzly Claws,"b, d/b, d, d/f+2, 1","mid, mid",-,-,-,-,-,-,-,"18 [21], 25",i18,-14,KND,-,-,-,-,-
-,"(b, d/b, d, d/f+2), 1",mid,-,-,-,-,-,-,-,25 [30],i27,-14,KND,KND,-,-,-,-
Grizzly Claw Smash,"b, d/b, d, d/f+2, 2","mid, low",-,-,-,-,-,-,-,"18 [21], 22",i18,-18,STUN,-,-,-,-,-
-,"(b, d/b, d, d/f+2), 2",low,-,-,-,-,-,-,-,22 [26],i33,-18,STUN,STUN,-,-,-,-
-,FC 1,low,-,-,-,-,-,-,-,12 [14],i19,-8,+2,+2,-,-,-,-
-,"FC 1, 1","low, low",-,-,-,-,-,-,-,"12 [14], 8",i19,+1,+12,-,-,-,-,-
-,"FC (1), 1",low,-,-,-,-,-,-,-,8 [9],i31,+1,+12,+12,-,-,-,-
-,"FC 1, 1, 1","low, low, mid",-,-,-,-,-,-,-,"12 [14], 8, 12",i19,-12,-1,-,-,-,-,-
-,"FC (1), (1), 1",mid,-,-,-,-,-,-,-,12 [14],i26,-12,-1,-1,-,-,-,-
-,"FC 1, 1, 1, 2","low, low, mid, mid",-,-,-,-,-,-,-,"12 [14], 8, 12, 12",i19,-36,+3,-,-,-,-,-
-,"FC (1), (1), (1), 2",mid,-,-,-,-,-,-,-,12 [14],i27,-36,+3,+3,-,-,-,-
Hammer Rush 1 High,"FC 1, 1, 1, 2, 1","low, low, mid, mid, high",-,-,-,-,-,-,-,"12 [14], 8, 12, 12, 12",i19,-10,+1,-,-,-,-,-
-,"FC (1), (1), (1), (2), 1",high,-,-,-,-,-,-,-,12 [14],i18,-10,+1,+1,-,-,-,-
Hammer Rush 1 Mid,"FC 1, 1, 1, 2, d/f+1","low, low, mid, mid, mid",-,-,-,-,-,-,-,"12 [14], 8, 12, 12, 15",i19,-1,+10,-,-,-,-,-
-,"FC (1), (1), (1), (2), d/f+1",mid,-,-,-,-,-,-,-,15 [18],i26,-1,+10,+10,-,-,-,-
Hammer Rush 1 Low,"FC 1, 1, 1, 2, d+1","low, low, mid, mid, low",-,-,-,-,-,-,-,"12 [14], 8, 12, 12, 8",i19,-10,0,-,-,-,-,-
-,"FC (1), (1), (1), (2), d+1",low,-,-,-,-,-,-,-,8 [9],i22,-10,0,0,-,-,-,-
-,FC 2,s. mid,-,-,-,-,-,-,-,8 [9],i11,-4,+7,+7,-,-,-,-
-,FC 3,low,-,-,-,-,-,-,-,12 [14],i20,-15,-1,-1,-,-,-,-
-,FC 4,low,-,-,-,-,-,-,-,10 [12],i16,-9,+2,+2,-,-,-,-
-,FC d/f+1,mid,-,-,-,-,-,-,-,8 [9],i15,-9,+2,+2,-,-,-,-
-,"FC d/f+1, 2","mid, mid",-,-,-,-,-,-,-,"8 [9], 12",i15,-13,-2,-,-,-,-,-
-,"FC d/f+1, 2, 1","mid, mid, mid",-,-,-,-,-,-,-,"8 [9], 12, 12",i15,-4,+7,-,-,-,-,-
Windmill Punch,"FC d/f+1, 2, 1, 2","mid, mid, mid",-,-,-,-,-,-,-,"8 [9], 12, 12, 12",i15,-11,0,-,-,-,-,-
-,"FC (d/f+1), (2), (1), 2",high,-,-,-,-,-,-,-,45 [54],i21,+21,KND,KND,-,-,-,-
-,FC d/f+2,mid,-,-,-,-,-,-,-,12 [14],i18,-13,-2,-2,-,-,-,-
-,"FC d/f+2, n, 1","mid, high",-,-,-,-,-,-,-,"12 [14], 12",i18,-10,+1,-,-,-,-,-
-,"FC d/f+2, d/f+1","mid, mid",-,-,-,-,-,-,-,"12 [14], 9",i18,-4,+7,-,-,-,-,-
Triple Uppercut Right,"FC d/f+2, d/f+1, 2","mid, mid, mid",-,-,-,-,-,-,-,"12 [14], 9, 10",i18,-11,0,-,-,-,-,-
Hammer Rush 3 Low,"FC d/f+2, d+1","mid, low",-,-,-,-,-,-,-,"12 [14], 8",i18,-10,0,-,-,-,-,-
Salmon Swipe,SS 1+2,mid,-,-,-,-,-,-,-,23 [27],i22,-9,KND,KND,-,-,-,-
-,"WR f, f, F (Full Screen)",mid,-,-,-,-,-,-,-,35 [42],i8,+13,KND,KND,-,-,-,-
-,"WR f, f, F (Full Screen) (On Grounded Opponent)",low,-,-,-,-,-,-,-,10 [12],i12,-,KND,KND,-,-,-,-
-,WR 4,low,-,-,-,-,-,-,-,17 [20],i14,-40,KND,KND,-,-,-,-
-,WS 1,mid,-,-,-,-,-,-,-,14 [16],i13,-7,+7,+7,-,-,-,-
Killing Uppercut Grizzly Scratch,"WS 1, 1","mid, high",-,-,-,-,-,-,-,"14 [16], 25",i13,-9,+7,-,-,-,-,-
-,"WS (1), 1",high,-,-,-,-,-,-,-,25 [30],i25,-9,+7,+7,-,-,-,-
Killing Uppercut Grizzly Claw,"WS 1, 2","mid, mid",-,-,-,-,-,-,-,"14 [16], 34",i13,+5,KND,-,-,-,-,-
-,"WS (1), 2",mid,-,-,-,-,-,-,-,34 [40],i41,+5,KND,KND,-,-,-,-
Mad Angler,WS 2,mid,-,-,-,-,-,-,-,20 [24],i15,-12,LAUNCH,LAUNCH,-,-,-,-
Spinning Bear Kick,WS 3,mid,-,-,HOMING,-,-,-,-,21 [25],i18,-9,KND,KND,-,-,-,-
-,WS 1+2,mid,-,-,-,-,-,-,-,16 [18],i19,-17,LAUNCH,LAUNCH,-,-,-,-
Double Hammer,"WS 1+2, 1+2","mid, mid",-,-,-,-,-,-,-,"16 [18], 18",i19,-21,KND,-,-,-,-,-
-,"WS (1+2), 1+2",mid,-,-,-,-,-,-,-,27 [32],i19,-21,KND,KND,-,-,-,-
-,WS f+1,mid,-,-,-,-,-,-,-,12 [14],i17,-6,+5,+5,-,-,-,-
-,"WS f+1, 2","mid, mid",-,-,-,-,-,-,-,"12 [14], 12",i17,-8,+3,-,-,-,-,-
Hammer Rush 2 High,"WS f+1, 2, 1","mid, mid, high",-,-,-,-,-,-,-,"12 [14], 12, 12",i17,-10,+2,-,-,-,-,-
Hammer Rush 2 Mid,"WS f+1, 2, d/f+1","mid, mid, mid",-,-,-,-,-,-,-,"12 [14], 12, 15",i17,-1,+10,-,-,-,-,-
Hammer Rush 2 Low,"WS f+1, 2, d+1","mid, mid, low",-,-,-,-,-,-,-,"12 [14], 12, 8",i17,-10,0,-,-,-,-,-
Bear Backstroke,While down (facing up) 1+2,mid,-,-,-,-,-,-,-,21 [25],i16,-18,KND,KND,-,-,-,-
Get Up Punch,While down (facing up) d+1+2,mid,-,-,-,-,-,-,-,21 [25],i28,-19,0,0,-,-,-,-
Bear Butterfly,While down (facing down) 1+2,low,-,-,-,-,-,-,-,15 [18],i14,-17,KND,KND,-,-,-,-
10 Hit Combo 1,"FC d/f+2, 1, 1+2, 3, 1+2, 1+2, 1+2, 1, 2, 1+2",-,-,-,-,-,-,-,-,87 [89],i18,-,KND,KND,-,-,-,-
10 Hit Combo 2,"FC d/f+2, 1, 1+2, 3, 1+2, 3+4, 1+2, 2, 3, 1",-,-,-,-,-,-,-,-,106 [108],i18,-,KND,KND,-,-,-,-
-,"Face Up, Feet Towards+3 or (After Rolling Forward)",low,-,-,-,-,-,-,-,10 [12],i22,-12,+5,STUN,-,-,-,-
-,"Face Up, Feet Towards+4 or (After Rolling Forward)",mid,-,-,-,-,-,-,-,18 [21],i22,-12,+5,KND,-,-,-,-
-,"Face Up, Feet Towards, d+3 (or 4)",low,-,-,-,-,-,-,-,6 [7],i13,-20,-3,-3,-,-,-,-
-,"Face Up, Feet Towards+3+4",mid,-,-,-,-,-,-,-,20 [24],i19,-21,KND,KND,-,-,-,-
-,"Face Up, Feet Towards, Roll Forward+1+2",mid,-,-,-,-,-,-,-,15 [18],i19,+2,KND,KND,-,-,-,-
-,"Face Down, Feet Away+3",low,-,-,-,-,-,-,-,10 [12],i21,-20,+1,STUN,-,-,-,-
-,"Face Down, Feet Away+4 (close)",mid,-,-,-,-,-,-,-,15 [18],i21,-19,KND,KND,-,-,-,-
-,"Face Down, Feet Away+4 (far)",mid,-,-,-,-,-,-,-,10 [12],i21,-19,-10,KND,-,-,-,-
-,(Upon Landing) f,mid,-,-,-,-,-,-,-,4,i33,-2,+3,+3,-,-,-,-
INTO FORWARD ROLL,,,,,,,,,,,,,,,,,,
Forward Roll,FC d/f+1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"1+2, F",-,-,-,-,-,-,-,-,17 [20],i17,-31,-7,+1 (OC),-,-,-,-
-,"HBS f, f",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DURING FORWARD ROLL,,,,,,,,,,,,,,,,,,
Bear Shove,ROL 1,high,-,-,-,-,-,-,-,31 [37],-,-,-,-,-,-,-,-
Bear Backhand,ROL 2,mid,-,-,-,-,-,-,-,21 [25],i17,-17,LAUNCH,LAUNCH,-,-,-,-
Bear Slide,ROL 3,low,-,-,-,-,-,-,-,20 [24],i18,-18,KND,KND,-,-,-,-
Bear Rolling Kick,ROL 4,mid,-,-,-,-,-,-,-,20 [24],i26,+7,KND,KND,-,-,-,-
Giant Roll,ROL 1+2,mid,-,-,-,-,-,-,-,22 [26],-,-15,KND,KND,-,-,-,-
INTO HUNTING,,,,,,,,,,,,,,,,,,
Hunting,3+4 (or face down 3+4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"HBS b, b, 3+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"1+2, 3+4",mid,-,-,-,-,-,-,-,17 [20],i17,-14,-3,+5 (OC),-,-,-,-
-,"u+1+2, 3+4",-,-,-,-,-,-,-,-,25 [30],-,-,-,-,-,-,-,-
-,"u/f+3, 4, 1+2, 3+4","mid, mid, mid",-,-,-,-,-,-,-,"13 [15], 9, 11",i16,-14,KND,-,-,-,-,-
-,"u/f+1+2, 3+4",mid,-,-,-,-,-,-,-,25 [30],i18,-12,-5,-5,-,-,-,-
Rabid Bear,"f, f, f+1+2, 3+4 (or WR 1+2, 3+4)",mid,-,-,-,-,-,-,-,30 [36],i20,+2,KND,KND,-,-,-,-
-,"d/b+2, 3+4",low,-,-,-,-,-,-,-,14 [16],i18,-17,-3,-3,-,-,-,-
-,"b+2, 1, 3+4","mid, high",-,-,-,-,-,-,-,"12 [14], 14",i15,-11,0,-,-,-,-,-
-,"u/b+1+2, 3+4",mid,-,-,-,-,-,-,-,25 [30],i60,!,KND,KND,-,-,-,-
Hunting,ROL 3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"SIT b, 3+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DURING HUNTING,,,,,,,,,,,,,,,,,,
Hunting to Standing,"HBS u, u/f, u/b",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunting to Crouch,HBS d/b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,HBS b or f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"HBS b, b",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,HBS 1,low,-,-,-,-,-,-,-,8 [9],i12,-11,0,0,-,-,-,-
Double Bear Claw,"HBS 1, 2","low, low",-,-,-,-,-,-,-,"8 [9], 10",i12,-13,0,-,-,-,-,-
-,"HBS (1), 2",low,-,-,-,-,-,-,-,10 [12],i17,-13,0,0,-,-,-,-
Bear Claw,HBS 2,low,-,-,-,-,-,-,-,16 [19],i21,-15,+21,+21,-,-,-,-
Hunting to Roll Over (Left),HBS 3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunting to Roll Over (Right),HBS 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bear Fling,HBS 1+2,mid,-,-,-,-,-,-,-,24 [28],i19,-15,KND,KND,-,-,-,-
Bear Toss,HBS f+1+2,high throw,-,-,-,-,-,-,-,30,i26,-,KND,KND,-,-,-,-
-,HBS d/f+1,mid,-,-,-,-,-,-,-,15 [18],i16,-5,+6,+6,-,-,-,-
Killing Uppercut Grizzly Scratch,"HBS d/f+1, 1","mid, high",-,-,-,-,-,-,-,"15 [18], 24",i16,-9,+7,-,-,-,-,-
-,"HBS (d/f+1), 1",high,-,-,-,-,-,-,-,24 [28],i14,-9,+7,+7,-,-,-,-
Big Tree,HBS d/f+2,mid,-,-,-,-,-,-,-,20 [24],i15,-17,LAUNCH,LAUNCH,-,-,-,-
Frolicking Bear,HBS d+1+2,mid,-,-,-,-,-,-,-,22 [26],i16,-9,0,+17,-,-,-,-
Hunting to Play Dead,HBS d+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,HBS b+1+2,low,-,-,-,-,-,-,-,16 [19],i26,-25,KND,KND,-,-,-,-
Break'n,"HBS b+1+2, 1+2","low, low",-,-,-,-,-,-,-,"16 [19], 23",i26,-29,KND,-,-,-,-,-
-,"HBS (b+1+2), 1+2",low,-,-,-,-,-,-,-,33 [39],i22,-29,KND,KND,-,-,-,-
Hunting Hip Smash,HBS f or b+3+4,low,-,-,-,-,-,-,-,25 [30],-,-,-,-,-,-,-,-
INTO SIT,,,,,,,,,,,,,,,,,,
Sit,d+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DURING SIT,,,,,,,,,,,,,,,,,,
-,SIT B or F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rebound,SIT 3+4,mid,-,-,-,-,-,-,-,20 [24],i25,-21,KND,KND,-,-,-,-
Trout Sweep,SIT 1,low,-,-,-,-,-,-,-,16 [19],i25,-15,KND,KND,-,-,-,-
Trout Smash,SIT 2,mid,-,-,-,-,-,-,-,18 [21],i25,-15,LAUNCH,LAUNCH,-,-,-,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,
Bear Slash,b+1,mid,-,-,-,-,-,-,-,27 [32],i22,-13,KND,KND,-,-,-,-
Bear Tackle,HBS 3+4,mid,-,-,-,-,-,-,-,21 [25],i25,-12,KND,KND,-,-,-,-
RAGE MOVES,,,,,,,,,,,,,,,,,,
Rage Art,(During Rage) b+1+2,mid,-,-,-,-,-,-,-,55 [57],i20,-22,KND,KND,-,-,-,-
Rage Drive,"(During Rage) f, F+1+2",mid,-,-,-,-,-,-,-,"23 [27], 3",i18,-12,LAUNCH,LAUNCH,-,-,-,-
UNBLOCKABLE MOVES,,,,,,,,,,,,,,,,,,
-,"b, f+2+3 (Hold for 108f)",low,-,-,-,-,-,-,-,45 [54],i39,!,KND,KND,-,-,-,-
Deadly Claw,u/b+1+2,mid,-,-,-,-,-,-,-,25 [30],i60,!,KND,KND,-,-,-,-
Rolling Bear,"u/b+1+2, hcb, u/b, u, u/f",mid,-,-,-,-,-,-,-,"40 [48], 3",i55,!,KND,KND,-,-,-,-
Dance With Me,(While enemy is down) d+1+4,"low, low",-,-,-,-,-,-,-,"16 [19], 48",i55,!,KND,KND,-,-,-,-
THROWS,,,,,,,,,,,,,,,,,,
Bear's Bite,Approach enemy... 1+3,high throw,-,-,-,-,-,-,-,35,i12,-3,KND,-,-,-,-,-
Bear Hug,Approach enemy... 2+4,high throw,-,-,-,-,-,-,-,35,i12,-6,KND,-,-,-,-,-
Bear's Bite,Approach enemy... f+1+3,high throw,-,-,-,-,-,-,-,35,i15,-3,KND,-,-,-,-,-
Bear Hug,Approach enemy... f+2+4,high throw,-,-,-,-,-,-,-,35,i15,-6,KND,-,-,-,-,-
Rock'n Roll Circus,"Approach enemy... hcb, f+1+2",high throw,-,-,-,-,-,-,-,50,i11,0,KND,-,-,-,-,-
Headbutt,"Approach enemy... f, F+1+4",high throw,-,-,-,-,-,-,-,35,i12,0,KND,-,-,-,-,-
Bear Slam,Approach from left side... 1+3 (or 2+4),high throw,-,-,-,-,-,-,-,50,i12,-3,KND,-,-,-,-,-
Choke Slam,Approach from right side...  1+3 (or 2+4),high throw,-,-,-,-,-,-,-,40,i12,-3,KND,-,-,-,-,-
Swing Swung,Approach from behind... 1+3 (or 2+4),high throw,-,-,-,-,-,-,-,70,i12,-,KND,-,-,-,-,-
-,"WR f, f, F (Mid Screen)",mid throw,-,-,-,-,-,-,-,5,i16,-5 (BT),KND,-,-,-,-,-
DURING TACKLE,,,,,,,,,,,,,,,,,,
