MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
Executioner Rush,"2, 2, 2, 2","high, mid, mid, mid",-,-,-,-,-,-,-,"9 [10], 17, 17, 20",i11,-14,KND,-,-,-,-,-
-,"(2), 2, 2, 2","mid, mid, mid",-,-,-,-,-,-,-,"17 [20], 17, 20",i27,-14,KND,-,-,-,-,-
-,"(2), (2), 2, 2","mid, mid",-,-,-,-,-,-,-,"17 [20], 20",i33,-14,KND,-,-,-,-,-
-,"(2), (2), (2), 2",mid,-,-,-,-,-,-,-,20 [24],i33,-14,KND,KND,-,-,-,-
-,3,high,-,-,-,-,-,-,-,25 [30],i13,-9,+2,+2,-,-,-,-
-,4,high,-,-,-,-,-,-,-,17 [20],i12,-6,+3,+3,-,-,-,-
Double Head Shot,"4, 2","high, mid",-,-,-,-,-,-,-,"17 [20], 20",i12,-5,+6 (OC),-,-,-,-,-
-,"(4), 2",mid,-,-,-,-,-,-,-,20 [24],i26,-5,+6 (OC),KND,-,-,-,-
Switch Hitter,1+2,"high, mid",-,-,-,-,-,-,-,"14 [16], 24",i13,-14,KND,KND,-,-,-,-
-,1+2 (second hit only),mid,-,-,-,-,-,-,-,24 [28],i28,-14,KND,KND,-,-,-,-
Shove,2+3,mid,-,-,-,-,-,-,-,0,i14,-7,+2,-,-,-,-,-
-,f+2,high,-,-,-,-,-,-,-,10 [112],i14,-7,+4,+4,-,-,-,-
Face Grinder,"f+2, 2 (only during hit from front)","high, mid",-,-,-,-,-,-,-,50 [52],i14,-14,KND,-,-,-,-,-
-,"(f+2), 2",mid,-,-,-,-,-,-,-,40 [43],i25,-14,KND,KND,-,-,-,-
-,f+3,mid,-,-,-,-,-,-,-,13 [15],i18,-7,+9,+9,-,-,-,-
Shock and Awe,"f+3, 2","mid, mid",-,-,-,-,-,-,-,"13 [15], 20",i18,-19,KND,-,-,-,-,-
-,"(f+3), 2",mid,-,-,-,-,-,-,-,20 [24],i24,-19,KND,KND,-,-,-,-
Tripwire,f+2+3,low,-,-,-,-,-,-,-,16 [19],i28,-12,+6,+6,-,-,-,-
-,d/f+1,mid,-,-,-,-,-,-,-,13 [15],i13,-3,+4,+4,-,-,-,-
-,"d/f+1, 1","mid, high",-,-,-,-,-,-,-,"13 [15], 9",i13,-4,+7,-,-,-,-,-
-,"(d/f+1), 1",high,-,-,-,-,-,-,-,9 [10],i16,-4,+7,+7,-,-,-,-
Side Swipe Smash,"d/f+1, 1, 2","mid, high, mid",-,-,-,-,-,-,-,"13 [15], 9, 21",i13,-13,KND,-,-,-,-,-
-,"(d/f+1), 1, 2","high, mid",-,-,-,-,-,-,-,"9 [10], 21",i16,-13,KND,-,-,-,-,-
-,"(d/f+1), (1), 2",mid,-,-,-,-,-,-,-,21 [25],i32,-13,KND,S!,-,-,-,-
Tenderizer,"d/f+1, 2","mid, mid",-,-,-,-,-,-,-,"13 [15], 20",i13,-11,+7,-,-,-,-,-
-,"(d/f+1), 2",mid,-,-,-,-,-,-,-,20 [24],i22,-11,+7,+7,-,-,-,-
Blood Moon,d/f+2,mid,-,-,-,-,-,-,-,12 [14],i15,-14,LAUNCH,LAUNCH,-,-,-,-
-,d/f+3,mid,-,-,-,-,-,-,-,13 [15],i15,-7,+4,+4,-,-,-,-
-,"d/f+3, 1","mid, high",-,-,-,-,-,-,-,"13 [15], 12",i15,-2,+9,-,-,-,-,-
-,"(d/f+3), 1",high,-,-,-,-,-,-,-,12 [14],i21,-2,+9,+9,-,-,-,-
Scottish Maiden,"d/f+3, 1, 2","mid, high, mid",-,-,-,-,-,-,-,"13 [15], 12, 20",i15,-11,0 (OC),-,-,-,-,-
-,"(d/f+3), 1, 2","high, mid",-,-,-,-,-,-,-,"12 [14], 20",i21,-11,0 (OC),-,-,-,-,-
-,"(d/f+3), (1), 2",mid,-,-,-,-,-,-,-,20 [24],i21,-11,0 (OC),KND,-,-,-,-
Iron Maiden,"d/f+3, 1, 4","mid, high, mid",-,-,-,-,-,-,-,"13 [15], 12, 23",i15,-14,KND,-,-,-,-,-
-,"(d/f+3), 1, 4","high, mid",-,-,-,-,-,-,-,"12 [14], 23",i21,-14,KND,-,-,-,-,-
-,"(d/f+3), (1), 4",mid,-,-,-,-,-,-,-,23 [27],i24,-14,KND,KND,-,-,-,-
-,d/f+4,mid,-,-,-,-,-,-,-,15 [18],i14,-7,+4,+4,-,-,-,-
Front Kick to Temple Smash,"d/f+4, 2","mid, high",-,-,-,-,-,-,-,"15 [18], 20",i14,+1,+6,-,-,-,-,-
-,"(d/f+4), 2",high,-,-,-,-,-,-,-,20 [24],i27,+1,+6,+6,-,-,-,-
Front Kick to Knee Lift,"d/f+4, 3","mid, mid",-,-,-,-,-,-,-,"15 [18], 18",i14,-9,+7,-,-,-,-,-
-,"(d/f+4), 3",mid,-,-,-,-,-,-,-,18 [21],i25,-9,+7,KND,-,-,-,-
No Exceptions,d/f+1+2,"mid, mid",-,-,-,-,-,-,-,"10 [12], 15",i22,-14,KND,-,-,-,-,-
-,d/f+1+2 (second hit only),mid,-,-,-,-,-,-,-,15 [18],i55,-14,KND,KND,-,-,-,-
Bad Break,d+2,mid,-,-,-,-,-,-,-,17,i17,-9,+2 (OC),-,-,-,-,-
Death Penalty,CH d+2,mid,-,-,-,-,-,-,-,50,i17,-9,-,KND,-,-,-,-
Kneecapper,d+3,low,-,-,-,-,-,-,-,12 [14],i15,-12,-1,-1,-,-,-,-
Low Sweep,d/b+4,low,-,-,-,-,-,-,-,15 [18],i16,-15,-4,-4,-,-,-,-
Violent Siege,d/b+1+2,high,-,-,-,-,-,-,-,26 [31],i13,-8,+11,STUN,-,-,-,-
-,b+1,mid,-,-,-,-,-,-,-,12 [14],i16,-9,+2,+2,-,-,-,-
Molotov Cocktail,"b+1, 2","mid, mid",-,-,-,-,-,-,-,"12 [14], 23",i16,-10,KND,-,-,-,-,-
-,"(b+1), 2",mid,-,-,-,-,-,-,-,23 [27],i26,-10,KND,S!,-,-,-,-
-,b+2,high,-,-,-,-,-,-,-,15 [18],i16,-9,-3,-3,-,-,-,-
Back Swing Brain Bash to Death Penalty,"b+2, 2 (only during hit from front)","high, mid",-,-,-,-,-,-,-,65 [68],i16,-11,KND,-,-,-,-,-
-,"(b+2), 2",mid,-,-,-,-,-,-,-,50 [54],i20,-11,KND,KND,-,-,-,-
Back Swing Funeral,"b+2, 3","high, mid",-,-,-,-,-,-,-,"15 [18], 20",i16,-6,KND,-,-,-,-,-
-,"(b+2), 3",mid,-,-,-,-,-,-,-,20 [24],i20,-6,KND,KND,-,-,-,-
Murder Stomp,b+3,low,-,-,-,-,-,-,-,22 [26],i23,-12,+5,+11,-,-,-,-
Concussion Kick,b+4,mid,-,-,-,-,-,-,-,20 [24],i20,-9,+2,STUN,-,-,-,-
Wretched Hammer,b+1+2,mid,-,-,-,-,-,-,-,25 [30],i22,+4,KND,GROUND BOUNCE,-,-,-,-
Matador,u/b+2,mid,-,-,-,-,-,-,-,20 [24],i25,-20,KND,KND,-,-,-,-
Nightmare Slice,u/f+2,high,-,-,-,-,-,-,-,25 [30],i24,-9,KND,KND,-,-,-,-
Raging Bull,u/f+3,mid,-,-,-,-,-,-,-,25 [30],i29,-9,KND,KND,-,-,-,-
Blunt Force,u/f+4,mid,-,-,-,-,-,-,-,20 [24],i17,-7,+5,STUN,-,-,-,-
Justice Served,"f, F+2",mid,-,-,-,-,-,-,-,22 [26],i18,-11,KND,KND,-,-,-,-
-,"f, F+3",mid,-,-,-,-,-,-,-,13 [15],i18,-4,+8,+8,-,-,-,-
Death Scream,"f, F+3, 2","mid, mid",-,-,-,-,-,-,-,"13 [15], 23",i18,-20,KND,-,-,-,-,-
-,"(f, F+3), 2",mid,-,-,-,-,-,-,-,23 [27],i10,-20,KND,KND,-,-,-,-
Savior Spike,"f, F+4",mid,-,-,-,-,-,-,-,23 [27],i24,+4,KND,KND,-,-,-,-
Gutless,"f, F+1+2",mid,-,-,-,-,-,-,-,28 [33],i28,-6,KND,STUN,-,-,-,-
Secret Weapon,qcf+1,mid,-,-,-,-,-,-,-,25 [30],i14,-19,KND,KND,-,-,-,-
Rush Down,"f, f, f+2 (or WR 2)",mid,-,-,-,-,-,-,-,30 [36],i20,-9,KND,KND,-,-,-,-
-,BT 1,high,-,-,-,-,-,-,-,15 [18],i8,-8,+3,+3,-,-,-,-
No Look Swing,BT 2,mid,-,-,-,-,-,-,-,23 [27],i14,-10,KND,KND,-,-,-,-
-,BT 3 (or 4),high,-,-,-,-,-,-,-,18 [21],i10,-8,KND,KND,-,-,-,-
-,FC 1,s. mid,-,-,-,high,-,-,-,5 [6],i10,-5,+6,+6,-,-,-,-
-,FC 2,s. mid,-,-,-,high,-,-,-,8 [9],i13,-7,+4,+4,-,-,-,-
-,FC 3,low,-,-,-,high,-,-,-,12 [14],i16,-15,-4,-4,-,-,-,-
-,FC 4,low,-,-,-,high,-,-,-,10 [12],i12,-15,-4,-4,-,-,-,-
Sneaky,FC d/f+2,low,-,-,-,high,-,-,-,19 [22],i20,-13,+3 (OC),KND,-,-,-,-
Full Swing Left,SSL 2,high,-,-,-,-,-,-,-,23 [27],i20,-8,STUN,STUN,-,-,-,-
Full Swing Right,SSR 2,high,-,-,-,-,-,-,-,23 [27],i20,-8,STUN,STUN,-,-,-,-
-,"WR f, f, F (Full Screen)",mid,-,-,-,-,-,-,-,30 [36],i8,+13,KND,KND,-,-,-,-
-,"WR f, f, F (Full Screen) (On Grounded Opponent)",low,-,-,-,-,-,-,-,10 [12],i12,+6,KND,KND,-,-,-,-
-,WR 4,low,-,-,-,-,-,-,-,17 [20],i14,-40,KND,KND,-,-,-,-
-,WR 1+2,mid,-,-,-,-,-,-,-,24 [28],i18,0,KND,KND,-,-,-,-
-,WS 1,mid,-,-,-,-,-,-,-,15 [18],I12,-3,+8,+8,-,-,-,-
Malice Impact,WS 2,mid,-,-,-,-,-,-,-,20 [24],i15,-16,STUN,STUN,-,-,-,-
-,WS 3,mid,-,-,-,-,-,-,-,13 [15],i14,-7,+9,+9,-,-,-,-
Shock and Awe,"WS 3, 2","mid, mid",-,-,-,-,-,-,-,"13 [15], 20",i14,-19,KND,-,-,-,-,-
-,"WS (3), 2",mid,-,-,-,-,-,-,-,20 [24],i24,-19,KND,KND,-,-,-,-
-,(While enemy is down) d+3+4,low,-,-,-,-,-,-,-,"8 [10], 25",i18,-20,KND,KND,-,-,-,-
-,"Face Up, Feet Towards+3 or (After Rolling Forward)",low,-,-,-,high,-,-,-,10 [12],i22,-12,+5,STUN,-,-,-,-
-,"Face Up, Feet Towards+4 or (After Rolling Forward)",mid,-,-,-,-,-,-,-,18 [21],i22,-12,+5,KND,-,-,-,-
-,"Face Up, Feet Towards, d+3 (or 4)",low,-,-,-,"high, mid",-,-,-,5 [6],i13,-18,-3,-3,-,-,-,-
-,"Face Up, Feet Towards+3+4",mid,-,-,-,low,-,-,-,20 [24],i19,-21,KND,KND,-,-,-,-
-,"Face Up, Feet Towards, Roll Forward+1+2",mid,-,-,-,high,-,-,-,15 [18],i19,+2,KND,KND,-,-,-,-
-,"Face Down, Feet Away+3",low,-,-,-,high,-,-,-,10 [12],i21,-20,+1,STUN,-,-,-,-
-,"Face Down, Feet Away+4 (close)",mid,-,-,-,-,-,-,-,18 [21],i21,-19,KND,KND,-,-,-,-
-,"Face Down, Feet Away+4 (far)",mid,-,-,-,-,-,-,-,18 [21],i21,-19,-10,KND,-,-,-,-
-,(Upon Landing) f,mid,-,-,-,low,-,-,-,4,i33,-2,+3,+3,-,-,-,-
INTO INTIMIDATION,,,,,,,,,,,,,,,,,,
Intimidation,3+4,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-
Push Kick to Intimidation,INT 3,mid,-,-,-,-,-,-,-,15 [18],i18,-7,STUN,STUN,-,-,-,-
Corpse Kick to Intimidation,INT 4,mid,-,-,-,-,-,-,-,25 [30],i15,-7,KND,STUN,-,-,-,-
Shove to Intimidation,CH 2+3,mid,-,-,-,-,-,-,-,0,i14,-7,-,STUN,-,-,-,-
Tenderizer to Intimidation,"d/f+1, 2*","mid, mid",-,-,-,-,-,-,-,"13 [15], 20",i13,-11,+7,+7,-,-,-,-
Blood Moon to Intimidation,d/f+2*,mid,-,-,-,-,-,-,-,12 [14],i15,-14,LAUNCH,LAUNCH,-,-,-,-
Front Kick to Temple Smash to Intimidation,"d/f+4, 2*","mid, high",-,-,-,-,-,-,-,"15 [18], 20",i14,+5,+10,+10,-,-,-,-
Agony to Intimidation,d/b+2 (must hit),low,-,-,-,-,-,-,-,25 [30],i24,-15,+2,+2,-,-,-,-
Malice Impact to Intimidation,WS 2*,mid,-,-,-,-,-,-,-,20 [24],i15,-16,STUN,STUN,-,-,-,-
DURING INTIMIDATION,,,,,,,,,,,,,,,,,,
-,INT 1,mid,-,-,-,-,-,-,-,15 [18],i14,-4,+8,+8,-,-,-,-
Slaughter Strike,"INT 1, 2","mid, mid",-,-,-,-,-,-,-,"15 [18], 20",i14,-,KND,-,-,-,-,-
-,"INT (1), 2",mid,-,-,-,-,-,-,-,20 [24],i20,-11,KND,KND,-,-,-,-
Beatdown,INT 2,mid,-,-,-,-,-,-,-,20 [24],i20,-14,KND,KND,-,-,-,-
Blast Off,INT d/f+2,mid,-,-,-,-,-,-,-,20 [24],i19,-20,LAUNCH,LAUNCH,-,-,-,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,
Let Me In,2+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Walker Maker,f+1+2,mid,-,-,-,-,-,-,-,21 [25],i24,-15,LAUNCH,LAUNCH,-,-,-,-
Grand Slam,INT 1+2,high,-,-,-,-,-,-,-,25 [30],i15,+5,KND,KND,-,-,-,-
RAGE MOVES,,,,,,,,,,,,,,,,,,
Rage Art,(During Rage) d+1+2,mid,-,-,-,-,-,-,-,55 [57],i20,-22,KND,KND,-,-,-,-
Rage Drive 1,(During Rage) b+2+3,"mid, mid",-,-,-,-,-,-,-,"10 [12], 10",i22,+8 (OC),STUN,-,-,-,-,-
-,(During Rage) b+2+3 (second hit only),mid,-,-,-,-,-,-,-,10 [12],i28,+8 (OC),STUN,STUN,-,-,-,-
Rage Drive 2,"(During Rage) b+2+3, F","mid, mid",-,-,-,-,-,-,-,"10 [12], 10",i22,+6,KND,-,-,-,-,-
-,"(During Rage) b+2+3, F (second hit only)",mid,-,-,-,-,-,-,-,10 [12],i26,+6,KND,KND,-,-,-,-
Rage Drive 3,"(During Rage) b+2+3, B","mid, mid",-,-,-,-,-,-,-,"10 [12], 10",i22,-8,LAUNCH,-,-,-,-,-
-,"(During Rage) b+2+3, B (second hit only)",mid,-,-,-,-,-,-,-,10 [12],i28,-8,LAUNCH,LAUNCH,-,-,-,-
UNBLOCKABLE ATTACKS,,,,,,,,,,,,,,,,,,
Violent Siege to Intimidation,d/b+1+2*,high,-,-,-,-,-,-,-,33 [39],i43,!,+11,STUN,-,-,-,-
Punishment,INT 2+3 (B to cancel),mid,-,-,-,-,-,-,-,50 [60],i60,!,KND,KND,-,-,-,-
THROWS,,,,,,,,,,,,,,,,,,
Dirty Tactics,Approach enemy... 1+3,high,-,-,-,-,-,-,FLOOR BREAK,35,i12,-3,KND,-,-,-,-,-
Into the Fire,Approach enemy... 2+4,high,-,-,-,-,-,-,-,35,i12,-6,KND,-,-,-,-,-
No Mercy,Approach enemy... u/f+1+2,high,-,-,-,-,-,-,-,40,i12,-6,KND,-,-,-,-,-
Dirty Tactics,Approach enemy... f+1+3,high,-,-,-,-,-,-,FLOOR BREAK,35,i15,-3,KND,-,-,-,-,-
Into the Fire,Approach enemy... f+2+4,high,-,-,-,-,-,-,-,35,i15,-6,KND,-,-,-,-,-
Dirty Tactics,Approach from left side... 1+3 (or 2+4),high,-,-,-,-,-,-,FLOOR BREAK,40,i12,-3,KND,-,-,-,-,-
Into the Fire,Approach from right side... 1+3 (or 2+4),high,-,-,-,-,-,-,-,40,i12,-3,KND,-,-,-,-,-
The End,Approach from behind... 1+3 (or 2+4),high,-,-,-,-,-,-,-,50,i12,-,KND,-,-,-,-,-
Crowbar,INT 1+3,high,-,-,-,-,-,-,-,32,i18,-15,KND,-,-,-,-,-
-,"WR f, f, F (Mid Screen)",mid,-,-,-,-,-,-,-,5,i16,-5 (BT),KND,-,-,-,-,-
-,(During Tackle) 1 (or 2),-,-,-,-,-,-,-,-,25,-,-,KND,-,-,-,-,-
