MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON CROUCHING,ON WHIFF,ACTIVE,NOTES
C Windmill to Air Tracks to Chair,"d+3+4, in time with the rhythm... d+3+4, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"d+3+4, in time with the rhythm... d+3+4, F, 3+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Twist,d/b+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Double Twist,"d/b+3, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,(During Left Twist) 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"(During Left Twist) 1, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Point to C Uprock Hit,"(During Left Twist) 1, 2, 1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"(During Left Twist) 1, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Point to C Uprock Clap,"(During Left Twist) 1, 2, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Point to C Uprock Swing,"(During Left Twist) 1, 2, 1+2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,(During Left Twist) 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Uprock Hit,"(During Left Twist) 2, 1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Uprock Clap,"(During Left Twist) 2, 2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Uprock Swing,"(During Left Twist) 2, 1+2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Twist to Axe Heel,(During Left Twist) 3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Twist to Scoot,(During Left Twist) 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Right Twist to Left Twist,"(During Left Twist), in time with the rhythm... d/b+3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,(During Left Twist) d/b+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Twist to Right Twist,"(During Left Twist), in time with the rhythm... d/b+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coffee Grinder to Scoot,"(During Left Twist) d/b+4, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,d/b+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coffee Grinder to Scoot,"d/b+4, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aerial Arc,d/b+1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hands Up,b+1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Circle Clap,b+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Graceful Turn,b+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Walking Knee,b+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,FC 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,FC 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,FC 3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,FC 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hand Snap,FC d/f+1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spin and Roll,FC d/f+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Step Up,FC d/f+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cat Tail,SS 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Charging Tackle*,"WR f, f, F (Full Screen)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Running Stomp*,"WR f, f, F (Full Screen) (On Grounded Opponent)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,WR 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,WR 1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,WS 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Right Cross Shift,"WS 1, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Left Cross Shift,WS 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,WS 3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,WS 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10 Hit Combo,"f+3, 1, 2, 1+2, 3, 2 (During Hit), 4, 3, 1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wake-Up Low Kick*,"Face Up, Feet Towards+3 or (After Rolling Forward)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wake-Up Mid Kick*,"Face Up, Feet Towards+4 or (After Rolling Forward)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Recovery Kick* (Back Roll on Hit),"Face Up, Feet Towards, d+3 (or 4)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spring Attack*,"Face Up, Feet Towards+3+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Flying Cross Chop*,"Face Up, Feet Towards, Roll Forward+1+2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"Face Down, Feet Away+3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"Face Down, Feet Away+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Handspring Kickup,(Upon Landing) f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INTO BT,,,,,,,,,,,,,,,,,,,
*,"f+4, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"f+4, 4, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"b+3, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"d/b+3, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DURING BT,,,,,,,,,,,,,,,,,,,
*,BT 3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Donkey Kick,"BT 3, 3+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Backflip,BT 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,BT 3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Backflip Combo,"BT 3+4, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rollback,BT f+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Freeze to Chair,"BT f+3+4, 3+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kick Up,"BT f+3+4, 3+4, 3+4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,BT d+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Turning Coffee Grinder to Scoot,"BT d+4, 4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cat Slide,BT d+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,,
Happy Swing,b+1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RAGE MOVES,,,,,,,,,,,,,,,,,,,
Rage Art,(During Rage) 3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"(During Rage) d/f+3+4, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rage Drive 1,(During Rage) d/f+3+4 (During Hit) 1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rage Drive 2,(During Rage) FC d/f+3+4 (During Hit) 1+2,,,,,,,,,,,,,,,,,,
UNBLOCKABLE ATTACKS,,,,,,,,,,,,,,,,,,,
Lucky Corkscrew,u/b+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
THROWS,,,,,,,,,,,,,,,,,,,
C Drill,Approach enemy... 1+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Drill,Approach enemy... f+1+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Donkey Flip,Approach enemy... 2+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Donkey Flip,Approach enemy... f+2+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rolling Beat,Approach from left side... 1+3 (or 2+4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rolling Toss,Approach from right side...  1+3 (or 2+4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aerial Acrobat,Approach from behind... 1+3 (or 2+4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lollipop,Approach enemy... d/f+1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Running Tackle*,"WR f, f, F (Mid Screen)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"WR f, f, F (Mid Screen) 1 (or 2)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"WR f, f, F (Mid Screen) 1/2, 1/2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"WR f, f, F (Mid Screen) 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*,"WR f, f, F (Mid Screen) 1/2, 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
