MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,RECOVERY,ACTIVE,NOTES
-,"(f+4), (2), (1), (2), 4",mid,2,2.5,-,-,-,-,WALL BREAK / SPLAT,12 [14],i21,-9,KND,KND,FLOAT,-27,1,-
Twin Snake Strikes,f+1+2,"high, high",1.75,2,-,-,-,-,-,"13 [15], 10",i16,+4,+9,+9,FLOAT,-25,"1, 1",-
-,f+1+2 (second hit only),high,2,2.5,SSL / SSR,-,-,-,-,10 [12],i25,+4,+9,+9,FLOAT,-25,1,-
-,d/f+1,mid,1.5,0.25,SWL / SWR,-,-,-,-,13 [15],i13,-4,+7,+7,FLOAT,-21,2,-
-,"d/f+1, 1","mid, high",1.25,0.5,-,-,NO,NC,-,"13 [15], 12",i13,-9,+2,-,FLOAT,-27,"1, 1",-
-,"(d/f+1), 1",high,1.5,1.5,-,-,-,-,-,12 [14],i16,-9,+2,+2,FLOAT,-27,1,-
Dancing Cobra,"d/f+1, 1, 1","mid, high, mid",1.25,0,-,-,NO,NO,WALL BREAK / SPLAT,"13 [15], 12, 21",i13,-10,KND,-,FLOAT,-27,"1, 1, 2",-
-,"(d/f+1), 1, 1","high, mid",1.5,0,-,-,NO,NCc,WALL BREAK / SPLAT,"12 [14], 21",i16,-10,KND,-,FLOAT,-27,"1, 1",-
-,"(d/f+1), (1), 1",mid,1,0,-,-,-,-,WALL BREAK / SPLAT,21 [25],i22,-10,KND,KND,FLOAT,-27,1,-
Right Uppercut,d/f+2,mid,1.5,0,SSL / SSR,-,-,-,WALL SPLAT,12 [14],i15,-7,LAUNCH,LAUNCH,FLOAT,-24,2,-
Spinning Side Kick,d/f+3,mid,2.5,1.5,SWL / SWR,-,-,-,WALL BREAK / SPLAT,27 (32),i21,-10,KND,KND,KND,-28,1,-
Tiger Fang,d/f+1+2,mid,1.5,0.25,-,-,-,-,-,21 [25],i17,-7 (OC),-4 (OC),-4 (OC),KND,-33,1,-
-,d+2,mid,2,0,-,-,-,-,-,18 [21],i18,-3 (OC),+4 (OC),+4 (OC),KND,-29,1,-
Lian Huan Tie Suo,"d+2, 2","mid, mid",2,0.25,-,-,NO,NCc,WALL BREAK / SPLAT,"18 [21], 21",i18,-10,KND,-,KND,-30,"1, 1",-
-,"(d+2), 2",mid,2,0.5,SSL,-,-,-,WALL BREAK / SPLAT,21 [25],i23,-10,KND,KND,KND,-30,1,-
-,d+4,low,1.5,1.5,SSL / SSR,-,-,-,-,10 [12],i12,-12,0,0,FLOAT,-33,1,-
Double Stab,"d+4, 4","low, mid",1.5,2,-,-,NO,NCc,-,"10 [12], 15",i12,-15,-2,-,FLOAT,-33,"1, 1",-
-,"(d+4), 4",mid,2,2,-,-,-,-,-,15 [18],i21,-15,-2,-2,FLOAT,-33,1,-
-,d/b+3,low,1.5,1.5,SSL / SSR,high,-,-,-,12 [14],i16,-17,-3,-3,FLOAT,-32,1,-
-,d/b+4 (clean hit),low,1.75,0.25,SSL,"high, mid",-,-,WALL BREAK / SPLAT,12 [14],i20,-26,KND,KND,FLOAT,-31,2,-
-,d/b+4 (far),low,1.75,0.25,SSL,"high, mid",-,-,WALL BREAK / SPLAT,8 [9],i20,-26,-4,-4,FLOAT,-31,2,-
Rave Spin,"d/b+4, 4","low, high",1.75,0.25,-,-,NO,NC,-,"8 [9], 21",i20,-26,KND,-,TAIL SPIN,-31,"2, 6",-
-,"(d/b+4), 4",high,2.5,0,-,-,-,-,-,21 [36],i31,-8,KND,KND,TAIL SPIN,-31,6,-
Orchid Palm,d/b+1+2,mid,0.75,0.25,-,-,-,-,-,26 [31],i28,-12,KND,KND,FLOAT,-30,1,-
-,"d/b+3+4, D",mid,1.5,0.25,-,"high, low",-,-,-,22 [26],i19,-21,KND,KND,FLOAT,-40,2,-
-,b+2,mid,1.5,0.25,SSL,high,-,-,-,15 [18],i17,-7,+4,+4,FLOAT,-25,1,-
Deceiving Swallow,"b+2, 4","mid, high",1.5,0.5,-,-,NO,NC,WALL BREAK / SPLAT,"15 [18], 23",i24,-9,KND,-,S!,-32,"1, 2",-
-,"(b+2), 4",high,3,0.5,SWR,-,-,-,WALL BREAK / SPLAT,23 [27],i24,-9,KND,S!,S!,-32,2,-
-,b+3,high,0,2.5,-,-,-,-,-,25 [30],i14,-14,-4,-3,S!,-32,1,-
-,b+4,low,1.75,0,-,-,-,-,-,17 [20],i23,-12,-1,+3,-,-30,1,-
Lei Gong Elbow,"b+4, 1","low, high",1.75,2,-,-,NO,NCc,WALL BREAK / SPLAT,"17 [20], 23",i23,-10,KND,-,S!,-32,"1, 2",-
-,"(b+4), 1",high,1.5,2,-,-,-,-,WALL BREAK / SPLAT,23 [27],i26,-10,KND,KND,S!,-32,2,-
Cannonball,b+1+2,mid,1.5,0,SSL / SSR,high,-,-,-,25 [30],i26,-11,-3,+20,FLOAT,-21,5,-
Scythe Kick,u/b+4,mid,1,3,SSL / SSR,-,-,-,WALL BREAK / SPLAT,20 [24],i15,-18,KND,KND,BACK FLIP,-34,1,-
-,u+1+2,-,5.5,0,-,low,-,-,-,-,-,-,-,-,-,-49,-,-
Pouncing Tiger Sweep,"u+1+2, 4",low,1.5,0.25,-,low,-,-,-,20 [24],i27,-11,LAUNCH,LAUNCH,-,-29,1,-
Sonic Strike,u/f+1,high,1.75,0.5,-,-,-,-,-,19 [22],i17,-3,+7,+7,FLOAT,-22,1,-
Falling Tree,u/f+2,mid,2.5,0.25,-,low,-,-,-,25 [30],i35,-14,-3,-3,KND,-28,6,-
Ostrich Kick,u/f+4,mid,1.5,0.5,SSL,low,-,-,WALL SPLAT,13 [15],i15,-13,LAUNCH,LAUNCH,FLOAT,-30,3,-
Comet Kick,u/f+3+4,"mid, mid",4,1,-,low,-,-,-,"10 [12], 16",i33,-1,LAUNCH,LAUNCH,KND,-17,"1, 1",-
-,u/f+3+4 (second hit only),mid,4.5,1,-,low,-,-,-,16 [19],i38,-1,LAUNCH,LAUNCH,KND,-17,1,-
Razor Rush Low Kick,"f, n, 1, 2, 1, 2, 3","mid, mid, mid, mid, low",2,1,-,-,NO,NO,-,"9 [10], 9, 9, 9, 12",i12,-17,KND,-,FLOAT,-35,"1, 1, 1, 1, 1",-
-,"f, n, (1), 2, 1, 2, 3","mid, mid, mid, low",0.75,1.5,SSR,-,NO,NO,-,"9 [10], 9, 9, 12",i12,-17,KND,-,FLOAT,-35,"1, 1, 1, 1",-
-,"f, n, (1), (2), 1, 2, 3","mid, mid, low",1,1.5,-,-,NO,NO,-,"9 [10], 9, 12",i15,-17,KND,-,FLOAT,-35,"1, 1, 1",-
-,"f, n, (1), (2), (1), 2, 3","mid, low",1,1.5,-,-,NO,NO,-,"9 [10], 12",i15,-17,KND,-,FLOAT,-35,"1, 1",-
-,"f, n, (1), (2), (1), (2), 3",low,1,1.5,SSL / SSR,-,-,-,-,12 [14],i21,-17,KND,KND,FLOAT,-35,1,-
Razor Rush Mid Kick,"f, n, 1, 2, 1, 2, 4","mid, mid, mid, mid, mid",2,1,-,-,NO,NO,WALL BREAK / SPLAT,"9 [10], 9, 9, 9, 12",i12,-9,KND,-,FLOAT,-27,"1, 1, 1, 1, 1",-
-,"f, n, (1), 2, 1, 2, 4","mid, mid, mid, mid",0.5,1,-,-,NO,NO,WALL BREAK / SPLAT,"9 [10], 9, 9, 12",i12,-9,KND,-,FLOAT,-27,"1, 1, 1, 1",-
-,"f, n, (1), (2), 1, 2, 4","mid, mid, mid",1,1,-,-,NO,NO,WALL BREAK / SPLAT,"9 [10], 9, 12",i15,-9,KND,-,FLOAT,-27,"1, 1, 1",-
-,"f, n, (1), (2), (1), 2, 4","mid, mid",1,1,-,-,NO,NO,WALL BREAK / SPLAT,"9 [10], 12",i15,-9,KND,-,FLOAT,-27,"1, 1",-
-,"f, n, (1), (2), (1), (2), 4",mid,1,1,-,-,-,-,WALL BREAK / SPLAT,12 [14],i21,-9,KND,KND,FLOAT,-27,1,-
-,"f, n, 2",high,1.5,0.5,-,-,-,-,-,10 [12],i12,+2,+7,+7,FLOAT,-17,1,-
-,"f, n, 2, 1","high, mid",1.5,0,-,-,YES,NC,-,"10 [12], 12",i12,0,-1,-1,FLOAT,-30,"1, 1",-
-,"f, n, (2), 1",mid,1,1,-,-,-,-,-,10 [12],i16,-12,-1,-1,FLOAT,-30,1,-
-,"f, n, 2, 1, 2","high, mid, mid",1.5,0,-,-,NO,NO,-,"10 [12], 12, 8",i12,-17,-1,-1,FLOAT,-30,"1, 1, 1",-
-,"f, n, (2), 1, 2","mid, mid",1,0.25,-,-,YES,NCc,-,"10 [12], 8",i16,-12,-1,-1,FLOAT,-30,"1, 1",-
-,"f, n, (2), (1), 2",mid,0.5,1,SSL,-,-,-,-,8 [9],i34,-12,-1,-1,FLOAT,-30,1,-
Defense Breaker,"f, n, 2, 1, 2, 1 (While enemy is guarding)","high, mid, mid, mid",1.5,1.5,-,-,NO,NO,-,-,i12,-39,-,-,FLOAT,-42,1,-
Spinning Lotus Kick,"f, n, 3",high,1.5,2,SWR,-,-,-,-,30 [36],i15,+3,KND,KND,S!,-34,2,-
-,"f, n, 4",high,1.5,1.5,-,-,-,-,-,18 [21],i10,-11,0,0,FLOAT,-29,1,-
-,"f, n, 4, 1","high, mid",1.5,0.5,-,-,NO,NC,-,"18 [21], 12",i10,-1,+5,-,FLOAT,-19,1,-
-,"f, n, (4), 1",mid,1.5,1.5,SSR,-,-,-,-,12 [14],i23,-1,+5,+5,FLOAT,-19,1,-
-,"f, n, 4, 1, 2","high, mid, mid",1.5,1,-,-,NO,NC,-,"18 [21], 12, 8",i10,-10,-4,-,FLOAT,-28,"1, 1, 1",-
-,"f, n, (4), 1, 2","mid, mid",1.5,2,-,-,YES,NC,-,"12 [14], 8",i23,-10,-4,-,FLOAT,-28,"1, 1",-
-,"f, n, (4), (1), 2",mid,1,1.5,-,-,-,-,-,8 [9],i10,-10,-4,-4,FLOAT,-28,1,-
-,"f, n, 4, 1, 2, 2","high, mid, mid, mid",1.5,0.5,-,-,NO,NO,-,"18 [21], 12, 8, 10",i10,-12,-1,-,FLOAT,-28,"1, 1, 1, 1",-
-,"f, n, (4), 1, 2, 2","mid, mid, mid",1.5,0.25,-,-,YES,NO,-,"12 [14], 8, 10",i23,-12,-1,-,FLOAT,-28,"1, 1, 1",-
-,"f, n, (4), (1), 2, 2","mid, mid",1,0.25,-,-,YES,NO,-,"8 [9], 10",i10,-12,-1,-,FLOAT,-28,"1, 1",-
-,"f, n, (4), (1), (2), 2",mid,1,0.25,SSL / SSR,-,-,-,-,10 [12],i16,-12,-1,-1,FLOAT,-28,1,-
Wolf Strike,"f, n, 4, 1, 2, 2, 2","high, mid, mid, mid, low",1.5,0.25,-,-,NO,NO,-,"18 [21], 12, 8, 10, 15",i10,-17,-1,-,FLOAT,-35,"1, 1, 1, 1, 1",-
-,"f, n, (4), 1, 2, 2, 2","mid, mid, mid, low",1.5,0.25,-,-,NO,NO,-,"12 [14], 8, 10, 15",i23,-17,-1,-,FLOAT,-35,"1, 1, 1, 1",-
-,"f, n, (4), (1), 2, 2, 2","mid, mid, low",1,0.25,-,-,NO,NO,-,"8 [9], 10, 15",i10,-17,-1,-,FLOAT,-35,"1, 1, 1",-
-,"f, n, (4), (1), (2), 2, 2","mid, low",1,0.25,-,-,NO,NCc,-,"10 [12], 15",i16,-17,-1,-,FLOAT,-35,"1, 1",-
-,"f, n, (4), (1), (2), (2), 2",low,1.5,1,SSL / SSR,-,-,-,-,15 [18],i22,-17,-1,-1,FLOAT,-35,1,-
-,"f, n, 4, 1, 2, 3","high, mid, mid, high",1.5,2,-,-,NO,NO,WALL BREAK / SPLAT,"18 [21], 12, 8, 20",i10,-6,KND,-,FLOAT,-43,"1, 1, 1, 2",-
-,"f, n, (4), 1, 2, 3","mid, mid, high",1.5,2,-,-,NO,NO,WALL BREAK / SPLAT,"12 [14], 8, 20",i23,-6,KND,-,FLOAT,-43,"1, 1, 2",-
-,"f, n, (4), (1), 2, 3","mid, high",1,2,-,-,NO,NO,WALL BREAK / SPLAT,"8 [9], 20",i10,-6,KND,-,FLOAT,-43,"1, 2",-
-,"f, n, (4), (1), (2), 3",high,1.5,2,SSL / SSR,-,-,-,WALL BREAK / SPLAT,20 [24],i25,-6,KND,KND,FLOAT,-43,2,-
Rush Combo Mid Kick,"f, n, 4, 1, 2, 3, 4","high, mid, mid, high, mid",1.5,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"18 [21], 12, 8, 20",i10,-7,KND,-,FLOAT,-29,"1, 1, 1, 2, 1",-
-,"f, n, (4), 1, 2, 3, 4","mid, mid, high, mid",1.5,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"12 [14], 8, 20",i23,-7,KND,-,FLOAT,-29,"1, 1, 2, 1",-
-,"f, n, (4), (1), 2, 3, 4","mid, high, mid",1,1.5,-,-,NO,NO,WALL BREAK / SPLAT,"8 [9], 20",i10,-7,KND,-,FLOAT,-29,"1, 2, 1",-
-,"f, n, (4), (1), (2), 3, 4","high, mid",1.5,1.5,-,-,NO,NO,WALL BREAK / SPLAT,20 [24],i25,-7,KND,-,FLOAT,-29,"2, 1",-
-,"f, n, (4), (1), (2), (3), 4",mid,1.5,1.5,-,-,-,-,WALL BREAK / SPLAT,20 [24],i22,-7,KND,KND,FLOAT,-29,1,-
Rush Combo Low Kick,"f, n, 4, 1, 2, 3, d+4","high, mid, mid, high, low",1.5,1.5,-,-,NO,NO,-,"18 [21], 12, 8, 20",i10,-12,KND,-,FLOAT,-30,"1, 1, 1, 2, 1",-
-,"f, n, (4), 1, 2, 3, d+4","mid, mid, high, low",1.5,1.5,-,-,NO,NO,-,"12 [14], 8, 20",i23,-12,KND,-,FLOAT,-30,"1, 1, 2, 1",-
-,"f, n, (4), (1), 2, 3, d+4","mid, high, low",1,1.5,-,-,NO,NO,-,"8 [9], 20",i10,-12,KND,-,FLOAT,-30,"1, 2, 1",-
-,"f, n, (4), (1), (2), 3, d+4","high, low",1.5,1.5,SSL / SSR,-,NO,NO,-,20 [24],i25,-12,KND,-,FLOAT,-30,"2, 1",-
-,"f, n, (4), (1), (2), (3), d+4",low,2,2,-,high,-,-,-,20 [24],i22,-12,KND,KND,FLOAT,-30,1,-
Reverse Lotus,"f, F+3",mid,2,0.25,SSR,low,-,-,WALL SPLAT,15 [18],i16,-14,LAUNCH,LAUNCH,TURN OVER,-30,3,-
Floating Lotus,"f, F+3, 4 (or f, f, f+3, 4)","mid, high",2,1.5,-,low,NO,NC,WALL BREAK / SPLAT,15 [18],i16,-13,LAUNCH,LAUNCH,TURN OVER,-35,"3, 2",-
-,"f, F+(3), 4 (or f, f, f+(3), 4)",high,2,2,-,low,-,-,WALL BREAK / SPLAT,24 [28],i23,-13,KND,KND,FLOAT,-35,2,-
-,"f, F+4",high,1.5,1.5,SWL / SWR,-,-,-,-,21 [25],i15,-6,+5,+5,FLOAT,-25,5,-
Turbulent Winds,"f, F+4, 3+4","high, high",1.5,1,-,-,-,-,WALL BREAK / SPLAT,"21 [25], 21",i15,-3,KND,-,S!,-31,"5, 3",-
-,"(f, F+4), 3+4",high,2,1.5,-,low,-,-,WALL BREAK / SPLAT,21 [25],i28,-3,KND,KND,S!,-31,3,-
-,"f, F+3+4, D",mid,3,0.5,-,low,-,-,WALL BREAK / SPLAT,25 [30],i24,+2,KND,KND,FLOAT,-25,3,-
Tiger Swat,"f, f, f+1",mid,3,1.5,-,low,-,-,WALL BREAK / SPLAT,30 [36],i24,+8,KND,KND,FLOOR BREAK,-36,2,-
-,WS 1,mid,0.5,1,SSR,-,-,-,-,12 [14],i10,-3,+8,+8,FLOAT,-21,2,-
-,WS 2,mid,1.5,0.5,SSL,-,-,-,-,12 [14],i14,-5,+6,+6,FLOAT,-22,2,-
Wild Upper,"WS 2, 1","mid, mid",1.5,0.25,-,-,NO,NC,-,"12 [14], 15",i14,-9,+4,-,TURN OVER,-26,"2, 2",-
-,"(WS 2), 1",mid,1.75,0.5,SSL / SSR,-,-,-,-,15 [18],i26,-9,+4,+4,TURN OVER,-26,2,-
-,WS 3,mid,1.5,0.25,SWL / SWR,-,-,-,-,25 [30],i10,-16,-5,-5,FLOAT,-32,3,-
-,WS 4,mid,1.5,1.5,SSL,-,-,-,-,15 [18],i11,-4,+7,+7,FLOAT,-21,2,-
Di Gong Jiao,WS 3+4,mid,2,1,SSL,-,-,-,WALL SPLAT,14 [16],i16,-15,LAUNCH,LAUNCH,FLOAT,-32,2,-
-,FC d/f+2,low,2,0,SSL / SSR,high,-,-,-,10 [12],i18,-12,-1,-1,FLOAT,-29,2,-
-,"FC d/f+2, 1, 4, B","low, low, mid",2,0.5,-,high,NO,NCc,-,"10 [12], 10, 18",i18,-15,-28,-,FLOAT,-44,"2, 1",-
Snake Palm Fist,SS 1,high,2,0,SSR,-,-,-,-,21 [25],i16,-5,+6,+6,FLOAT,-28,1,-
Crane Cannon,SS 4,mid,2,0.5,-,-,-,-,WALL SPLAT,14 [16],i21,-8,LAUNCH,LAUNCH,BACK FLIP,-25,2,-
Spring Up,While down (facing up) 3+4,mid,0,0.25,-,low,-,-,-,20 [24],i30,-5,KND,KND,FLOAT,-22,2,-
10 Hit Combo,"b+1, 2, 1, 3+4, 2, 1, 4, 1, 4, 4",-,-,-,-,-,-,-,-,81,i10,-32,KND,KND,-,-,-,-
-,"Face Up, Feet Towards+3 or (After Rolling Forward)",low,1.5,1,SSL / SSR,"high, mid",-,-,-,10 [12],i22,-12,+5,STUN,FLOAT,-29,1,-
-,"Face Up, Feet Towards+4 or (After Rolling Forward)",mid,1,1,SSL,-,-,-,WALL BREAK / SPLAT,18 [21],i22,-12,+5,KND,FLOAT,-29,1,-
-,"Face Up, Feet Towards, d+3 (or 4)",low,0,1,SSR,"high, mid",-,-,-,5 [6],i13,-18,-3,-3,FLOAT,-36,1,-
-,"Face Up, Feet Towards, Roll Forward+1+2",mid,3,0,-,-,-,-,WALL BREAK / SPLAT,15 [18],i19,+2,KND,KND,FLOAT,-42,6,-
-,"Face Down, Feet Away+3",low,0.5,0.5,SSL / SSR,"high, mid",-,-,-,10 [12],i22,-20,+1,STUN,FLOAT,-35,1,-
-,"Face Down, Feet Away+4 (close)",mid,1,1,-,-,-,-,WALL BREAK / SPLAT,15 [18],i21,-19,KND,KND,FLOAT,-37,1,-
-,"Face Down, Feet Away+4 (far)",mid,1,1,-,-,-,-,-,10 [12],i21,-19,-10,KND,FLOAT,-37,1,-
-,(Upon Landing) f,mid,0,0,-,-,-,-,-,4,i33,-2,+3,+3,FLOAT,-13,4,-
INTO BACK TURNED,,,,,,,,,,,,,,,,,,
Back Turn,b+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,3~4,mid,3.5,2,-,low,-,-,-,25 [30],i39,+3,+6,+6,FLOOR BREAK,-20,5,-
-,"3~4, 4","mid, mid",2.5,2,-,low,NO,NO,-,"25 [30], 21",i39,+3,+6,-,FLOOR BREAK,-20,"5, 5",-
-,"(3~4), 4",mid,3,2.5,-,low,-,-,-,21 [25],i29,+3,+6,+6,FLOOR BREAK,-20,5,-
Tornado Kick,"3~4, 4, 4","mid, mid, mid",3.5,2,-,low,NO,NO,-,"25 [30], 21, 17",i39,+3,+6,-,FLOOR BREAK,-26,"5, 5, 5",-
-,"(3~4), 4, 4","mid, mid",2.5,2,-,low,NO,NO,-,"21 [25], 17",i29,+3,+6,-,FLOOR BREAK,-26,"5, 5",-
-,"(3~4), (4), 4",mid,2.5,2.5,-,low,-,-,-,17 [20],i29,+3,+6,+6,FLOOR BREAK,-26,5,-
-,1+2,high,1.5,0,SSL,-,-,-,[WALL BREAK / SPLAT],16 [19],i14,-7,+2,LAUNCH,FLOAT,-25,1,-
