MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON CROUCHING,ON WHIFF,ACTIVE,NOTES
*,"(3), 3, 3, 3, 3",-,-,-,-,-,-,-,-,-,10,-14,+1 (OC),+1 (OC),-,-,-,-,-
*,"(3), (3), 3, 3, 3",-,-,-,-,-,-,-,-,-,14,-14,+1 (OC),+1 (OC),-,-,-,-,-
*,"(3), (3), (3), 3, 3",-,-,-,-,-,-,-,-,-,13,-14,+1 (OC),+1 (OC),-,-,-,-,-
*,"(3), (3), (3), (3), 3",-,-,-,-,-,-,-,-,-,21,-14,+1 (OC),+1 (OC),-,-,-,-,-
Wild Canary,"3, 4 (or WS 3, 4)",-,-,-,-,-,-,-,-,-,14,-8,KND,KND,-,-,-,-,-
*,"(3), 4 (or WS (3), 4)",-,-,-,-,-,-,-,-,-,21,-8,KND,S!,-,-,-,-,-
*,4,-,-,-,-,-,-,-,-,-,11,-9,+8,LAUNCH,-,-,-,-,-
*,"4, 4",-,-,-,-,-,-,-,-,-,11,-10,+4,KND,-,-,-,-,-
*,"(4), 4",-,-,-,-,-,-,-,-,-,26,-10,+4,KND,-,-,-,-,-
*,"4, 4, 4",-,-,-,-,-,-,-,-,-,11,-10,+4,KND,-,-,-,-,-
*,"(4), 4, 4",-,-,-,-,-,-,-,-,-,26,-10,+4,KND,-,-,-,-,-
*,"(4), (4), 4",-,-,-,-,-,-,-,-,-,11,-10,+4,KND,-,-,-,-,-
*,"4, 4, 4, 4",-,-,-,-,-,-,-,-,-,11,-6,+5,KND,-,-,-,-,-
*,"(4), 4, 4, 4",-,-,-,-,-,-,-,-,-,26,-6,+5,KND,-,-,-,-,-
*,"(4), (4), 4, 4",-,-,-,-,-,-,-,-,-,11,-6,+5,KND,-,-,-,-,-
*,"(4), (4), (4), 4",-,-,-,-,-,-,-,-,-,29,-6,+5,KND,-,-,-,-,-
Nimble Cutter,"4, 4, 4, 4, 4",-,-,-,-,-,-,-,-,-,11,-9,KND,KND,-,-,-,-,-
*,"(4), 4, 4, 4, 4",-,-,-,-,-,-,-,-,-,26,-9,KND,KND,-,-,-,-,-
*,"(4), (4), 4, 4, 4",-,-,-,-,-,-,-,-,-,11,-9,KND,KND,-,-,-,-,-
*,"(4), (4), (4), 4, 4",-,-,-,-,-,-,-,-,-,29,-9,KND,KND,-,-,-,-,-
*,"(4), (4), (4), (4), 4",-,-,-,-,-,-,-,-,-,27,-9,KND,KND,-,-,-,-,-
Flying Bird,u/f+3,-,-,-,-,-,-,-,-,-,19,-13,LAUNCH,LAUNCH,-,-,-,-,-
*,u/f+4,-,-,-,-,-,-,-,-,-,15,-15,-4,-4,-,-,-,-,-
*,"u/f+4, 4",-,-,-,-,-,-,-,-,-,15,-13,STUN,STUN,-,-,-,-,-
*,"(u/f+4), 4",-,-,-,-,-,-,-,-,-,22,-13,STUN,STUN,-,-,-,-,-
*,"u/f+4, 4, 4",-,-,-,-,-,-,-,-,-,15,-10,STUN,STUN,-,-,-,-,-
*,"(u/f+4), 4, 4",-,-,-,-,-,-,-,-,-,22,-10,STUN,STUN,-,-,-,-,-
*,"(u/f+4), (4), 4",-,-,-,-,-,-,-,-,-,28,-10,STUN,STUN,-,-,-,-,-
*,"u/f+4, 4, 4, 4",-,-,-,-,-,-,-,-,-,15,-10,STUN,STUN,-,-,-,-,-
*,"(u/f+4), 4, 4, 4",-,-,-,-,-,-,-,-,-,22,-10,STUN,STUN,-,-,-,-,-
*,"(u/f+4), (4), 4, 4",-,-,-,-,-,-,-,-,-,28,-10,STUN,STUN,-,-,-,-,-
*,"(u/f+4), (4), (4), 4",-,-,-,-,-,-,-,-,-,11,-10,STUN,STUN,-,-,-,-,-
*,"u/f+4, 4, 4, 4, 4",-,-,-,-,-,-,-,-,-,15,-6,STUN,STUN,-,-,-,-,-
*,"(u/f+4), 4, 4, 4, 4",-,-,-,-,-,-,-,-,-,22,-6,KND,KND,-,-,-,-,-
*,"(u/f+4), (4), 4, 4, 4",-,-,-,-,-,-,-,-,-,28,-6,KND,KND,-,-,-,-,-
*,"(u/f+4), (4), (4), 4, 4",-,-,-,-,-,-,-,-,-,11,-6,KND,KND,-,-,-,-,-
*,"(u/f+4), (4), (4), (4), 4",-,-,-,-,-,-,-,-,-,29,-6,KND,KND,-,-,-,-,-
Wing Cutter,"u/f+4, 4, 4, 4, 4, 4",-,-,-,-,-,-,-,-,-,15,-9,KND,KND,-,-,-,-,-
*,"(u/f+4), 4, 4, 4, 4, 4",-,-,-,-,-,-,-,-,-,22,-9,KND,KND,-,-,-,-,-
*,"(u/f+4), (4), 4, 4, 4, 4",-,-,-,-,-,-,-,-,-,28,-9,KND,KND,-,-,-,-,-
*,"(u/f+4), (4), (4), 4, 4, 4",-,-,-,-,-,-,-,-,-,11,-9,KND,KND,-,-,-,-,-
*,"(u/f+4), (4), (4), (4), 4, 4",-,-,-,-,-,-,-,-,-,29,-9,KND,KND,-,-,-,-,-
*,"(u/f+4), (4), (4), (4), (4), 4",-,-,-,-,-,-,-,-,-,13,-9,KND,KND,-,-,-,-,-
Hovering,u/f+3+4,-,-,-,-,-,-,-,-,-,17,-10,KND,KND,-,-,-,-,-
*,u/f+3+4 (second hit only),-,-,-,-,-,-,-,-,-,38,-10,KND,KND,-,-,-,-,-
Drumming,f+1+2,-,-,-,-,-,-,-,-,-,23,+1,KND,KND,-,-,-,-,-
Heel Hook,f+3,-,-,-,-,-,-,-,-,-,24,0 (OC),+4 (OC),STUN,-,-,-,-,-
*,"f, F+2",-,-,-,-,-,-,-,-,-,12,-5,+6,+6,-,-,-,-,-
Bird Chaser,"f, F+2, 4",-,-,-,-,-,-,-,-,-,12,-9,S!,S!,-,-,-,-,-
*,"(f, F+2), 4",-,-,-,-,-,-,-,-,-,18,-9,S!,S!,-,-,-,-,-
Aerial Glide,"f, F+3",-,-,-,-,-,-,-,-,-,24,-6,KND,STUN,-,-,-,-,-
Plover Kick,"f, F+4",-,-,-,-,-,-,-,-,-,17,-13,KND,KND,-,-,-,-,-
Pheasant Heel,"f, f, f+3 (or WR 3)",-,-,-,-,-,-,-,-,-,26,+1,KND,KND,-,-,-,-,-
*,d/f+1,-,-,-,-,-,-,-,-,-,13,-1,+5,+5,-,-,-,-,-
Peck and Slap,"d/f+1, 1",-,-,-,-,-,-,-,-,-,13,-5,+6,+6,-,-,-,-,-
*,"(d/f+1), 1",-,-,-,-,-,-,-,-,-,17,-5,+6,+6,-,-,-,-,-
*,d/f+2,-,-,-,-,-,-,-,-,-,17,-7,+4,+4,-,-,-,-,-
Nest Crasher,"d/f+2, 2",-,-,-,-,-,-,-,-,-,17,-10,KND,KND,-,-,-,-,-
*,"(d/f+2), 2",-,-,-,-,-,-,-,-,-,27,-10,KND,KND,-,-,-,-,-
Nest Wrecker,"d/f+2, 4",-,-,-,-,-,-,-,-,-,17,+1,+18,+18,-,-,-,-,-
*,"(d/f+2), 4",-,-,-,-,-,-,-,-,-,29,+1,+18,+18,-,-,-,-,-
*,d/f+3,-,-,-,-,-,-,-,-,-,15,-6,+2,+2,-,-,-,-,-
Wagtail,"d/f+3, 3",-,-,-,-,-,-,-,-,-,15,-21,KND,KND,-,-,-,-,-
*,"(d/f+3), 3",-,-,-,-,-,-,-,-,-,28,-21,KND,KND,-,-,-,-,-
*,"d/f+3, 3, D",-,-,-,-,-,-,-,-,-,15,-16,-8,-8,-,-,-,-,-
Greater Rhea,d/f+4,-,-,-,-,-,-,-,-,-,15,-9,+2,STUN,-,-,-,-,-
Tucano Tail,d/f+3+4,-,-,-,-,-,-,-,-,-,25,-14,+2 (OC),KND,-,-,-,-,-
Feather Chop,d+1,-,-,-,-,-,-,-,-,-,17,-7,+3 (OC),KND,-,-,-,-,-
Paineira,d+2,-,-,-,-,-,-,-,-,-,20,-11,0,STUN,-,-,-,-,-
*,d+3,-,-,-,-,-,-,-,-,-,16,-11,0,0,-,-,-,-,-
Tarsus Body Blow,"d+3, 3",-,-,-,-,-,-,-,-,-,16,-13,0,0,-,-,-,-,-
*,"(d+3), 3",-,-,-,-,-,-,-,-,-,24,-13,0,0,-,-,-,-,-
Tarsus Neck Blow,"d+3, 4",-,-,-,-,-,-,-,-,-,16,-4,+6,+6,-,-,-,-,-
*,"(d+3), 4",-,-,-,-,-,-,-,-,-,24,-4,+6,KND,-,-,-,-,-
Sliding Kick,d/b+3,-,-,-,-,-,-,-,-,-,25,-26,KND,KND,-,-,-,-,-
Slipping Tail,d/b+4,-,-,-,-,-,-,-,-,-,29,-26,STUN,STUN,-,-,-,-,-
Inside Peck,b+1,-,-,-,-,-,-,-,-,-,14,-9,+2,+2,-,-,-,-,-
Peck Upper,"b+1, 1",-,-,-,-,-,-,-,-,-,14,-12,KND,KND,-,-,-,-,-
*,"(b+1), 1",-,-,-,-,-,-,-,-,-,21,-12,KND,KND,-,-,-,-,-
Piercing Peck,"b+1, 2",-,-,-,-,-,-,-,-,-,14,-8,+5,+5,-,-,-,-,-
*,"(b+1), 2",-,-,-,-,-,-,-,-,-,17,-8,+5,+5,-,-,-,-,-
Vulture Claw,b+2,-,-,-,-,-,-,-,-,-,27,-16,LAUNCH,LAUNCH,-,-,-,-,-
Cuckoo Thrust,b+3,-,-,-,-,-,-,-,-,-,12,-9,+2,+7,-,-,-,-,-
*,b+4,-,-,-,-,-,-,-,-,-,17,-15,+8,STUN,-,-,-,-,-
Woodpecker,"b+4, 1+2",-,-,-,-,-,-,-,-,-,17,+1,KND,KND,-,-,-,-,-
*,"(b+4), 1+2",-,-,-,-,-,-,-,-,-,27,+1,KND,KND,-,-,-,-,-
Peacock,"b+4, 3+4",-,-,-,-,-,-,-,-,-,17,-12,KND,KND,-,-,-,-,-
*,"(b+4), 3+4",-,-,-,-,-,-,-,-,-,26,-12,KND,KND,-,-,-,-,-
Fractured Flock,b+3+4,-,-,-,-,-,-,-,-,-,23,-14,KND,KND,-,-,-,-,-
*,b+3+4 (second hit only),-,-,-,-,-,-,-,-,-,31,-14,KND,KND,-,-,-,-,-
Lower Axis,u/b+4,-,-,-,-,-,-,-,-,-,16,-14,KND,KND,-,-,-,-,-
*,BT 1 (or 2),-,-,-,-,-,-,-,-,-,8,-8,+3,+3,-,-,-,-,-
*,BT 3 (or 4),-,-,-,-,-,-,-,-,-,10,-8,KND,KND,-,-,-,-,-
*,FC 1,-,-,-,-,-,-,-,-,-,10,-5,+6,+6,-,-,-,-,-
*,FC 2,-,-,-,-,-,-,-,-,-,11,-4,+7,+7,-,-,-,-,-
*,FC 3,-,-,-,-,-,-,-,-,-,16,-14,-3,-3,-,-,-,-,-
*,FC 4,-,-,-,-,-,-,-,-,-,12,-15,-4,-4,-,-,-,-,-
Short Tail,FC d/f+4,-,-,-,-,-,-,-,-,-,17,-16,0,KND,-,-,-,-,-
Charging Tackle*,"WR f, f, F (Full Screen)",-,-,-,-,-,-,-,-,-,8,+13,KND,KND,-,-,-,-,-
Running Stomp*,"WR f, f, F (Full Screen) (On Grounded Opponent)",-,-,-,-,-,-,-,-,-,12,-,KND,KND,-,-,-,-,-
,WR 4,-,-,-,-,-,-,-,-,-,14,-40,KND,KND,-,-,-,-,-
,WR+1+2,-,-,-,-,-,-,-,-,-,18,0,KND,KND,-,-,-,-,-
*,WS 1,-,-,-,-,-,-,-,-,-,13,-6,+5,+5,-,-,-,-,-
Rampage Wing,"WS 1, 1",-,-,-,-,-,-,-,-,-,13,-5,+6,+6,-,-,-,-,-
*,"WS (1), 1",-,-,-,-,-,-,-,-,-,17,-5,+6,+6,-,-,-,-,-
Kite Upper,WS 2,-,-,-,-,-,-,-,-,-,15,-13,LAUNCH,LAUNCH,-,-,-,-,-
*,WS 4,-,-,-,-,-,-,-,-,-,11,-3,+8,+8,-,-,-,-,-
Crash Landing,While enemy is down... d+3+4,-,-,-,-,-,-,-,-,-,26,-,KND,KND,-,-,-,-,-
10 Hit Combo,"1, 2, 4, 4, 4, 3, 3, 3, 3, 3",-,-,-,-,-,-,-,-,-,10,-20,KND,KND,-,-,-,-,-
Wake-Up Low Kick*,"Face Up, Feet Towards+3 or (After Rolling Forward)",-,-,-,-,-,-,-,-,-,22,-12,+5,STUN,-,-,-,-,-
Wake-Up Mid Kick*,"Face Up, Feet Towards+4 or (After Rolling Forward)",-,-,-,-,-,-,-,-,-,22,-12,+5,KND,-,-,-,-,-
Recovery Kick* (Back Roll on Hit),"Face Up, Feet Towards, d+3 (or 4)",-,-,-,-,-,-,-,-,-,13,-16,-3,-3,-,-,-,-,-
Spring Attack*,"Face Up, Feet Towards+3+4",-,-,-,-,-,-,-,-,-,18,-21,KND,KND,-,-,-,-,-
Flying Cross Chop*,"Face Up, Feet Towards, Roll Forward+1+2",-,-,-,-,-,-,-,-,-,19,+2,KND,KND,-,-,-,-,-
*,"Face Down, Feet Away+3",-,-,-,-,-,-,-,-,-,21,-20,+1,STUN,-,-,-,-,-
*,"Face Down, Feet Away+4",-,-,-,-,-,-,-,-,-,21,-19,KND,KND,-,-,-,-,-
Handspring Kickup,(Upon Landing) f,-,-,-,-,-,-,-,-,-,33,-2,+3,+3,-,-,-,-,-
INTO HARRIER,,,,,,,,,,,,,,,,,,,
Harrier,f+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Double Slap to Harrier,"1, 1, F",-,-,-,-,-,-,-,-,-,10,-32,-26,-26,-,-,-,-,-
Nimble Cutter to Harrier,"4, 4, 4, F",-,-,-,-,-,-,-,-,-,11,-41,-32,KND,-,-,-,-,-
Wing Cutter to Harrier,"u/f+4, 4, 4, 4, F",-,-,-,-,-,-,-,-,-,15,-41,KND,KND,-,-,-,-,-
Peck and Slap to Harrier,"d/f+1, 1, F",-,-,-,-,-,-,-,-,-,13,-32,-21,-21,-,-,-,-,-
Paineira to Harrier,"d+2, F",-,-,-,-,-,-,-,-,-,20,-28,-17,STUN,-,-,-,-,-
Inside Peck to Harrier,"b+1, F",-,-,-,-,-,-,-,-,-,14,-34,-23,-23,-,-,-,-,-
Rampage Wing to Harrier,"WS 1, 1, F",-,-,-,-,-,-,-,-,-,13,-32,-21,-21,-,-,-,-,-
DURING HARRIER,,,,,,,,,,,,,,,,,,,
*,(During Harrier) D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alula Slice,(During Harrier) 1,-,-,-,-,-,-,-,-,-,12,-3,+17,+17,-,-,-,-,-
Alula Slam,(During Harrier) 2,-,-,-,-,-,-,-,-,-,18,-6,-2 (OC),GROUND BOUNCE,-,-,-,-,-
Palmate Spin,(During Harrier) 3,-,-,-,-,-,-,-,-,-,26,-25,KND,KND,-,-,-,-,-
Snipe's Knee,(During Harrier) 4,-,-,-,-,-,-,-,-,-,15,-13,KND,KND,-,-,-,-,-
Aerial Glide,(During Harrier) u/f+3,-,-,-,-,-,-,-,-,-,27,-6,KND,STUN,-,-,-,-,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,,
Fledgeling Foot,f+3+4,-,-,-,-,-,-,-,-,-,24,-13,KND,KND,-,-,-,-,-
RAGE MOVES,,,,,,,,,,,,,,,,,,,
Rage Drive,"(During Rage, During Harrier) 1+2",-,-,-,-,-,-,-,-,-,15,+5 (OC),KND,KND,-,-,-,-,-
Rage Art,(During Rage) 3+4,-,-,-,-,-,-,-,-,-,20,-22,KND,KND,-,-,-,-,-
UNBLOCKABLE MOVES,,,,,,,,,,,,,,,,,,,
Eclipse Plumage,d/b+3+4,-,-,-,-,-,-,-,-,-,68,!,KND,KND,-,-,-,-,-
THROWS,,,,,,,,,,,,,,,,,,,
Flying Catch,Approach enemy... 1+3,-,-,-,-,-,-,-,-,-,12,-3,KND,KND,-,-,-,-,-
Flying Catch,Approach enemy... f+1+3,-,-,-,-,-,-,-,-,-,15,-3,KND,KND,-,-,-,-,-
Display of Force,Approach enemy... 2+4,-,-,-,-,-,-,-,-,-,12,-6,KND,KND,-,-,-,-,-
Display of Force,Approach enemy... f+2+4,-,-,-,-,-,-,-,-,-,15,-6,KND,KND,-,-,-,-,-
Osprey Sweep,Approach from left side... 1+3 (or 2+4),-,-,-,-,-,-,-,-,-,12,-3,KND,KND,-,-,-,-,-
Raptor's Wrath,Approach from right side...  1+3 (or 2+4),-,-,-,-,-,-,-,-,-,12,-3,KND,KND,-,-,-,-,-
Bird of Prey,Approach from behind... 1+3 (or f+1+3),-,-,-,-,-,-,-,-,-,12,-,KND,KND,-,-,-,-,-
Phoenix Kick Flurry,Approach enemy... d/f+1+2 (or During Harrier),-,-,-,-,-,-,-,-,-,12,-6,KND,KND,-,-,-,-,-
*,"WR f, f, F (Mid Screen)",-,-,-,-,-,-,-,-,-,16,-5 (BT),KND,KND,-,-,-,-,-
*,"WR f, f, F (Mid Screen) 1 (or 2)",-,-,-,-,-,-,-,-,-,-,-,KND,KND,-,-,-,-,-
*,"WR f, f, F (Mid Screen) 1/2, 1/2",-,-,-,-,-,-,-,-,-,-,-,KND,KND,-,-,-,-,-
*,"WR f, f, F (Mid Screen) 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,-,-,-,KND,KND,-,-,-,-,-
*,"WR f, f, F (Mid Screen) 1/2, 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,-,-,-,KND,KND,-,-,-,-,-
SPECIAL,,,,,,,,,,,,,,,,,,,
Taunt,1+2+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
