MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
-,3,mid,-,-,-,-,-,-,-,14 [16],i15,-7,+4,+4,-,-,-,-
Right Middle Shift,"3, 4","mid, mid",-,-,-,-,-,-,-,"14 [16], 20",i15,-14,LAUNCH,-,-,-,-,-
-,"(3), 4",mid,-,-,-,-,-,-,-,20 [24],i22,-14,LAUNCH,LAUNCH,-,-,-,-
-,4,mid,-,-,-,-,-,-,-,15 [18],i12,-9,+2,+7,-,-,-,-
Double Swing,1+2,"high, high",-,-,-,-,-,-,-,"6 [7], 20",i22,-2,+13,S!,-,-,-,-
Spining Beat,u+3+4,"mid, mid",-,-,-,low,-,-,-,"5 [6], 10",i20,-9,KND,KND,-,-,-,-
Surprise Hop,u/f+3,mid,-,-,-,low,-,-,-,13 [15],i15,-15,LAUNCH,LAUNCH,-,-,-,-
-,u/f+3+4,mid,-,-,-,low,-,-,-,15 [18],i27,-5,-8 (OC),-8 (OC),-,-,-,-
Double Leg to Left Twist,"u/f+3+4, 3","mid, low",-,-,-,-,-,-,-,"15 [18], 17",i27,-32,-13,-,-,-,-,-
-,"(u/f+3+4), 3",low,-,-,-,-,-,-,-,17 [20],i31,-32,-13,-13,-,-,-,-
Double Leg to C Backflip Combo,"u/f+3+4, 3+4, 4","mid, mid, mid",-,-,-,-,-,-,-,"15 [18], 15, 20",i27,-16,KND,-,-,-,-,-
-,"(u/f+3+4), 3+4, 4","mid, mid",-,-,-,-,-,-,-,"15 [18], 20",i31,-16,KND,-,-,-,-,-
-,"(u/f+3+4), (3+4), 4",mid,-,-,-,-,-,-,-,20 [24],i25,-16,KND,KND,-,-,-,-
-,f+2,mid,-,-,-,-,-,-,-,12 [14],i17,-4,+7,+7,-,-,-,-
C Uprock Hit,"f+2, 1","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i17,-11,KND,-,-,-,-,-
-,"(f+2), 1",mid,-,-,-,-,-,-,-,20 [24],i28,-11,KND,KND,-,-,-,-
C Uprock Clap,"f+2, 2","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i17,-4,+4 (OC),-,-,-,-,-
-,"(f+2), 2",mid,-,-,-,-,-,-,-,20 [24],i29,-4,+4 (OC),KND,-,-,-,-
C Uprock Swing,"f+2, 1+2","mid, high, high",-,-,-,-,-,-,-,"12 [14], 6, 20",i17,-2,+13,-,-,-,-,-
-,"(f+2), 1+2","high, high",-,-,-,-,-,-,-,"6 [7], 20",i22,-2,+13,S!,-,-,-,-
Hopping,f+3,mid,-,-,-,-,-,-,-,15 [18],i16,-9,+5,+5,-,-,-,-
Axe Aerial,f+4,mid,-,-,-,low,-,-,-,14 [16],i27,-4,+9 (OC),+9 (OC),-,-,-,-
Double Axe Aerial,"f+4, 4","mid, mid",-,-,-,low,-,-,-,"14 [16], 10",i27,-13,GROUND BOUNCE,-,-,-,-,-
-,"(f+4), 4",mid,-,-,-,low,-,-,-,10 [12],i28,-13,GROUND BOUNCE,GROUND BOUNCE,-,-,-,-
Elbow Beat,f+1+2,high,-,-,-,high,-,-,-,32 [38],i25,+7,KND,KND,-,-,-,-
Touchdown Raiz,f+3+4,"mid, mid, low",-,-,-,low,-,-,-,"14 [16], 11, 12",i29,-11,KND,KND,-,-,-,-
Touchdown Raiz to Buffalo,"f+3+4, 3","mid, mid, mid",-,-,-,-,-,-,-,"14 [16], 11, 8",i29,-17,KND,-,-,-,-,-
-,"(f+3+4), 3",mid,-,-,-,-,-,-,-,10 [12],i30,-17,KND,KND,-,-,-,-
Cat Stamp,"f, F+3",mid,-,-,-,-,-,-,-,25 [30],i17,-4,+7,+7,-,-,-,-
Air Drop Heel,"f, f, f+3 (or WR 3)",mid,-,-,-,low,-,-,-,27 [32],i22,+6,KND,KND,-,-,-,-
C Krump,d/f+2 (or WS 2),mid,-,-,-,-,-,-,-,14 [16],i15,-13,LAUNCH,LAUNCH,-,-,-,-
-,d/f+2:4 (or WS 2:4),"mid, mid",-,-,-,-,-,-,-,"14 [16], 14",i17,-,KND,-,-,-,-,-
-,d/f+2:4:3 (or WS 2:4:3),"mid, mid, mid",-,-,-,-,-,-,-,"14 [16], 14, 10",i19,-,KND,-,-,-,-,-
C Krump Special,d/f+2:4:3:1 (or WS 2:4:3:1),"mid, mid, mid, mid",-,-,-,-,-,-,-,"14 [16], 14, 10, 8",i19,-,S!,-,-,-,-,-
-,d/f+3,mid,-,-,-,-,-,-,-,15 [18],i14,-9,+2,+2,-,-,-,-
Punking Twirl,"d/f+3, 2","mid, mid",-,-,-,-,-,-,-,"15 [18], 21",i14,-6,+2,-,-,-,-,-
-,"(d/f+3), 2",mid,-,-,-,-,-,-,-,21 [25],i14,-6,+2,GROUND BOUNCE,-,-,-,-
Punking Marionette,"d/f+3, 3","mid, mid",-,-,-,-,-,-,-,"15 [18], 15",i14,-14,+7,-,-,-,-,-
-,"(d/f+3), 3",mid,-,-,-,-,-,-,-,15 [18],i21,-14,+7,+7,-,-,-,-
Down Step,d/f+4,low,-,-,-,low,-,-,-,19 [22],i25,-12,+7,KND,-,-,-,-
Waacking,d+2,mid,-,-,-,-,-,-,-,17 [20],i16,0,0,KND,-,-,-,-
C Windmill,d+3+4,"low, low, low",-,-,-,high,-,-,-,"10 [12], 5, 5",i23,-13,-2,-2,-,-,-,-
Double C Windmill,"d+3+4, d+3+4","low, low, low, low, low",-,-,-,high,-,-,-,"10 [12], 5, 5, 7, 7",i29,-13,0,-,-,-,-,-
C Windmill to Air Tracks to Chair,"d+3+4:d+3+4, F","low, low, low, high, mid, low",-,-,-,-,-,-,-,"10 [12], 5, 5, 7, 7, 7",i13,-57,-44,-,-,-,-,-
-,"d+3+4:d+3+4, F, 3+4","low, low, low, high, mid, low, mid",-,-,-,-,-,-,-,"10 [12], 5, 5, 7, 7, 7, 30",i26,-8,KND,-,-,-,-,-
Double Twist,"d/b+3, 4","low, low",-,-,-,-,-,-,-,"17 [20], 12",i15,-13,0,-,-,-,-,-
-,"(d/b+3), 4",low,-,-,-,-,-,-,-,12 [14],i28,-13,0,0,-,-,-,-
-,d/b+4,low,-,-,-,high,-,-,-,15 [18],i18,-14,-3,0,-,-,-,-
Coffee Grinder to Scoot,"d/b+4, 4","low, mid",-,-,-,high*,-,-,-,"15 [18], 15",i18,-1,+3,-,-,-,-,-
-,"(d/b+4), 4",mid,-,-,-,high*,-,-,-,15 [18],i35,-1,+3,+12,-,-,-,-
Aerial Arc,d/b+1+2,mid,-,-,-,-,-,-,-,20 [24],i25,-16,LAUNCH,LAUNCH,-,-,-,-
Hands Up,b+1,mid,-,-,-,-,-,-,-,20 [24],i17,-11,KND,KND,-,-,-,-
Circle Clap,b+2,mid,-,-,-,-,-,-,-,20 [24],i22,-4,+4 (OC),KND,-,-,-,-
Graceful Turn,b+3,mid,-,-,-,-,-,-,-,15 [18],i17,-11,+10,+10,-,-,-,-
Walking Knee,b+4,mid,-,-,-,-,-,-,-,17 [20],i16,-8,+8,STUN,-,-,-,-
-,FC 1,s. mid,-,-,-,high,-,-,-,5 [6],i10,-5,+6,+6,-,-,-,-
-,FC 2,s. mid,-,-,-,high,-,-,-,8 [9],i11,-4,+7,+7,-,-,-,-
-,FC 3,low,-,-,-,high,-,-,-,12 [14],i16,-17,-3,-3,-,-,-,-
-,FC 4,low,-,-,-,high,-,-,-,10 [12],i13,-15,-4,-4,-,-,-,-
Hand Snap,FC d/f+1,low,-,-,-,high,-,-,-,15 [18],i18,-14,+4,STUN,-,-,-,-
Spin and Roll,FC d/f+2,mid,-,-,-,high,-,-,-,15 [18],i21,-7,+15,+15,-,-,-,-
Step Up,FC d/f+4,mid,-,-,-,-,-,-,-,24 [28],i17,-17,STUN,STUN,-,-,-,-
-,"WR f, f, F (Full Screen)",mid,-,-,-,-,-,-,-,30 [36],i8,+13,KND,KND,-,-,-,-
-,"WR f, f, F (Full Screen) (On Grounded Opponent)",low,-,-,-,-,-,-,-,8 [9],i12,-,KND,KND,-,-,-,-
-,WR 4,low,-,-,-,high,-,-,-,17 [20],i14,-40,KND,KND,-,-,-,-
-,WR 1+2,mid,-,-,-,low,-,-,-,24 [28],i18,0,KND,KND,-,-,-,-
-,WS 1,mid,-,-,-,-,-,-,-,10 [12],i14,-5,+6,+6,-,-,-,-
Right Cross Shift,"WS 1, 4","mid, mid",-,-,-,-,-,-,-,"10 [12], 10",i14,-16,LAUNCH,-,-,-,-,-
-,"WS (1), 4",mid,-,-,-,-,-,-,-,10 [12],i21,-16,LAUNCH,LAUNCH,-,-,-,-
Left Cross Shift,WS 2,mid,-,-,-,-,-,-,-,20 [24],i16,-13,LAUNCH,LAUNCH,-,-,-,-
-,WS 3,mid,-,-,-,-,-,-,-,25 [30],i15,-12,KND,KND,-,-,-,-
-,WS 4,mid,-,-,-,-,-,-,-,15 [18],i11,-3,+8,+8,-,-,-,-
10 Hit Combo,"f+3, 1, 2, 1+2, 3, 2:4, 3, 1",-,-,-,-,-,-,-,-,82 [85],i16,-,KND,KND,-,-,-,-
-,"Face Up, Feet Towards+3 or (After Rolling Forward)",low,-,-,-,high,-,-,-,10 [12],i22,-12,+5,STUN,-,-,-,-
-,"Face Up, Feet Towards+4 or (After Rolling Forward)",mid,-,-,-,-,-,-,-,18 [21],i22,-12,+5,KND,-,-,-,-
-,"Face Up, Feet Towards, d+3 (or 4)",low,-,-,-,"mid, high",-,-,-,5 [6],i13,-18,-3,-3,-,-,-,-
-,"Face Up, Feet Towards+3+4",mid,-,-,-,low*,-,-,-,20 [24],i18,-21,KND,KND,-,-,-,-
-,"Face Up, Feet Towards, Roll Forward+1+2",mid,-,-,-,low*,-,-,-,15 [18],i19,+2,KND,KND,-,-,-,-
-,"Face Down, Feet Away+3",low,-,-,-,high,-,-,-,10 [12],i21,-20,+1,STUN,-,-,-,-
-,"Face Down, Feet Away+4 (close)",mid,-,-,-,-,-,-,-,15 [18],i21,-19,-8,KND,-,-,-,-
-,"Face Down, Feet Away+4 (far)",mid,-,-,-,-,-,-,-,10 [12],i21,-19,-8,KND,-,-,-,-
-,(Upon Landing) f,mid,-,-,-,low*,-,-,-,4,i33,-2,+3,+3,-,-,-,-
INTO LUCKY TURN,,,,,,,,,,,,,,,,,,
-,b+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"3, B",mid,-,-,-,-,-,-,-,14 [16],i15,-15,-4,-4,-,-,-,-
-,"f+4, B",mid,-,-,-,low,-,-,-,14 [16],i27,-4,+9,+9,-,-,-,-
-,"f+4, 4, B","mid, mid",-,-,-,low,-,-,-,"14 [16], 10",i27,-9,GROUND BOUNCE,-,-,-,-,-
C Windmill to Air Tracks,d+3+4:d+3+4,"low, low, low, high, mid, low",-,-,-,-,-,-,-,"10 [12], 5, 5, 7, 7, 7",i23,-34,-21,-,-,-,-,-
-,"b+3, B",mid,-,-,-,-,-,-,-,15 [18],i17,-8,+13,+13,-,-,-,-
-,"d/b+3, B",low,-,-,-,-,-,-,-,17 [20],i15,-32,-6,-6,-,-,-,-
Cat Tail,SS 4,low,-,-,-,high,-,-,-,17 [20],i21,-9,+2,STUN,-,-,-,-
DURING LUCKY TURN,,,,,,,,,,,,,,,,,,
-,BT 1 (or 2),high,-,-,-,-,-,-,-,12 [14],i8,+1,+8,+8,-,-,-,-
-,BT 3,mid,-,-,-,high,-,-,-,20 [24],i15,-44,-23,-23,-,-,-,-
Donkey Kick,"BT 3, 3+4","mid, mid",-,-,-,low*,-,-,-,"20 [24], 17",i15,-6,KND,-,-,-,-,-
-,"BT (3), 3+4",mid,-,-,-,low*,-,-,-,25 [30],i33,-6,KND,KND,-,-,-,-
C Backflip,BT 4,mid,-,-,-,low,-,-,-,30 [36],i23,-10,KND,KND,-,-,-,-
-,BT 3+4,mid,-,-,-,-,-,-,-,20 [24],i28,-3,+4 (OC),GROUND BOUNCE,-,-,-,-
C Backflip Combo,"BT 3+4, 4","mid, mid",-,-,-,-,-,-,-,"20 [24], 20",i28,-16,KND,-,-,-,-,-
-,"BT (3+4), 4",mid,-,-,-,-,-,-,-,20 [24],i25,-16,KND,KND,-,-,-,-
-,BT 1+2,"high, high",-,-,-,-,-,-,-,"7 [6], 20",i16,-2,+13,S!,-,-,-,-
Rollback,BT f+3+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C Freeze to Chair,"BT f+3+4, 3+4","mid, mid",-,-,-,high,-,-,-,"17 [20], 20",i6,-45,KND,-,-,-,-,-
Kick Up,"BT f+3+4, 3+4, 3+4","mid, mid, mid",-,-,-,high,-,-,-,"17 [20], 20, 21",i6,-8,KND,-,-,-,-,-
-,"BT (f+3+4), (3+4), 3+4",mid,-,-,-,-,-,-,-,30 [36],i26,-8,KND,KND,-,-,-,-
-,BT d+4,low,-,-,-,high,-,-,-,18 [21],i19,-14,-3,0,-,-,-,-
Turning Coffee Grinder to Scoot,"BT d+4, 4","low, mid",-,-,-,high,-,-,-,"18 [21], 15",i19,-1,+3,-,-,-,-,-
-,"BT (d+4), 4",mid,-,-,-,high,-,-,-,15 [18],i35,-1,+3,+12,-,-,-,-
Cat Slide,BT d+3+4,low,-,-,-,high,-,-,-,20 [24],i23,-18,KND,KND,-,-,-,-
INTO LEFT TWIST,,,,,,,,,,,,,,,,,,
Left Twist,d/b+3,low,-,-,-,-,-,-,-,17 [20],i15,-32,-13,-13,-,-,-,-
DURING LEFT TWIST,,,,,,,,,,,,,,,,,,
-,LTWIST 1,high,-,-,-,-,-,-,-,12 [14],i10,+1,+8,+8,-,-,-,-
-,"LTWIST 1, 2","high, mid",-,-,-,-,-,-,-,"12 [14], 12",i10,-4,+7,-,-,-,-,-
-,"LTWIST (1), 2",mid,-,-,-,-,-,-,-,12 [14],i17,-4,+7,+7,-,-,-,-
Left Point to C Uprock Hit,"LTWIST 1, 2, 1","high, mid, mid",-,-,-,-,-,-,-,"12 [14], 12, 20",i10,-11,KND,-,-,-,-,-
-,"LTWIST (1), 2, 1","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i17,-11,KND,-,-,-,-,-
-,"LTWIST (1), (2), 1",mid,-,-,-,-,-,-,-,20 [24],i28,-11,KND,KND,-,-,-,-
Left Point to C Uprock Clap,"LTWIST 1, 2, 2","high, mid, mid",-,-,-,-,-,-,-,"12 [14], 12, 20",i10,-4,+4 (OC),-,-,-,-,-
-,"LTWIST (1), 2, 2","mid, mid",-,-,-,-,-,-,-,"12 [14], 20",i17,-4,+4 (OC),-,-,-,-,-
-,"LTWIST (1), (2), 2",mid,-,-,-,-,-,-,-,20 [24],i29,-4,+4 (OC),KND,-,-,-,-
Left Point to C Uprock Swing,"LTWIST 1, 2, 1+2","high, mid, high, high",-,-,-,-,-,-,-,"12 [14], 12, 6, 20",i10,-2,+13,-,-,-,-,-
-,"LTWIST (1), 2, 1+2","mid, high, high",-,-,-,-,-,-,-,"12 [14], 6, 20",i17,-2,+13,-,-,-,-,-
-,"LTWIST (1), (2), 1+2","high, high",-,-,-,-,-,-,-,"6 [7], 20",i22,-2,+13,S!,-,-,-,-
-,LTWIST 2,mid,-,-,-,-,-,-,-,15 [18],i27,-4,+7,+7,-,-,-,-
C Uprock Hit,"LTWIST 2, 1","mid, mid",-,-,-,-,-,-,-,"15 [18], 20",i27,-11,KND,-,-,-,-,-
-,"LTWIST (2), 1",mid,-,-,-,-,-,-,-,20 [24],i28,-11,KND,KND,-,-,-,-
C Uprock Clap,"LTWIST 2, 2","mid, mid",-,-,-,-,-,-,-,"15 [18], 20",i27,-4,+4 (OC),-,-,-,-,-
-,"LTWIST (2), 2",mid,-,-,-,-,-,-,-,20 [24],i29,-4,+4 (OC),KND,-,-,-,-
C Uprock Swing,"LTWIST 2, 1+2","mid, high, high",-,-,-,-,-,-,-,"15 [18], 6, 20",i27,-2,+13,-,-,-,-,-
-,"LTWIST (2), 1+2","high, high",-,-,-,-,-,-,-,"6 [7], 20",i22,-2,+13,S!,-,-,-,-
Left Twist to Axe Heel,LTWIST 3,mid,-,-,-,-,-,-,-,17 [20],i34,+4,STUN,STUN,-,-,-,-
Left Twist to Scoot,LTWIST 4,mid,-,-,-,high,-,-,-,21 [25],i28,-18,-7,-7,-,-,-,-
-,LTWIST d/b+4,low,-,-,-,high,-,-,-,15 [18],i24,-14,+5,+5,-,-,-,-
Coffee Grinder to Scoot,"LTWIST d/b+4, 4","low, mid",-,-,-,high,-,-,-,"15 [18], 15",i24,-1,+3,-,-,-,-,-
-,"LTWIST (d/b+4), 4",mid,-,-,-,high,-,-,-,15 [18],i35,-1,+3,+12,-,-,-,-
INTO RIGHT TWIST,,,,,,,,,,,,,,,,,,
Left Twist to Right Twist,LTWIST:d/b+4,"low, low",-,-,-,-,-,-,-,"17 [20], 19",i28,-13,+4,+4,-,-,-,-
DURING RIGHT TWIST,,,,,,,,,,,,,,,,,,
Right Twist to Left Twist,RTWIST:d/b+3,"low, low",-,-,-,-,-,-,-,"19 [22], 17",i28,-32,-13,-13,-,-,-,-
INTO SCOOT,,,,,,,,,,,,,,,,,,
Scoot,"f, F+4",mid,-,-,-,high,-,-,-,21 [25],i23,-1,+3,+12,-,-,-,-
DURING SCOOT,,,,,,,,,,,,,,,,,,
-,SCT 4,mid,-,-,-,low,-,-,-,15 [18],i41,-4,GROUND BOUNCE,GROUND BOUNCE,-,-,-,-
Double Corkscrew,"SCT 4, 4","mid, mid",-,-,-,-,-,-,-,"15 [18], 17",i41,+4,KND,-,-,-,-,-
-,"SCT (4), 4",mid,-,-,-,-,-,-,-,25 [30],i40,+4,GROUND BOUNCE,GROUND BOUNCE,-,-,-,-
-,SCT 3+4,mid,-,-,-,low*,-,-,-,20 [24],i35,-3,+4,GROUND BOUNCE,-,-,-,-
C Backflip Combo,"SCT 3+4, 4","mid, mid",-,-,-,low*,-,-,-,"20 [24], 20",i35,-16,KND,-,-,-,-,-
-,SCT d/b+4,"low, mid",-,-,-,-,-,-,-,13 [15],i34,-14,-3,-3,-,-,-,-
Coffee Grinder to Scoot,"SCT d/b+4, 4",mid,-,-,-,-,-,-,-,"13 [15], 15",i34,-1,+3,-,-,-,-,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,
C Uprock Touch,d/b+1,mid,-,-,-,-,-,-,-,20 [24],i21,-13,KND,KND,-,-,-,-
Happy Swing,b+1+2,"high, high, high, high",-,-,-,-,-,-,-,"5 [6], 5, 5, 15",i20,-8,KND,KND,-,-,-,-
RAGE MOVES,,,,,,,,,,,,,,,,,,
Rage Art,(During Rage) 3+4,low,-,-,-,-,-,-,-,50 [52],i20,-27,KND,KND,-,-,-,-
-,"(During Rage) 3+4, 3:3:3:3:3:3",low,-,-,-,-,-,-,-,65 [67],i20,-27,KND,KND,-,-,-,-
-,"(During Rage) d/f+3+4, B","mid, mid, mid",-,-,-,-,-,-,-,"12 [14], 12, 17",i17,-4,GROUND BOUNCE,GROUND BOUNCE,-,-,-,-
Rage Drive 1,(During Rage) d/f+3+4:1+2,"mid, mid, mid, high",-,-,-,-,-,-,-,"12 [14], 12, 17, 37",i17,+4,KND,KND,-,-,-,-
Rage Drive 2,(During Rage) FC d/f+3+4:1+2,"mid, mid, mid, high",,,,,,,,"12 [14], 12, 17, 37",i17,+4,KND,KND,,,,
UNBLOCKABLE ATTACKS,,,,,,,,,,,,,,,,,,
Lucky Corkscrew,u/b+4,mid!,-,-,-,-,-,-,-,60 [72],i76,!,KND,KND,-,-,-,-
THROWS,,,,,,,,,,,,,,,,,,
C Drill,Approach enemy... 1+3,high throw,-,-,-,-,-,-,-,35,i12,-3,KND,-,-,-,-,-
Donkey Flip,Approach enemy... 2+4,high throw,-,-,-,-,-,-,-,35,i12,-6,KND,-,-,-,-,-
C Drill,Approach enemy... f+1+3,high throw,-,-,-,-,-,-,-,35,i15,-3,KND,-,-,-,-,-
Donkey Flip,Approach enemy... f+2+4,high throw,-,-,-,-,-,-,-,35,i15,-6,KND,-,-,-,-,-
Lollipop,Approach enemy... d/f+1+2,high throw,-,-,-,-,-,-,-,-,i12,-6,KND,-,-,-,-,-
Rolling Beat,Approach from left side... 1+3 (or 2+4),high throw,-,-,-,-,-,-,-,40,i12,-3,KND,-,-,-,-,-
Rolling Toss,Approach from right side...  1+3 (or 2+4),high throw,-,-,-,-,-,-,-,40,i12,-3,KND,-,-,-,-,-
Aerial Acrobat,Approach from behind... 1+3 (or 2+4),high throw,-,-,-,-,-,-,-,50,i12,-,KND,-,-,-,-,-
-,"WR f, f, F (Mid Screen)",mid throw,-,-,-,-,-,-,-,5,i16,-5 (BT),KND,-,-,-,-,-
DURING TACKLE,,,,,,,,,,,,,,,,,,
-,(During Tackle) 1 (or 2),-,-,-,-,-,-,-,-,5,-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2",-,-,-,-,-,-,-,-,"5, 5",-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,"5, 5, 5",-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,"5, 5, 5, 15",-,-,KND,-,-,-,-,-
SPECIAL,,,,,,,,,,,,,,,,,,
Taunt 1,1+2+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taunt 2,1+2+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
