MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON WHIFF,ACTIVE,NOTES
Nest Wrecker,"d/f+2, 4","mid, high",-,-,-,-,-,-,-,"17 [20], 17",i17,+1,+18,-,-,-,-,-
-,"(d/f+2), 4",high,-,-,-,-,-,-,-,17 [20],i29,+1,+18,+18,-,-,-,-
-,d/f+3,mid,-,-,-,-,-,-,-,15 [18],i15,-6,+2,+2,-,-,-,-
Wagtail,"d/f+3, 3","mid, low",-,-,-,-,-,-,-,"15 [18], 24",i15,-21,KND,-,-,-,-,-
-,"(d/f+3), 3",low,-,-,-,-,-,-,-,24 [28],i28,-21,KND,KND,-,-,-,-
-,"d/f+3, 3, D","mid, low",-,-,-,-,-,-,-,"15 [18], 24",i15,-16,-8,-,-,-,-,-
Greater Rhea,d/f+4,mid,-,-,-,-,-,-,-,17 [20],i15,-9,+2,STUN,-,-,-,-
Tucano Tail,d/f+3+4,low,-,-,-,"mid, high",-,-,-,21 [25],i25,-14,+2 (OC),KND,-,-,-,-
-,"d/f+3+4, D",low,-,-,-,-,-,-,-,21 [25],i25,-14,+2 (OC),KND,-,-,-,-
Feather Chop,d+1,mid,-,-,-,high,-,-,-,20 [24],i17,-7,+3 (OC),KND,-,-,-,-
Paineira,d+2,mid,-,-,-,-,-,-,-,18 [21],i20,-11,0,STUN,-,-,-,-
-,d+3,low,-,-,-,-,-,-,-,12 [14],i16,-11,0,0,-,-,-,-
Tarsus Body Blow,"d+3, 3","low, mid",-,-,-,-,-,-,-,"12 [14], 18",i16,-13,0,-,-,-,-,-
-,"(d+3), 3",mid,-,-,-,-,-,-,-,18 [21],i24,-13,0,0,-,-,-,-
Tarsus Neck Blow,"d+3, 4","low, high",-,-,-,-,-,-,-,"12 [14], 18",i16,-4,+6,-,-,-,-,-
-,"(d+3), 4",high,-,-,-,-,-,-,-,18 [21],i24,-4,+6,KND,-,-,-,-
Sliding Kick,d/b+3,low,-,-,-,"mid, high",-,-,-,24 [28],i25,-26,KND,KND,-,-,-,-
Slipping Tail,d/b+4,low,-,-,-,"mid, high",-,-,-,24 [28],i29,-26,STUN,STUN,-,-,-,-
Inside Peck,b+1,mid,-,-,-,-,-,-,-,13 [15],i14,-9,+2,+2,-,-,-,-
Peck Upper,"b+1, 1","mid, mid",-,-,-,-,-,-,-,"13 [15], 20",i14,-12,KND,-,-,-,-,-
-,"(b+1), 1",mid,-,-,-,-,-,-,-,20 [24],i21,-12,KND,KND,-,-,-,-
Piercing Peck,"b+1, 2","mid, mid",-,-,-,-,-,-,-,"13 [15], 10",i14,-8,+5,-,-,-,-,-
-,"(b+1), 2",mid,-,-,-,high,-,-,-,10 [12],i17,-8,+5,+5,-,-,-,-
Vulture Claw,b+2,mid,-,-,-,high,-,-,-,18 [21],i27,-16,LAUNCH,LAUNCH,-,-,-,-
Cuckoo Thrust,b+3,mid,-,-,-,-,-,-,-,15 [18],i12,-9,+2,+7,-,-,-,-
-,b+4,mid,-,-,-,-,-,-,-,17 [20],i17,-15,+8,STUN,-,-,-,-
Woodpecker,"b+4, 1+2","mid, high",-,-,-,-,-,-,-,"17 [20], 20",i17,+1,KND,-,-,-,-,-
-,"(b+4), 1+2",high,-,-,-,-,-,-,-,20 [24],i27,+1,KND,KND,-,-,-,-
Peacock,"b+4, 3+4","mid, mid, mid",-,-,-,-,-,-,-,"17 [20], 3, 11",i17,-12,KND,-,-,-,-,-
-,"(b+4), 3+4","mid, mid",-,-,-,-,-,-,-,"3, 11",i26,-12,KND,KND,-,-,-,-
Fractured Flock,b+3+4,"mid, mid",-,-,-,high,-,-,-,"10 [12], 20",i23,-14,KND,-,-,-,-,-
-,b+3+4 (second hit only),mid,-,-,-,-,-,-,-,20 [24],i31,-14,KND,KND,-,-,-,-
Lower Axis,u/b+4,mid,-,-,-,-,-,-,-,25 [30],i16,-14,KND,KND,-,-,-,-
-,BT 1 (or 2),high,-,-,-,-,-,-,-,15 [18],i8,-8,+3,+3,-,-,-,-
-,BT 3 (or 4),high,-,-,-,-,-,-,-,18 [21],i10,-8,KND,KND,-,-,-,-
-,FC 1,s. mid,-,-,-,high,-,-,-,5 [6],i10,-5,+6,+6,-,-,-,-
-,FC 2,s. mid,-,-,-,high,-,-,-,8 [9],i11,-4,+7,+7,-,-,-,-
-,FC 3,low,-,-,-,high,-,-,-,12 [14],i16,-14,-3,-3,-,-,-,-
-,FC 4,low,-,-,-,high,-,-,-,10 [12],i12,-15,-4,-4,-,-,-,-
Short Tail,FC d/f+4,low,-,-,-,"mid, high",-,-,-,24 [28],i17,-16,0 (OC),KND,-,-,-,-
-,"WR f, f, F (Full Screen)",mid,-,-,-,-,-,-,-,30 [36],i8,+13,KND,KND,-,-,-,-
-,"WR f, f, F (Full Screen) (On Grounded Opponent)",low,-,-,-,-,-,-,-,8 [9],i12,-,KND,KND,-,-,-,-
-,WR 4,low,-,-,-,high,-,-,-,17 [20],i14,-40,KND,KND,-,-,-,-
-,WR+1+2,mid,-,-,-,"low, high",-,-,-,24 [28],i18,0,KND,KND,-,-,-,-
-,WS 1,mid,-,-,-,-,-,-,-,15 [18],i13,-6,+5,+5,-,-,-,-
Rampage Wing,"WS 1, 1","mid, high",-,-,-,-,-,-,-,"15 [18], 10",i13,-5,+6,-,-,-,-,-
-,"WS (1), 1",high,-,-,-,-,-,-,-,10 [12],i17,-5,+6,+6,-,-,-,-
Kite Upper,WS 2,mid,-,-,-,-,-,-,-,20 [24],i15,-13,LAUNCH,LAUNCH,-,-,-,-
-,WS 4,mid,-,-,-,-,-,-,-,15 [18],i11,-3,+8,+8,-,-,-,-
Crash Landing,(While enemy is down) d+3+4,low,-,-,-,-,-,-,-,24 [28],i26,-20,KND,KND,-,-,-,-
10 Hit Combo,"1, 2, 4, 4, 4, 3, 3, 3, 3, 3",-,-,-,-,-,-,-,-,62 [63],i10,-20,KND,KND,-,-,-,-
-,"Face Up, Feet Towards+3 or (After Rolling Forward)",low,-,-,-,high,-,-,-,10 [12],i22,-12,+5,STUN,-,-,-,-
-,"Face Up, Feet Towards+4 or (After Rolling Forward)",mid,-,-,-,-,-,-,-,18 [21],i22,-12,+5,KND,-,-,-,-
-,"Face Up, Feet Towards, d+3 (or 4)",low,-,-,-,"mid, high",-,-,-,4,i13,-16,-3,-3,-,-,-,-
-,"Face Up, Feet Towards+3+4",mid,-,-,-,"low, high",-,-,-,20 [24],i18,-21,KND,KND,-,-,-,-
-,"Face Up, Feet Towards, Roll Forward+1+2",mid,-,-,-,high,-,-,-,20 [24],i19,+2,KND,KND,-,-,-,-
-,"Face Down, Feet Away+3",low,-,-,-,high,-,-,-,10 [12],i21,-20,+1,STUN,-,-,-,-
-,"Face Down, Feet Away+4 (close)",mid,-,-,-,-,-,-,-,15 [18],i21,-19,KND,KND,-,-,-,-
-,"Face Down, Feet Away+4 (far)",mid,-,-,-,-,-,-,-,10 [12],i21,-19,-10,KND,-,-,-,-
-,(Upon Landing) f,mid,-,-,-,low,-,-,-,4,i33,-2,+3,+3,-,-,-,-
INTO HARRIER,,,,,,,,,,,,,,,,,,
Harrier,f+4,-,-,-,-,high,-,-,-,-,-,-,-,-,-,-,-,-
Double Slap to Harrier,"1, 1, F","high, high",-,-,-,-,-,-,-,"7 [8], 10",i10,-32,-26,-,-,-,-,-
Nimble Cutter to Harrier,"4, 4, 4, F","high, mid, high",-,-,-,-,-,-,-,"17 [20], 20 [14], 10 [5]",i11,-41,-32,-,-,-,-,-
Wing Cutter to Harrier,"u/f+4, 4, 4, 4, F","mid, mid, mid, high",-,-,-,-,-,-,-,"10 [12], 10, 7, 5",i15,-41,KND,-,-,-,-,-
Peck and Slap to Harrier,"d/f+1, 1, F","mid, high",-,-,-,-,-,-,-,"13 [15], 8",i13,-32,-21,-,-,-,-,-
Paineira to Harrier,"d+2, F",mid,-,-,-,-,-,-,-,18 [21],i20,-28,-17,STUN,-,-,-,-
Inside Peck to Harrier,"b+1, F",mid,-,-,-,-,-,-,-,13 [15],i14,-34,-23,-23,-,-,-,-
Rampage Wing to Harrier,"WS 1, 1, F","mid, high",-,-,-,-,-,-,-,"15 [18], 10",i13,-32,-21,-,-,-,-,-
DURING HARRIER,,,,,,,,,,,,,,,,,,
-,HAR D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alula Slice,HAR 1,high,-,-,-,-,-,-,-,12 [14],i12,-3,+17,+17,-,-,-,-
Alula Slam,HAR 2,mid,-,-,-,-,-,-,-,20 [24],i18,-6,-2 (OC),GROUND BOUNCE,-,-,-,-
Palmate Spin,HAR 3,low,-,-,-,high,-,-,-,23 [27],i26,-25,KND,KND,-,-,-,-
Snipe's Knee,HAR 4,mid,-,-,-,-,-,-,-,27 [32],i15,-13,KND,KND,-,-,-,-
Aerial Glide,HAR u/f+3,mid,-,-,-,low,-,-,-,20 [24],i27,-6,KND,STUN,-,-,-,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,
Fledgeling Foot,f+3+4,mid,-,-,-,-,-,-,-,23 [27],i24,-13,KND,KND,-,-,-,-
RAGE MOVES,,,,,,,,,,,,,,,,,,
Rage Drive,(During Rage) HAR 1+2,mid,-,-,-,-,-,-,-,55 [62],i15,+5 (OC),KND,KND,-,-,-,-
Rage Art,(During Rage) 3+4,mid,-,-,-,-,-,-,-,55 [57],i20,-22,KND,KND,-,-,-,-
UNBLOCKABLE MOVES,,,,,,,,,,,,,,,,,,
Eclipse Plumage,d/b+3+4,mid,-,-,-,low,-,-,-,60 [72],i68,!,KND,KND,-,-,-,-
THROWS,,,,,,,,,,,,,,,,,,
Flying Catch,Approach enemy... 1+3,high throw,-,-,-,-,-,-,-,35,i12,-3,KND,-,-,-,-,-
Display of Force,Approach enemy... 2+4,high throw,-,-,-,-,-,-,-,35,i12,-6,KND,-,-,-,-,-
Flying Catch,Approach enemy... f+1+3,high throw,-,-,-,-,-,-,-,35,i15,-3,KND,-,-,-,-,-
Display of Force,Approach enemy... f+2+4,high throw,-,-,-,-,-,-,-,35,i15,-6,KND,-,-,-,-,-
Phoenix Kick Flurry,Approach enemy... d/f+1+2 (or During Harrier),high throw,-,-,-,-,-,-,WALL BREAK / SPLAT,40,i12,-6,KND,-,-,-,-,-
Osprey Sweep,Approach from left side... 1+3 (or 2+4),high throw,-,-,-,-,-,-,-,40,i12,-3,KND,-,-,-,-,-
Raptor's Wrath,Approach from right side...  1+3 (or 2+4),high throw,-,-,-,-,-,-,-,40,i12,-3,KND,-,-,-,-,-
Bird of Prey,Approach from behind... 1+3 (or f+1+3),high throw,-,-,-,-,-,-,-,50,i12,-,KND,-,-,-,-,-
-,"WR f, f, F (Mid Screen)",mid throw,-,-,-,high,-,-,-,5,i16,-5 (BT),KND,-,-,-,-,-
DURING TACKLE,,,,,,,,,,,,,,,,,,
-,(During Tackle) 1 (or 2),-,-,-,-,-,-,-,-,5,-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2",-,-,-,-,-,-,-,-,"5, 5",-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,"5, 5, 5",-,-,KND,-,-,-,-,-
-,"(During Tackle) 1/2, 1/2, 1/2, 1/2",-,-,-,-,-,-,-,-,"5, 5, 5, 15",-,-,KND,-,-,-,-,-
SPECIAL,,,,,,,,,,,,,,,,,,
Taunt,1+2+3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
