MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,IN AIR,ON CROUCHING,ON WHIFF,ACTIVE,NOTES
*,"(d/f+3), (1), (2), (3), 1+2",-,-,-,-,-,-,-,-,-,i29,0 (OC),+4 (OC),+4 (OC),-,-,-,-,-
Raging Beast Sting,"d/f+3, 1, 2, f+1",-,-,-,-,-,-,-,-,-,i17,+4,+6,-,-,-,-,-,-
*,"(d/f+3), (1), (2), f+1",-,-,-,-,-,-,-,-,-,i23,+4,+6,KND,-,-,-,-,-
Raging Beast Body Blow,"d/f+3, 1, d+2",-,-,-,-,-,-,-,-,-,i17,-9,+7,-,-,-,-,-,-
*,"(d/f+3), (1), d+2",-,-,-,-,-,-,-,-,-,i16,-9,+7,+7,-,-,-,-,-
Gut Kick Combo,"d/f+3, 1+2",-,-,-,-,-,-,-,-,-,i17,0 (OC),+4 (OC),-,-,-,-,-,-
*,"(d/f+3), 1+2",-,-,-,-,-,-,-,-,-,i29,0 (OC),+4 (OC),+4 (OC),-,-,-,-,-
*,"d/f+3, d/f+1",-,-,-,-,-,-,-,-,-,i17,-12,LAUNCH,-,-,-,-,-,-
*,"(d/f+3), d/f+1",-,-,-,-,-,-,-,-,-,i27,-12,LAUNCH,LAUNCH,-,-,-,-,-
Gorilla Rush,"d/f+3, d/f+1, 2",-,-,-,-,-,-,-,-,-,i17,-3,KND,-,-,-,-,-,-
*,"(d/f+3), d/f+1, 2",-,-,-,-,-,-,-,-,-,i27,-3,KND,-,-,-,-,-,-
*,"(d/f+3), (d/f+1), 2",-,-,-,-,-,-,-,-,-,i24,-3,KND,KND,-,-,-,-,-
*,d/f+4,-,-,-,-,-,-,-,-,-,i13,-9,+2,+2,-,-,-,-,-
Compressor Swing,"d/f+4, 2",-,-,-,-,-,-,-,-,-,i13,-5,+12,-,-,-,-,-,-
*,"(d/f+4), 2",-,-,-,-,-,-,-,-,-,i25,-5,+12,S!,-,-,-,-,-
Cannonball,d/f+1+2,-,-,-,-,-,-,-,-,-,i17,-11,+3 (OC),+3 (OC),-,-,-,-,-
Dunk Elbow,d+1,-,-,-,-,-,-,-,-,-,i18,0 (OC),+5 (OC),KND,-,-,-,-,-
*,d+2,-,-,-,-,-,-,-,-,-,i16,-7 (OC),+7 (OC),+7 (OC),-,-,-,-,-
Alligator Combo,"d+2, 4",-,-,-,-,-,-,-,-,-,i16,-9,+5,-,-,-,-,-,-
*,"(d+2), 4",-,-,-,-,-,-,-,-,-,i17,-9,+5,+5,-,-,-,-,-
Low Kick,d+3,-,-,-,-,-,-,-,-,-,i16,-12,-1,-1,-,-,-,-,-
Knee Slicer,d+4,-,-,-,-,-,-,-,-,-,i14,-16,-5,-5,-,-,-,-,-
Battering Ram,d+1+2,-,-,-,-,-,-,-,-,-,i19,-12,LAUNCH,LAUNCH,-,-,-,-,-
Flash Hook,d/b+2,-,-,-,-,-,-,-,-,-,i16,-8,KND,S!,-,-,-,-,-
*,d/b+3,-,-,-,-,-,-,-,-,-,i18,-12,-4,+4,-,-,-,-,-
*,"d/b+3, 1",-,-,-,-,-,-,-,-,-,i18,-6,+8,-,-,-,-,-,-
Revolving Hammer,"(d/b+3), 1",-,-,-,-,-,-,-,-,-,i25,-6,+8,STUN,-,-,-,-,-
Revolving Hammer,"d/b+3, 1, 1",-,-,-,-,-,-,-,-,-,i18,-8,KND,-,-,-,-,-,-
*,"(d/b+3), 1, 1",-,-,-,-,-,-,-,-,-,i25,-8,KND,-,-,-,-,-,-
Revolving Hammer,"(d/b+3), (1), 1",-,-,-,-,-,-,-,-,-,i28,-8,KND,KND,-,-,-,-,-
Revolving Trap Kick,"d/b+3, 4",-,-,-,-,-,-,-,-,-,i18,-13,+3,-,-,-,-,-,-
*,"(d/b+3), 4",-,-,-,-,-,-,-,-,-,i26,-13,+3,+3,-,-,-,-,-
Crab Leg,d/b+4,-,-,-,-,-,-,-,-,-,i23,-11,+5,+5,-,-,-,-,-
*,"d/b+4, D",-,-,-,-,-,-,-,-,-,i23,-11,KND,KND,-,-,-,-,-
Annihilator Hammer,d/b+1+2,-,-,-,-,-,-,-,-,-,i26,-22,LAUNCH,LAUNCH,-,-,-,-,-
*,b+1,-,-,-,-,-,-,-,-,-,i21,-8,+2 (OC),KND,-,-,-,-,-
Double Fist Hammer,"b+1, 2",-,-,-,-,-,-,-,-,-,i21,-14,KND,-,-,-,-,-,-
*,"(b+1), 2",-,-,-,-,-,-,-,-,-,i32,-14,KND,KND,-,-,-,-,-
Spinning Backfist,b+2,-,-,-,-,-,-,-,-,-,i22,-9,+1,STUN,-,-,-,-,-
Sasquatch Cannon,b+3,-,-,-,-,-,-,-,-,-,i21,0,+8,KND,-,-,-,-,-
Quick Bazooka,b+4,-,-,-,-,-,-,-,-,-,i14,-9,+2,KND,-,-,-,-,-
Heel Bazooka,b+3+4,-,-,-,-,-,-,-,-,-,i18,-14,KND,KND,-,-,-,-,-
Knee Sling,u/f+3,-,-,-,-,-,-,-,-,-,i20,-2,KND,LAUNCH,-,-,-,-,-
Jumping Mid Kick,u/f+4,-,-,-,-,-,-,-,-,-,i16,-9,KND,KND,-,-,-,-,-
Mongolian Chop,u/f+1+2,-,-,-,-,-,-,-,-,-,i17,-6,STUN,STUN,-,-,-,-,-
Foot Stomp,u/f+3+4,-,-,-,-,-,-,-,-,-,i31,-3,KND,KND,-,-,-,-,-
Elbow Rush,"f, F+2",-,-,-,-,-,-,-,-,-,i11,-1,KND,KND,-,-,-,-,-
*,"f, F+3",-,-,-,-,-,-,-,-,-,i19,-7,+1,+1,-,-,-,-,-
Burning Mountain,"f, F+3, 2",-,-,-,-,-,-,-,-,-,i19,-14,LAUNCH,-,-,-,-,-,-
*,"(f, F+3), 2",-,-,-,-,-,-,-,-,-,i25,-14,LAUNCH,LAUNCH,-,-,-,-,-
Side Sweep,"f, F+4",-,-,-,-,-,-,-,-,-,i18,-10,KND,KND,-,-,-,-,-
*,"b, f+1+2",-,-,-,-,-,-,-,-,-,i15,-12,+4,-,-,-,-,-,-
*,"b, f+1+2 (second hit only)",-,-,-,-,-,-,-,-,-,i32,-12,+4,+4,-,-,-,-,-
Giant Brat,"b, f+1+2, 2",-,-,-,-,-,-,-,-,-,i15,-15,KND,-,-,-,-,-,-
*,"(b, f+1+2), 2",-,-,-,-,-,-,-,-,-,i28,-15,KND,STUN,-,-,-,-,-
Earthquake,u/b+1+2,-,-,-,-,-,-,-,-,-,i22,-6,KND,KND,-,-,-,-,-
*,qcf+1,-,-,-,-,-,-,-,-,-,i18,-9,LAUNCH,LAUNCH,-,-,-,-,-
Ballista Fist,"qcf+1, 2",-,-,-,-,-,-,-,-,-,i18,-7,LAUNCH,-,-,-,-,-,-
*,"(qcf+1), 2",-,-,-,-,-,-,-,-,-,i19,-7,KND,KND,-,-,-,-,-
Babel Smasher,qcf+2,-,-,-,-,-,-,-,-,-,i24,-12,+5,-,-,-,-,-,-
Warhammer,(During Counter Hit) qcf+2,-,-,-,-,-,-,-,-,-,i24,-12,KND,KND,-,-,-,-,-
Bicycle Kick,"f, f, f+3",-,-,-,-,-,-,-,-,-,i32,+6,KND,KND,-,-,-,-,-
*,FC 1,-,-,-,-,-,-,-,-,-,i10,-5,+6,+6,-,-,-,-,-
*,FC 2,-,-,-,-,-,-,-,-,-,i11,-4,+7,+7,-,-,-,-,-
Below the Belt Combo,FC 3,-,-,-,-,-,-,-,-,-,i16,-17,-3,-3,-,-,-,-,-
Jab to Mid Kick,FC 4,-,-,-,-,-,-,-,-,-,i12,-15,-4,-4,-,-,-,-,-
Bull-charge,FC 1+2 (close),-,-,-,-,-,-,-,-,-,i22,-4,KND,KND,-,-,-,-,-
Bull-charge,FC 1+2 (far),-,-,-,-,-,-,-,-,-,i22,-4,+7,+7,-,-,-,-,-
Tornado Chop,FC d/f+2,-,-,-,-,-,-,-,-,-,i19,-3,KND,KND,-,-,-,-,-
Shin Breaker,FC d/f+4,-,-,-,-,-,-,-,-,-,i21,-26,+8,KND,-,-,-,-,-
*,SS 2,-,-,-,-,-,-,-,-,-,i21,-3,0 (OC),0 (OC),-,-,-,-,-
Instep Middle Kick,SS 4,-,-,-,-,-,-,-,-,-,i21,-6,KND,KND,-,-,-,-,-
Tall Hammer,SS 1+2,-,-,-,-,-,-,-,-,-,i19,+1 (OC),KND,KND,-,-,-,-,-
Charging Tackle*,"WR f, f, F (Full Screen)",-,-,-,-,-,-,-,-,-,i8,+13,KND,KND,-,-,-,-,-
Running Stomp*,"WR f, f, F (Full Screen) (On Grounded Opponent)",-,-,-,-,-,-,-,-,-,i12,-,KND,KND,-,-,-,-,-
*,WS 1,-,-,-,-,-,-,-,-,-,i11,-7,+3,+3,-,-,-,-,-
Heavy Artillery,"WS 1, 2",-,-,-,-,-,-,-,-,-,i11,-7,KND,KND,-,-,-,-,-
*,"WS (1), 2",-,-,-,-,-,-,-,-,-,i16,-7,KND,STUN,-,-,-,-,-
Tornado Hook,WS 2,-,-,-,-,-,-,-,-,-,i19,-8,KND,STUN,-,-,-,-,-
Power Punt,WS 3,-,-,-,-,-,-,-,-,-,i18,-13,LAUNCH,LAUNCH,-,-,-,-,-
Stun Knee,WS 4,-,-,-,-,-,-,-,-,-,i13,-9,KND,STUN,-,-,-,-,-
Quick Uppercut,WS 1+2,-,-,-,-,-,-,-,-,-,i10,-3,+8,+8,-,-,-,-,-
Wake Up Hammer,While down (facing down) 2,-,-,-,-,-,-,-,-,-,i20,-7,+4,+4,-,-,-,-,-
Quake Kick,(While enemy is down) d/b+4,-,-,-,-,-,-,-,-,-,i19,-,KND,KND,-,-,-,-,-
10 Hit Combo,"2, 1, 3, 1, 2, 1, 2, 2, 3, 2",-,-,-,-,-,-,-,-,-,i10,-,KND,KND,-,-,-,-,-
Wake-Up Low Kick*,"Face Up, Feet Towards+3 or (After Rolling Forward)",-,-,-,-,-,-,-,-,-,i22,-12,+5,STUN,-,-,-,-,-
Wake-Up Mid Kick*,"Face Up, Feet Towards+4 or (After Rolling Forward)",-,-,-,-,-,-,-,-,-,i22,-12,+5,KND,-,-,-,-,-
Recovery Kick* (Back Roll on Hit),"Face Up, Feet Towards, d+3 (or 4)",-,-,-,-,-,-,-,-,-,i13,-20,-3,-3,-,-,-,-,-
Spring Attack*,"Face Up, Feet Towards+3+4",-,-,-,-,-,-,-,-,-,i48,+10,KND,KND,-,-,-,-,-
Flying Cross Chop*,"Face Up, Feet Towards, Roll Forward+1+2",-,-,-,-,-,-,-,-,-,i19,+2,KND,KND,-,-,-,-,-
*,"Face Down, Feet Away+3",-,-,-,-,-,-,-,-,-,i21,-20,+1,STUN,-,-,-,-,-
*,"Face Down, Feet Away+4 (close)",-,-,-,-,-,-,-,-,-,i21,-19,KND,KND,-,-,-,-,-
*,"Face Down, Feet Away+4 (far)",-,-,-,-,-,-,-,-,-,i21,-19,-10,KND,-,-,-,-,-
Handspring Kickup,(Upon Landing) f,-,-,-,-,-,-,-,-,-,i33,-2,+3,+3,-,-,-,-,-
INTO DOUBLE LEG TAKE DOWN,,,,,,,,,,,,,,,,,,,
Revolving Trap Kick Cancel to Double Leg Take Down,"d/b+3, 4, 1+2",-,-,-,-,-,-,-,-,-,i18,-4,KND,-,-,-,-,-,-
*,"(d/b+3), (4), 1+2",-,-,-,-,-,-,-,-,-,i24,-4,KND,-,-,-,-,-,-
Death Bringer Cancel to Double Leg Take Down,"b+2+3, 1+2",-,-,-,-,-,-,-,-,-,i60,-4,KND,-,-,-,-,-,-
*,"WR f, f, F (Mid Screen)",-,-,-,-,-,-,-,-,-,i16,-4,KND,-,-,-,-,-,-
Wake Up Sweep to Diving Blow,While down (facing down) d+2 (only during hit from front),-,-,-,-,-,-,-,-,-,i17,-24,KND,KND,-,-,-,-,-
Double Leg Take Down,(During Ready Position) 1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trap,Time with enemy attack... b+1+3 (or b+2+4),-,-,-,-,-,-,-,-,-,-,-,KND,-,-,-,-,-,-
DURING DOUBLE LEG TAKE DOWN,,,,,,,,,,,,,,,,,,,
Left Melon Masher,(During Double Leg Take Down) 1,-,-,-,-,-,-,-,-,-,-,-,KND,-,-,-,-,-,-
Neck Lock,(During Double Leg Take Down) 1+3,-,-,-,-,-,-,-,-,-,-,-,KND,-,-,-,-,-,-
Right Melon Masher,(During Double Leg Take Down) 2,-,-,-,-,-,-,-,-,-,-,-,KND,-,-,-,-,-,-
Knee Bar,(During Double Leg Take Down) 2+4,-,-,-,-,-,-,-,-,-,-,-,KND,-,-,-,-,-,-
Mount Mongolian Chop,(During Double Leg Take Down) 1+2,-,-,-,-,-,-,-,-,-,-,-,KND,-,-,-,-,-,-
Skull Crusher,(During Double Leg Take Down) 3+4,-,-,-,-,-,-,-,-,-,-,-,KND,-,-,-,-,-,-
INTO READY POSITION,,,,,,,,,,,,,,,,,,,
Ready Position,3+4,-,-,-,-,-,-,-,-,-,i8,-,-,-,-,-,-,-,-
Left Right to Ready Position,"1, 2, 3+4",-,-,-,-,-,-,-,-,-,i10,-9,KND,-,-,-,-,-,-
Raging Beast Ready Position,"d/f+3, 1, 2, 3+4",-,-,-,-,-,-,-,-,-,i17,-9,KND,-,-,-,-,-,-
Advance Ready Position,d/f+3+4,-,-,-,-,-,-,-,-,-,i28,-,KND,-,-,-,-,-,-
Shoulder Bash Cancel to Ready Position,"f+3+4, 3+4",-,-,-,-,-,-,-,-,-,i25,-,KND,-,-,-,-,-,-
Revolving Hammer Cancel to Ready Position,"d/b+3, 1, 1, 3+4",-,-,-,-,-,-,-,-,-,i18,-21,KND,-,-,-,-,-,-
Cornered Beast,d/b+3+4,-,-,-,-,-,-,-,-,-,i28,-,KND,-,-,-,-,-,-
Earthquake to Ready Position,"u/b+1+2, 3+4",-,-,-,-,-,-,-,-,-,i22,-14,KND,-,-,-,-,-,-
Spinning Hammer to Ready Position,"SS 2, 3+4",-,-,-,-,-,-,-,-,-,i21,-11,KND,-,-,-,-,-,-
Hell Stab to Ready Position,"WS 1, 3+4",-,-,-,-,-,-,-,-,-,i11,-15,KND,-,-,-,-,-,-
DURING READY POSITION,,,,,,,,,,,,,,,,,,,
Side Shift,(During Double Leg Take Down) u (or d),-,-,-,-,-,-,-,-,-,i23,-,-,-,-,-,-,-,-
Strangle Slam,(During Ready Position) 1+3,-,-,-,-,-,-,-,-,-,i12,-2,KND,-,-,-,-,-,-
Body Slam,(During Ready Position) 2+4,-,-,-,-,-,-,-,-,-,i12,-2,KND,-,-,-,-,-,-
*,(During Ready Position) f+1,-,-,-,-,-,-,-,-,-,i13,-4,+3,+3,-,-,-,-,-
Power Bump,"(During Ready Position) f+1, 2",-,-,-,-,-,-,-,-,-,i13,-13,KND,-,-,-,-,-,-
*,"(During Ready Position) (f+1), 2",-,-,-,-,-,-,-,-,-,i22,-13,KND,-,-,-,-,-,-
Power Hurricane,"(During Ready Position) f+1, 4",-,-,-,-,-,-,-,-,-,i13,-10,KND,-,-,-,-,-,-
*,"(During Ready Position) (f+1), 4",-,-,-,-,-,-,-,-,-,i23,-10,KND,-,-,-,-,-,-
Python Explosion,(During Ready Position) d+1+2,-,-,-,-,-,-,-,-,-,i17,-39,KND,-,-,-,-,-,-
POWER CRUSHES,,,,,,,,,,,,,,,,,,,
Power Straight,(During Ready Position) f+2,-,-,-,-,-,-,-,-,-,i17,-14,KND,KND,-,-,-,-,-
RAGE MOVES,,,,,,,,,,,,,,,,,,,
Rage Art,(During Rage) b+1+2,-,-,-,-,-,-,-,-,-,i20,-22,KND,KND,-,-,-,-,-
Rage Drive,(During Rage) f+2+3,-,-,-,-,-,-,-,-,-,i11,+7 (FDFA),KND,KND,-,-,-,-,-
UNBLOCKABLE ATTACKS,,,,,,,,,,,,,,,,,,,
Death Bringer,"b+2+3 (b, b to cancel)",-,-,-,-,-,-,-,-,-,i80,!,KND,KND,-,-,-,-,-
Shoulder Bash,f+3+4,-,-,-,-,-,-,-,-,-,i32,!,KND,KND,-,-,-,-,-
THROWS,,,,,,,,,,,,,,,,,,,
Steam Roller,Approach enemy... 1+3,-,-,-,-,-,-,-,-,-,i12,-6,KND,-,-,-,-,-,-
Knee Breaker,Approach enemy... 2+4,-,-,-,-,-,-,-,-,-,i12,-6,KND,-,-,-,-,-,-
Steam Roller,Approach enemy... f+1+3,-,-,-,-,-,-,-,-,-,i15,-6,KND,-,-,-,-,-,-
Knee Breaker,Approach enemy... f+2+4,-,-,-,-,-,-,-,-,-,i15,-6,KND,-,-,-,-,-,-
Reverse Body Lift,Approach from left side... 1+3 (or 2+4),-,-,-,-,-,-,-,-,-,i12,-3,KND,-,-,-,-,-,-
Toy Airplane,Approach from right side... 1+3 (or 2+4),-,-,-,-,-,-,-,-,-,i12,-3,KND,-,-,-,-,-,-
Backdrop,Approach from back right side... 1+3 (or f+1+3),-,-,-,-,-,-,-,-,-,i12,-,KND,-,-,-,-,-,-
Arm Bar Flip,Approach from back right side... 2+4 (or f+2+4),-,-,-,-,-,-,-,-,-,i12,-,KND,-,-,-,-,-,-
Around the World,"Approach enemy... f, F+1+2",-,-,-,-,-,-,-,-,-,i12,0 (BT),KND,-,-,-,-,-,-
Northern Lights Suplex,Approach enemy... qcf+1+3,-,-,-,-,-,-,-,-,-,i12,-2,KND,-,-,-,-,-,-
Power Slam,Approach enemy... qcf+2+4,-,-,-,-,-,-,-,-,-,i12,-2,KND,-,-,-,-,-,-
Back Breaker,Approach enemy... qcb+1+2,-,-,-,-,-,-,-,-,-,i11,-6,KND,-,-,-,-,-,-
Suplex Bomb,"Approach enemy... f, hcf+1",-,-,-,-,-,-,-,-,-,i11,-2,KND,-,-,-,-,-,-
Power Bomb,Approach (crouching enemy) d+1+3,-,-,-,-,-,-,-,-,-,i13,-2,KND,-,-,-,-,-,-
Ultimate Knee,Approach (crouching enemy) d+2+4,-,-,-,-,-,-,-,-,-,i13,-2,KND,-,-,-,-,-,-
Hercules' Hammer,(While enemy is down) d/b+1+3,-,-,-,-,-,-,-,-,-,i18,0,KND,-,-,-,-,-,-
Reversi Throw,(While enemy is down) by the feet... d/b+2+4,-,-,-,-,-,-,-,-,-,i18,0,KND,-,-,-,-,-,-
Alarm Knee,(While enemy is down) by the head... d/b+2+4,-,-,-,-,-,-,-,-,-,i18,0,KND,-,-,-,-,-,-
Mount Position,(Enemy on back) by enemy's side... d/b+1+3 (or d/b+2+4),-,-,-,-,-,-,-,-,-,i18,0,KND,-,-,-,-,-,-
Rib Buster,(Enemy face down) by enemy's side... d/b+1+3 (or d/b+2+4),-,-,-,-,-,-,-,-,-,i18,0,KND,-,-,-,-,-,-
Gator Slam,Approach mid-air enemy 1+3 (or f+1+3),-,-,-,-,-,-,-,-,-,i12,-,KND,-,-,-,-,-,-
Corkscrew,Approach mid-air enemy 2+4 (or f+2+4),-,-,-,-,-,-,-,-,-,i12,-,KND,-,-,-,-,-,-
Mid-Air Suplex,"Approach mid-air enemy f, F+1+2",-,-,-,-,-,-,-,-,-,i12,-,KND,-,-,-,-,-,-
Angry Ape,During enemy wall stun... 1+3 (or 2+4),-,-,-,-,-,-,-,-,-,i7,-,KND,-,-,-,-,-,-
