MOVE NAME,COMMAND,HIT LEVEL,RANGE,GAP,TRACKING,CRUSH,JAIL,NC / NCc,AIR,ENVIRONMENTAL,DAMAGE,START UP,ON BLOCK,ON HIT,ON CH,ON WHIFF,ACTIVE,NOTES
Au de Bico,"d+4, 3","low, mid",-,-,-,high,-,-,-,-,"11 [13], 24",i15,-13,-8 (OC),-,-,-,-
-,"(d+4), 3",mid,-,-,-,high,-,-,-,-,24 [28],i21,-13,-8 (OC),-8 (OC),-,-,-
-,d/b+2,low,-,-,-,high,-,-,-,-,13 [15],i18,-18,-7,-7,-,-,-
Twister Mirage,"d/b+2, 3","low, mid",-,-,-,high*,-,-,-,-,"13 [15], 22",i18,-23,LAUNCH,-,-,-,-
-,"(d/b+2), 3",mid,-,-,-,high*,-,-,-,-,22 [26],i27,-23,LAUNCH,LAUNCH,-,-,-
Rasteira,d/b+3,low,-,-,-,high,-,-,-,-,10 [12],i23,-18,-2,-2,-,-,-
Rasteira Chibata,"d/b+3, 3","low, mid",-,-,-,-,-,-,-,-,"10 [12], 25",i23,-15,+3 (OC),-,-,-,-
-,"(d/b+3), 3",mid,-,-,-,-,-,-,-,-,25 [30],i35,-15,+3 (OC),KND,-,-,-
Rasteira to Circle Kick,"d/b+3, 4","low, high",-,-,-,-,-,-,-,-,"10 [12], 17",i23,-3,KND,-,-,-,-
-,"(d/b+3), 4",high,-,-,-,-,-,-,-,-,17 [20],i24,-3,KND,KND,-,-,-
Rasteira to Low Kick 2,"d/b+3, d/b+4","low, low",-,-,-,high,-,-,-,-,"10 [12], 15",i23,-7,+9,-,-,-,-
-,"(d/b+3), d/b+4",low,-,-,-,high,-,-,-,-,15 [18],i34,-7,+9,+9,-,-,-
Thong Bikini to Low Kick 2,"d/b+3, d/b+4, 4","low, low, low",-,-,-,high,-,-,-,-,"10 [12], 15, 15",i23,-14,+10 (OC),-,-,-,-
-,"(d/b+3), d/b+4, 4","low, low",-,-,-,high,-,-,-,-,"15 [18], 15",i34,-14,+10 (OC),-,-,-,-
-,"(d/b+3), (d/b+4), 4",low,-,-,-,high,-,-,-,-,15 [18],i34,-14,+10 (OC),+10 (OC),-,-,-
-,"d/b+3, d/b+4, 1+2","low, low, mid",-,-,-,-,-,-,-,-,"10 [12], 15, 11",i23,-14,+2,-,-,-,-
-,"(d/b+3), d/b+4, 1+2","low, mid",-,-,-,high*,-,-,-,-,"15 [18], 11",i34,-14,+2,-,-,-,-
-,"(d/b+3), (d/b+4), 1+2",mid,-,-,-,high*,-,-,-,-,11 [13],i20,-14,+2,+2,-,-,-
Rasteira to Crying Needle Impact,"d/b+3, d/b+4, 1+2, 1+2","low, low, mid, mid",-,-,-,high*,-,-,-,-,"10 [12], 15, 11, 12",i23,-14,KND,-,-,-,-
-,"(d/b+3), d/b+4, 1+2, 1+2","low, mid, mid",-,-,-,high*,-,-,-,-,"15 [18], 11, 12",i34,-14,KND,-,-,-,-
-,"(d/b+3), (d/b+4), 1+2, 1+2","mid, mid",-,-,-,high*,-,-,-,-,"11 [13], 12",i20,-14,KND,-,-,-,-
-,"(d/b+3), (d/b+4), (1+2), 1+2",mid,-,-,-,high*,-,-,-,-,12 [14],i10,-14,KND,KND,-,-,-
-,d/b+4,mid,-,-,-,high,-,-,-,-,18 [21],i18,-17,KND,KND,-,-,-
-,"d/b+4, 4","mid, mid",-,-,-,high,-,-,-,-,"18 [21], 11",i18,-15,KND,-,-,-,-
-,"(d/b+4), 4",mid,-,-,-,high,-,-,-,-,19 [22],i31,-15,KND,KND,-,-,-
Barbed Wire,"d/b+4, 4, 4","mid, mid, mid",-,-,-,high,-,-,-,-,"18 [21], 11, 11",i18,-15,KND,-,-,-,-
-,"(d/b+4), 4, 4","mid, mid",-,-,-,high,-,-,-,-,"19 [22], 11",i31,-15,KND,-,-,-,-
-,"(d/b+4), (4), 4",mid,-,-,-,high,-,-,-,-,19 [22],i31,-15,KND,KND,-,-,-
-,"d/b+4, 4, 4, 4...(repeat infinitely)","mid, mid, mid, mid",-,-,-,high,-,-,-,-,"18 [21], 11, 11...",i31,-13,KND,-,-,-,-
Double Arm Stinger,d/b+1+2,mid,-,-,-,-,-,-,-,-,12 [14],i30,-7,GROUND BOUNCE,GROUND BOUNCE,-,-,-
-,d/b+3+4,"mid, mid",-,-,-,high,-,-,-,-,"12 [14], 12",i30,-10,+11,KND,-,-,-
-,d/b+3+4 (second hit only),mid,-,-,-,-,-,-,-,-,12 [14],i41,-10,+11,STUN,-,-,-
-,"d/b+3+4, 4","mid, mid, high",-,-,-,high,-,-,-,-,"12 [14], 12, 10",i30,-6,+8,-,-,-,-
-,"(d/b+3+4), 4",high,-,-,-,high,-,-,-,-,10 [12],i21,-6,+8,+8,-,-,-
Meia-Lua de Compasso,"d/b+3+4, 4, 3","mid, mid, high, high",-,-,-,high*,-,-,-,-,"12 [14], 12, 10, 25",i30,-6,KND,-,-,-,-
-,"(d/b+3+4), 4, 3","high, high",-,-,-,high*,-,-,-,-,"10 [12], 25",i21,-6,KND,-,-,-,-
-,"(d/b+3+4), (4), 3",high,-,-,-,high*,-,-,-,-,25 [30],i44,-6,KND,KND,-,-,-
-,b+1,mid,-,-,-,high*,-,-,-,-,16 [19],i14,-8,+8,+8,-,-,-
Gato to Au Batido,"b+1, 4","mid, mid",-,-,-,high*,-,-,-,-,"16 [19], 10",i14,-23,-12,-,-,-,-
-,"(b+1), 4",mid,-,-,-,high*,-,-,-,-,10 [12],i25,-23,-12,-12,-,-,-
-,b+2,mid,-,-,-,-,-,-,-,-,14 [16],i14,-11,+3,+3,-,-,-
Godeme to Calcanheira,"b+2, 4","mid, high",-,-,-,low*,-,-,-,-,"14 [16], 23",i14,-9,KND,-,-,-,-
-,"(b+2), 4",high,-,-,-,low*,-,-,-,-,23 [27],i25,-9,KND,KND,-,-,-
Knee Thruster,b+3,mid,-,-,-,-,-,-,-,-,10 [12],i13,-8,+8,+8,-,-,-
Bencao Fake-out,"b+3, f","mid, mid",-,-,-,-,-,-,-,-,"10 [12], 15",i13,-14,+2,+2,-,-,-
Armada,b+4,high,-,-,-,-,-,-,-,-,17 [20],i20,-6,+5,STUN,-,-,-
Armada to Rasteira,"b+4, 3","high, low",-,-,-,-,-,-,-,-,"17 [20], 12",i20,-21,-12,-,-,-,-
-,"(b+4), 3",low,-,-,-,-,-,-,-,-,12 [14],i22,-21,-12,-12,-,-,-
Armada to Macacao,"b+4, 4","high, mid, mid",-,-,-,-,-,-,-,-,"17 [20], 7, 17",i20,-9,KND,-,-,-,-
-,"(b+4), 4","mid, mid",-,-,-,-,-,-,-,-,"7 [8], 17",i29,-9,KND,KND,-,-,-
Leg Whip Mars Attack Flip,"b+4, 4, 3+4","high, mid, mid, mid",-,-,-,low,-,-,-,-,"17 [20], 7, 17, 8",i20,-13,KND,-,-,-,-
-,"(b+4), 4, 3+4","mid, mid, mid",-,-,-,low,-,-,-,-,"7 [8], 17, 8",i29,-13,KND,-,-,-,-
-,"(b+4), (4), 3+4",mid,-,-,-,low,-,-,-,-,12 [14],i27,-13,KND,KND,-,-,-
Asfixiante,b+1+2,mid,-,-,-,-,-,-,-,-,24 [28],i22,-8,KND,KND,-,-,-
-,"b, B+2+3, b, b",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,BT 1 (or 2),high,-,-,-,-,-,-,-,-,15 [18],i8,-8,+3,+3,-,-,-
-,BT 3 (or 4),high,-,-,-,-,-,-,-,-,18 [21],i10,-8,KND,KND,-,-,-
Passo para Tras,BT 3+4,mid,-,-,-,low,-,-,-,-,30 [36],i47,+1,GROUND BOUNCE,GROUND BOUNCE,-,-,-
-,FC 1,s. mid,-,-,-,high,-,-,-,-,5 [6],i10,-5,+6,+6,-,-,-
-,FC 2,s. mid,-,-,-,high,-,-,-,-,8 [9],i11,-4,+7,+7,-,-,-
-,FC 3,low,-,-,-,high,-,-,-,-,12 [14],i16,-15,-4,-4,-,-,-
-,FC 4,low,-,-,-,high,-,-,-,-,10 [12],i13,-14,-3,-3,-,-,-
Haule,FC d/b+4,mid,-,-,-,high,-,-,-,-,19 [22],i18,-10,+4,KND,-,-,-
-,FC 1+2,mid,-,-,-,high,-,-,-,-,11 [13],i19,-14,+2,+4,-,-,-
Crying Needle Impact,"FC 1+2, 1+2","mid, mid",-,-,-,high,-,-,-,-,"11 [13], 12",i19,-14,KND,-,-,-,-
-,"FC (1+2), 1+2",mid,-,-,-,high,-,-,-,-,12 [14],i10,-14,KND,KND,-,-,-
Front Stinger,FC 3+4,mid,-,-,-,-,-,-,-,-,18 [21],i22,-17,+2 (OC),KND,-,-,-
Cruncher,SS 2,mid,-,-,-,-,-,-,-,-,18 [21],i14,0 (OC),+5 (OC),GROUND BOUNCE,-,-,-
Twister,SS 4,"low, low",-,-,-,high,-,-,-,-,"10 [12], 7",i21,-12,+6,+6,-,-,-
Twister Sweep,"SS 4, n, 3","low, low",-,-,-,high,-,-,-,-,"10 [12], 25",i21,-45,-7,-,-,-,-
-,"SS (4), n, 3",low,-,-,-,high,-,-,-,-,25 [30],i38,-45,-7,-7,-,-,-
Dos Sole,SS 4~3,high,-,-,-,-,-,-,-,-,50 [60],i34,-12,KND,KND,-,-,-
Twister Front Stinger,"SS 4, 3+4","low, mid",-,-,-,low*,-,-,-,-,"10 [12], 18",i21,-16,+2 (OC),-,-,-,-
-,"SS (4), 3+4",mid,-,-,-,low*,-,-,-,-,18 [21],i23,-16,+2 (OC),KND,-,-,-
Banda,SS 1+4,low,-,-,-,-,-,-,-,-,23 [27],i23,-28,KND,KND,-,-,-
Wheel Kicks,SS 3+4,"high, mid",-,-,-,low*,-,-,-,-,"6 [7], 6",i13,-12,LAUNCH,LAUNCH,-,-,-
-,"SS 3+4, D","high, mid",-,-,-,low*,-,-,-,-,"6 [7], 6",i13,-12,LAUNCH,LAUNCH,-,-,-
-,"SS 3+4, 3+4","high, mid, mid",-,-,-,-,-,-,-,-,"6 [7], 6, 17",i13,-34,KND,-,-,-,-
-,"SS (3+4), 3+4",mid,-,-,-,-,-,-,-,-,25 [30],i38,-34,KND,GROUND BOUNCE,-,-,-
-,"SS 3+4, 3+4, 3+4","high, mid, mid, mid",-,-,-,-,-,-,-,-,"6 [7], 6, 17, 10",i13,-13,KND,-,-,-,-
-,"SS (3+4), 3+4, 3+4","mid, mid",-,-,-,-,-,-,-,-,"25 [30], 14",i38,-13,KND,-,-,-,-
-,"SS (3+4), (3+4), 3+4",mid,-,-,-,-,-,-,-,-,20 [24],i31,-13,KND,KND,-,-,-
Wheel Kicks Sao Paulo Special,"SS 3+4, 3+4, 3+4, u/f+3+4","high, mid, mid, mid, mid",-,-,-,-,-,-,-,-,"6 [7], 6, 17, 10, 8",i13,-6,KND,-,-,-,-
-,"SS (3+4), 3+4, 3+4, u/f+3+4","mid, mid, mid",-,-,-,-,-,-,-,-,"25 [30], 14, 10",i38,-6,KND,-,-,-,-
-,"SS (3+4), (3+4), 3+4, u/f+3+4","mid, mid",-,-,-,-,-,-,-,-,"20 [24], 14",i31,-6,KND,-,-,-,-
-,"SS (3+4), (3+4), (3+4), u/f+3+4",mid,-,-,-,-,-,-,-,-,20 [24],i24,-6,KND,KND,-,-,-
-,"WR f, f, F (Full Screen)",mid,-,-,-,-,-,-,-,-,30 [36],i8,+13,KND,KND,-,-,-
-,"WR f, f, F (Full Screen) (On Grounded Opponent)",low,-,-,-,-,-,-,-,-,8 [9],i12,-,KND,KND,-,-,-
-,WR 4 ,low,-,-,-,high,-,-,-,-,17 [20],i14,-40,KND,KND,-,-,-
-,WR 1+2,mid,-,-,-,low*,-,-,-,-,24 [28],i18,0,KND,KND,-,-,-
-,WS 1,high,-,-,-,-,-,-,-,-,7 [8],i13,-6,+5,+5,-,-,-
Cotovelo to Chapeu de Couro,"WS 1, 4","high, high",-,-,-,-,-,-,-,-,"7 [8], 20",i13,-9,+10,-,-,-,-
-,"WS (1), 4",high,-,-,-,-,-,-,-,-,20 [24],i23,-9,+10,+10,-,-,-
Rising Batida,WS 2,mid,-,-,-,-,-,-,-,-,12 [14],i15,-12,LAUNCH,LAUNCH,-,-,-
Martelo,WS 3,mid,-,-,-,-,-,-,-,-,15 [18],i19,-13,LAUNCH,LAUNCH,-,-,-
Circle Kick,WS 4,mid,-,-,-,-,-,-,-,-,15 [18],i11,-3,+8,+8,-,-,-
10 Hit Combo 1,"4~3, 4, 2, 4, 4, 3+4, 3+4, 3+4, 3+4, u/f+3+4",-,-,-,-,-,-,-,-,-,89 [92]*,i19,-,KND,KND,-,-,-
10 Hit Combo 2,"4~3, 4, 2, 4, 3","mid, mid, high, high, low",-,-,-,-,-,-,-,-,43 [46]*,i19,-,KND,KND,-,-,-
-,"Face Up, Feet Towards+3 or (After Rolling Forward)",low,-,-,-,high,-,-,-,-,10 [12],i22,-12,+5,STUN,-,-,-
-,"Face Up, Feet Towards+4 or (After Rolling Forward)",mid,-,-,-,-,-,-,-,-,18 [21],i22,-12,+5,KND,-,-,-
-,"Face Up, Feet Towards, d+3 (or 4)",low,-,-,-,"mid, high",-,-,-,-,5 [6],i13,-18,-3,-3,-,-,-
-,"Face Up, Feet Towards+3+4",mid,-,-,-,low*,-,-,-,-,20 [24],i16,-5,KND,KND,-,-,-
-,"Face Up, Feet Towards, Roll Forward+1+2",mid,-,-,-,low*,-,-,-,-,15 [18],i19,+2,KND,KND,-,-,-
-,"Face Down, Feet Away+3",low,-,-,-,high,-,-,-,-,10 [12],i21,-20,+1,STUN,-,-,-
-,"Face Down, Feet Away+4 (close)",mid,-,-,-,-,-,-,-,-,18 [21],i21,-19,KND,KND,-,-,-
-,"Face Down, Feet Away+4 (far)",mid,-,-,-,-,-,-,-,-,10 [12],i21,-19,-10,KND,-,-,-
Handspring Kickup,(Upon Landing) f,mid,-,-,-,low*,-,-,-,-,4,i33,-2,+3,+3,-,-,-
INTO BACK SUMMY,,,,,,,,,,,,,,,,,,
Back Summy,u+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Combo Jilar,"1, 2, 4","high, high",-,-,-,-,-,-,-,-,"7 [8], 12",i10,-26,-17,-,-,-,-
-,"(1), 2, 4",high,-,-,-,-,-,-,-,-,12 [14],i10,-26,-17,-17,-,-,-
DURING BACK SUMMY,,,,,,,,,,,,,,,,,,
Back Summy to Scoot Kick,"u+4, 4",high,-,-,-,-,-,-,-,-,27 [32],-,-,-,-,-,-,-
INTO HANDSTAND,,,,,,,,,,,,,,,,,,
-,"u/b, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
One Two Elbows to Handstand,"1, 2, F","high, high",-,-,-,-,-,-,-,-,7 [8]. 12,i10,-28,-19,-,-,-,-
Left Jab to Island Mirage,"1, 3","high, mid",-,-,-,-,-,-,-,-,"7 [8], 15",i10,-16,-5,-,-,-,-
-,"(1), 3",mid,-,-,-,-,-,-,-,-,15 [18],i19,-16,-5,-5,-,-,-
Slippery Kick to Handstand,"3~4, B","low, low",-,-,-,high,-,-,-,-,"10 [12], 10",i29,-24,STUN,STUN,-,-,-
Back Handspring to Handstand Kick,"3+4, 3",mid,-,-,-,high*,-,-,-,-,15 [18],i12,-4,+7,-,-,-,-
Handstand Kick,f+3,mid,-,-,-,high*,-,-,-,-,15 [18],i18,-8,+3,+3,-,-,-
Samba Handstand,"f+4, B",mid,-,-,-,-,-,-,-,-,10 [12],i23,-4,+7,+7,-,-,-
Handstand,f+1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lunging Brush Fire to Handstand,"f, F+3, B",mid,-,-,-,low,-,-,-,-,30 [36],i24,-39,KND,KND,-,-,-
Lunging Brush Fire to Perch Flop Kick,"f, F+3, B+3+4","mid, mid",-,-,-,high*,-,-,-,-,"30 [36], 12",i24,-16,KND,-,-,-,-
-,"(f, F+3), B+3+4",mid,-,-,-,high*,-,-,-,-,20 [24],i16,-16,LAUNCH,LAUNCH,-,-,-
Folha Ataque,"f, F+4",mid,-,-,-,"low*, high*",-,-,-,-,25 [30],i19,-15,LAUNCH,LAUNCH,-,-,-
Mao Esquerda to Handstand,"d/f+1, F",mid,-,-,-,-,-,-,-,-,10 [12],i13,-10,-2,-2,-,-,-
Island Mirage,d/f+3,mid,-,-,-,-,-,-,-,-,15 [18],i15,-16,-5,-5,-,-,-
Rasteira to Handstand,"d/b+3, B",low,-,-,-,high,-,-,-,-,10 [12],i23,-23,-7,-7,-,-,-
-,"d/b+3, d/b+4, 4, B","low, low, low",-,-,-,high,-,-,-,-,"10 [12], 15, 15",i23,-30,-6,-,-,-,-
Barbed Wire Infinite Upside Down Kick,"d/b+4, b+4","mid, mid",-,-,-,high,-,-,-,-,"18 [21], 12",i18,-18,KND,-,-,-,-
-,"(d/b+4), b+4",mid,-,-,-,high,-,-,-,-,21 [25],i26,-18,-4,-4,-,-,-
Gato to Au Batido to Handstand,"b+1, 4, B","mid, mid",-,-,-,high*,-,-,-,-,"16 [19], 10",i14,-4,+7,-,-,-,-
-,"(b+1), 4, B",mid,-,-,-,high*,-,-,-,-,10 [12],i25,-4,+7,+7,-,-,-
Front Stinger to Handstand,"FC 3+4, B",mid,-,-,-,-,-,-,-,-,18 [21],i22,-26,KND,KND,-,-,-
Crouch to Handstand,FC d/f+1+2,mid,-,-,-,high,-,-,-,-,-,-,-,-,-,-,-,-
Hot Plate Special Cancel to Handstand,"SS 3, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hot Plate Special to Handstand,"SS 3, n, B",mid,-,-,-,high,-,-,-,-,17 [20],i25,-25,-14,KND,-,-,-
Hot Plate Special to Perch Flop Kick,"SS 3, n, B+3+4","mid, mid",-,-,-,-,-,-,-,-,"17 [20], 20",i25,-16,KND,-,-,-,-
-,"(SS 3), n, B+3+4",mid,-,-,-,-,-,-,-,-,20 [24],i16,-16,LAUNCH,LAUNCH,-,-,-
Twister to Handstand,"SS 4, B",low,-,-,-,high,-,-,-,-,10 [12],i21,-21,-6,-6,-,-,-
Dos Sole to Handstand,"SS 4~3, B",high,-,-,-,low,-,-,-,-,50 [60],i34,-28,KND,KND,-,-,-
-,"SS 3+4, 3+4, 3+4, B","high, mid, mid, mid",-,-,-,-,-,-,-,-,"6 [7], 6, 17, 10",i13,-33,KND,-,-,-,-
-,"SS (3+4), 3+4, 3+4, B","mid, mid",-,-,-,-,-,-,-,-,"25 [30], 14",i38,-33,KND,KND,-,-,-
Down to Handstand,While down (facing up) 1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Negativa to Meia-lua Combo,"RLX 1, 3","low, high",-,-,-,-,-,-,-,-,"10 [12], 15",i17,-15,-5,-,-,-,-
-,"RLX (1), 3",high,-,-,-,-,-,-,-,-,15 [18],i27,-15,-5,-5,-,-,-
Ipanema Wings,RLX 4~3,"low, low",-,-,-,high,-,-,-,-,"7 [8], 8",i15,-37,LAUNCH,LAUNCH,-,-,-
Low Front Stinger Cancel,"RLX 3+4, 3",mid,-,-,-,high*,-,-,-,-,15 [18],i12,-4,+7,+7,-,-,-
-,"RLX 3+4, B",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Headspring to Handstand,RLX b+1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DURING HANDSTAND,,,,,,,,,,,,,,,,,,
-,HSP f+1+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"HSP F+1+2 (or f, F+1+2)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Flop Right,HSP 2,mid,-,-,-,-,-,-,-,-,10 [12],i18,-2,+5,+9,-,-,-
Circus,"HSP 2, 4","mid, low, low",-,-,-,high,-,-,-,-,"10 [12], 10, 7",i18,-13,+6,-,-,-,-
-,"HSP (2), 4","low, low",-,-,-,high,-,-,-,-,"10 [12], 7",i26,-13,+6,+6,-,-,-
Helicopter,HSP 4,"mid, mid",-,-,-,-,-,-,-,-,"5 [6], 20",i12,-12,+12,+12,-,-,-
Batucada,HSP 3+4,high throw,-,-,-,-,-,-,-,-,40,i28,-,KND,KND,-,-,-
Quick Jab,HSP f+1,high,-,-,-,-,-,-,-,-,7 [8],i20,+1,+8,+8,-,-,-
Mola Vermelha,HSP f+3+4,mid,-,-,-,-,-,-,-,-,20 [24],i18,-12,KND,KND,-,-,-
Perch,HSP D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Perch Flop Kick,HSP D+3+4,mid,-,-,-,high*,-,-,-,-,20 [24],i16,-16,LAUNCH,LAUNCH,-,-,-
